gene,rank,fdr,effect_size,#_active_guide-RNA
PSMB2,1,1.075269e-02,1.56937,19
RPS19,2,1.075269e-02,1.65311,9
RPS13,3,1.075269e-02,1.50651,10
RPL11,4,1.075269e-02,1.48414,10
RPS9,5,1.075269e-02,1.8271,6
NUP93,6,1.075269e-02,1.5127,9
RPS8,7,1.075269e-02,1.52692,8
RPL35A,8,1.075269e-02,1.90221,5
RPL36,9,1.075269e-02,1.48916,8
POLR2A,10,1.075269e-02,1.45798,8
RPL9,11,1.075269e-02,1.68513,6
POLR2D,12,1.075269e-02,1.36914,9
PSMD6,13,1.075269e-02,1.0529,18
COPB1,14,1.075269e-02,1.25946,9
RPL34,15,1.075269e-02,1.44695,6
COPA,16,1.075269e-02,1.21204,9
COPS4,17,1.075269e-02,1.17261,9
PSMD11,18,1.075269e-02,1.11733,10
RPL18A,19,1.075269e-02,1.2091,8
PSMD7,20,1.075269e-02,1.07113,10
PSMC2,21,1.075269e-02,1.02222,11
PSMC1,22,1.075269e-02,1.12701,8
PSMC4,23,1.075269e-02,1.0176,10
COPZ1,24,1.075269e-02,0.945186,11
PSMB3,25,4.301075e-02,1.17647,6
PSMA3,26,4.301075e-02,1.12112,6
RPL30,27,4.301075e-02,1.17883,5
POLA1,28,4.301075e-02,1.05581,7
RPS11,29,4.301075e-02,1.0541,7
RPL5,30,4.301075e-02,1.04308,7
POLR2F,31,4.301075e-02,0.970786,8
NUP133,32,9.646697e-02,0.950174,8
RPS3A,33,9.646697e-02,1.05474,6
NUP98,34,9.646697e-02,0.576787,15
RPL27,35,9.646697e-02,1.03227,5
NUP205,36,1.083137e-01,0.865749,8
COPS6,37,1.083137e-01,0.78803,9
NUP54,38,1.083137e-01,0.725479,10
RPL3,39,1.083137e-01,0.647952,10
COPS2,40,1.083137e-01,0.916018,5
PSMD1,41,1.083137e-01,0.688085,8
COPS8,42,1.171357e-01,0.532038,9
RPS24,43,1.171357e-01,0.469086,7
RPS27,44,1.171357e-01,0.481894,4
RPS7,45,1.171357e-01,0.561261,3
RPL6,46,1.171357e-01,0.625811,1
LYZL6,47,1.171357e-01,0.136912,1
IL1F10,48,1,-0.168848,0
MRGPRD,49,1,-0.210239,0
DMRTC2,50,1,-0.224103,0
DMRTB1,51,1,-0.234062,0
KRT25,52,1,-0.248744,0
HTR3D,53,1,-0.262905,0
PIWIL3,54,1,-0.263367,0
OR9Q2,55,1,-0.267796,0
OC90,56,1,-0.277903,0
TPH2,57,1,-0.290083,0
OTUD6A,58,1,-0.290904,0
RNASE9,59,1,-0.294649,0
KRT9,60,1,-0.303464,0
KRT74,61,1,-0.306877,0
LUZP4,62,1,-0.311622,0
CYP7A1,63,1,-0.312009,0
NPHS2,64,1,-0.313878,0
RPTN,65,1,-0.315985,0
CRYGB,66,1,-0.317842,0
ABCG8,67,1,-0.318536,0
IL22,68,1,-0.321716,0
SPATA16,69,1,-0.322267,0
OR12D2,70,1,-0.331159,0
FCRL4,71,1,-0.331239,0
TAS2R13,72,1,-0.33816,0
CABP5,73,1,-0.344392,0
TRIM42,74,1,-0.346215,0
NPSR1,75,1,-0.346919,0
RXFP2,76,1,-0.349175,0
KRT77,77,1,-0.350676,0
OLIG2,78,1,-0.351679,0
ADH7,79,1,-0.352967,0
DEFB129,80,1,-0.361424,0
TAS2R9,81,1,-0.361565,0
SAGE1,82,1,-0.366276,0
LHX5,83,1,-0.366409,0
TGM6,84,1,-0.367664,0
TAAR8,85,1,-0.369915,0
PLA2G2E,86,1,-0.371247,0
VN1R2,87,1,-0.371256,0
MAGEB3,88,1,-0.376039,0
FAM71B,89,1,-0.38265,0
TAAR1,90,1,-0.388947,0
NLRP5,91,1,-0.405354,0
POU4F2,92,1,-0.405379,0
OR52E8,93,1,-0.439313,0
