gene,p-value Repl. 1,p-value Repl. 2,p-value Repl. 3,Fisher Statistic,p-value combined,significant
COPA,0.0745192307692,0.0,0.0,152.558842063,0.0,True
COPB1,0.0,0.0,0.0,221.048168927,0.0,True
COPS4,0.0,0.0,0.0,221.048168927,0.0,True
NUP93,0.0,0.0,0.0,221.048168927,0.0,True
POLR2D,0.0,0.0,0.0,221.048168927,0.0,True
PSMB2,0.0,0.0,0.0,221.048168927,0.0,True
PSMC2,0.107638888889,0.0,0.0,151.823392503,0.0,True
PSMD11,0.0,0.0,0.0,221.048168927,0.0,True
PSMD6,0.0,0.0,0.0,221.048168927,0.0,True
PSMD7,0.0,0.0,0.0,221.048168927,0.0,True
RPL11,0.0,0.0,0.0,221.048168927,0.0,True
RPS13,0.0,0.0,0.0,221.048168927,0.0,True
RPS19,0.0,0.0,0.0,221.048168927,0.0,True
RPS9,0.0,0.0,0.0,221.048168927,0.0,True
NUP98,0.107638888889,0.0,0.0403645833333,84.5602745844,4.4408920985e-16,True
RPL9,0.107638888889,0.0,0.0403645833333,84.5602745844,4.4408920985e-16,True
RPS8,0.107638888889,0.0,0.0403645833333,84.5602745844,4.4408920985e-16,True
PSMD1,0.152960526316,0.0,0.0403645833333,83.8574788108,5.55111512313e-16,True
COPZ1,0.176136363636,0.0,0.0403645833333,83.5753216142,6.66133814775e-16,True
RPL36,0.176136363636,0.0,0.0403645833333,83.5753216142,6.66133814775e-16,True
COPS6,0.223557692308,0.0,0.142463235294,80.576237131,2.6645352591e-15,True
POLR2A,0.19375,0.0440340909091,0.0403645833333,15.9475605822,0.0140382158467,False
RPL35A,0.176136363636,0.0745192307692,0.0403645833333,15.08599475,0.0195983114745,False
POLR2F,0.19375,0.0745192307692,0.0403645833333,14.8953743904,0.0210862635477,False
PSMC1,0.19375,0.103794642857,0.0403645833333,14.2326601185,0.0271424916521,False
RPL18A,0.226041666667,0.0745192307692,0.0717592592593,13.4363447409,0.0366069641263,False
NUP205,0.249107142857,0.103794642857,0.0717592592593,12.5793029721,0.0502249428485,False
NUP54,0.226041666667,0.0745192307692,0.142463235294,12.0648105944,0.0605384794085,False
RPL3,0.107638888889,0.382401315789,0.0717592592593,11.6493926327,0.0702633481602,False
PSMA3,0.226041666667,0.161458333333,0.125,10.7799712803,0.0954194139842,False
NUP133,0.249107142857,0.133620689655,0.166071428571,10.3959192805,0.108938924041,False
COPS8,0.249107142857,0.284926470588,0.125,9.44967570817,0.149823010034,False
RPL34,0.314189189189,0.284926470588,0.125,8.98545126558,0.174397936314,False
POLA1,0.269097222222,0.366554054054,0.125,8.7914667336,0.185649942604,False
COPS2,0.226041666667,0.397435897436,0.142463235294,8.71685772724,0.190139081859,False
RPS11,0.249107142857,0.28125,0.261824324324,7.9969300518,0.238328304124,False
PSMC4,0.249107142857,0.284926470588,0.521634615385,6.59236843825,0.360193361103,False
RPL30,0.471955128205,0.366554054054,0.261824324324,6.18912432918,0.402341364018,False
