gene	rank	fdr	effect_size	#_active_guide-RNA
ATP6AP1	1	5.291565e-05	2.396	3
RBM22	2	5.291565e-05	2.23706	3
PSMA5	3	5.291565e-05	2.25864	3
DCTN3	4	5.291565e-05	2.24432	3
UTP20	5	5.291565e-05	2.24612	3
MRPL45	6	5.291565e-05	2.42923	3
SRP14	7	5.291565e-05	2.34712	3
PRIM2	8	5.291565e-05	2.24046	3
TARS2	9	5.291565e-05	2.22661	3
RPL4	10	5.291565e-05	2.39178	3
RPL10A	11	5.291565e-05	2.27858	3
MDN1	12	5.291565e-05	2.1749	3
AURKB	13	5.291565e-05	2.19478	3
RTEL1	14	5.291565e-05	2.16021	3
CWC22	15	5.291565e-05	2.41435	3
WDR12	16	5.291565e-05	2.15744	3
PPAN	17	5.291565e-05	2.20565	3
GINS2	18	5.291565e-05	2.33972	3
MIS18BP1	19	5.291565e-05	2.27685	3
RPL26	20	5.291565e-05	2.15534	3
CLSPN	21	5.291565e-05	2.15244	3
POLR2D	22	5.291565e-05	2.20032	3
NUDC	23	5.291565e-05	2.11639	3
TCOF1	24	5.291565e-05	2.21128	3
SARS	25	5.291565e-05	2.17052	3
RPS19BP1	26	5.291565e-05	2.13159	3
IMP3	27	5.291565e-05	2.25029	3
GEMIN2	28	5.291565e-05	2.09885	3
MCM2	29	5.291565e-05	2.09514	3
CLTC	30	5.291565e-05	2.15614	3
CCT2	31	5.291565e-05	2.18884	3
RBSN	32	5.291565e-05	2.18424	3
RPS17	33	5.291565e-05	2.12005	3
IMPDH2	34	5.291565e-05	2.14622	3
MEN1	35	5.291565e-05	2.11779	3
BDP1	36	5.291565e-05	2.0712	3
RPAP3	37	5.291565e-05	2.06187	3
PSMB5	38	5.291565e-05	2.06403	3
SRP68	39	5.291565e-05	2.06711	3
RUVBL2	40	5.291565e-05	2.05948	3
SNRPD3	41	5.291565e-05	2.07967	3
FPGS	42	5.291565e-05	2.06809	3
RPS13	43	5.291565e-05	2.29369	3
CASP8AP2	44	5.291565e-05	2.03389	3
PRELID1	45	5.291565e-05	2.07744	3
GPN1	46	5.291565e-05	2.14013	3
RRAGA	47	5.291565e-05	2.08773	3
LAMTOR2	48	5.291565e-05	2.02233	3
PSMB2	49	5.291565e-05	2.11981	3
POLR2G	50	5.291565e-05	2.33319	3
ATP6V1F	51	5.291565e-05	2.0523	3
CEP295	52	5.291565e-05	2.02883	3
NUDCD3	53	5.291565e-05	2.07053	3
GART	54	5.291565e-05	2.10844	3
PSMD7	55	5.291565e-05	2.00693	3
UTP3	56	5.291565e-05	2.04276	3
EIF2B3	57	5.291565e-05	2.0359	3
EXOSC1	58	5.291565e-05	2.01133	3
GTF3C3	59	5.291565e-05	1.99604	3
PSMA3	60	5.291565e-05	1.97299	3
WDR5	61	5.291565e-05	2.00284	3
CLNS1A	62	5.291565e-05	1.97867	3
PLK4	63	5.291565e-05	1.96439	3
GLRX3	64	5.291565e-05	2.01538	3
ASH2L	65	5.291565e-05	1.9904	3
CIT	66	5.291565e-05	2.16095	3
GBF1	67	5.291565e-05	1.97313	3
