gene,n.sh_sgRNAs.raw,n.sh_sgRNAs.passFilter.3VS1.A375_VS_plasmid,B.3VS1.A375_VS_plasmid,z.3VS1.A375_VS_plasmid,pval.3VS1.A375_VS_plasmid,FDR.3VS1.A375_VS_plasmid,B.sd.3VS1.A375_VS_plasmid
ESPL1,3,3,-3.9173135675527515,-1.8411456059339528,0.06560022393609409,0.6247870352088116,1.5566445804869704
RUVBL1,3,3,-3.7966470484262573,-1.8392627307540736,0.0658765519310936,0.6259100444413307,1.5110616788312459
CWC22,3,3,-3.5060936438353507,-1.9116720491396182,0.05591827158640587,0.5852741044680889,1.3140939563614404
ACTR10,3,3,-3.500518197229579,-1.6643435052347477,0.09604380299903355,0.7237951696570667,1.614761527716231
GINS2,3,3,-3.4816508948165588,-1.7716671389704044,0.07644982757544413,0.6710398706552454,1.4662996885505475
KNL1,3,3,-3.474550245343356,-2.0921467377059195,0.03642539134095739,0.4752030087101612,1.1229226335340925
MIS18BP1,3,3,-3.4260826033322758,-2.1536092828316544,0.03127082567947519,0.439373544951313,1.0530308297148003
RPL10A,3,3,-3.4080009280924783,-2.647853837851983,0.00810045393482452,0.2694724361773125,0.696893797392418
POLR2G,3,3,-3.40681521628274,-2.5018313789302487,0.012355275515413457,0.2922277805885901,0.7868973113146411
CTC1,3,3,-3.3898486066592453,-1.725958839170682,0.08435481801984285,0.6982642798681516,1.4837628730415653
RPL4,3,3,-3.3411253655211364,-2.1717289879968766,0.02987611069201328,0.42935265388415744,1.0118351286334362
USP37,3,3,-3.332747115017904,-1.7323199307565622,0.08321661526034883,0.6947033876124813,1.4509361393815472
MED21,3,3,-3.3049476866715515,-1.8792073704738814,0.06021618364261174,0.6034266231577464,1.2724330791325027
ATIC,3,3,-3.302513991848041,-1.7662057090738672,0.07736134360291928,0.6731677828242235,1.3972581256366863
PRELID1,3,3,-3.296154297520967,-2.106155704018111,0.035190829462049066,0.4686794705433798,1.0531396833137507
UMPS,3,3,-3.2896697456216515,-1.6041046199926428,0.10869099371123972,0.7576696418867607,1.5984294483685209
ATP6AP1,3,3,-3.2434944339064713,-2.783626436576235,0.005375490652958098,0.26926241943773355,0.591174607207763
PLK4,3,3,-3.2357436647500997,-1.6877270736086836,0.09146363221792123,0.715733900748766,1.463081948505408
MDN1,3,3,-3.2280767020483845,-1.9339835359401008,0.05311515215334967,0.571493194256176,1.1878153922167303
PSMA5,3,3,-3.217884795414747,-2.5197748332179075,0.011742992666772097,0.28810962139764107,0.7322824079860191
MRPL45,3,3,-3.204921757908118,-1.6975361339101793,0.08959534566244938,0.7127422736444583,1.4370838189402892
RTEL1,3,3,-3.146352973911592,-3.1150734399242435,0.0018389911739665084,0.26926241943773355,0.42895427615802095
POLR2D,3,3,-3.1355986145759656,-2.8745839006674796,0.004045602673005517,0.26926241943773355,0.5285045309788885
IMPDH2,3,3,-3.118204774874449,-2.433012102733684,0.01497380037752953,0.3137520795341282,0.7623770897018093
PSMB2,3,3,-3.0992209870015177,-1.9035453074629487,0.0569694276169462,0.5889541811296769,1.1694256465788582
TARS2,3,3,-3.0988683725709474,-2.9440118117855274,0.0032398763429989214,0.26926241943773355,0.4916939676180108
CDCA8,3,3,-3.098683903688147,-1.5183908368133372,0.1289159002843992,0.7901166397052035,1.6233206574974235
NUDCD3,3,3,-3.098005371148778,-2.5376183304190265,0.011160962997643197,0.28053668284179073,0.6946320803021944
RRM1,3,3,-3.095962582123721,-2.375423764017627,0.017528812974820274,0.33284754506878933,0.7936629179209681
PTPN23,3,3,-3.0836209311106586,-1.6523190565478874,0.09846952652119706,0.7291838213940368,1.437201010970981
DCTN3,3,3,-3.0763403303854444,-3.134400611318613,0.0017220557869793512,0.26926241943773355,0.4121681067384736
IMP3,3,3,-3.061708413620652,-2.519436405750527,0.011754287125493769,0.28810962139764107,0.69693760066421
MED7,3,3,-3.0570845882369144,-2.7501668385697378,0.005956492852174386,0.26926241943773355,0.5733266341651991
RPS17,3,3,-3.0525922639942107,-3.0000921813751145,0.0026989791084667553,0.26926241943773355,0.46106480027435054
NOL10,3,3,-3.0474608660087887,-2.487034370836752,0.012881295333037621,0.2954256301016322,0.7125718413624181
MEN1,3,3,-3.0439581040086625,-2.5146982904758723,0.011913428719629204,0.29050319476587444,0.6956260456829884
NUFIP1,3,3,-3.042403189668831,-2.0191559844413742,0.04347100952883213,0.5217725176696689,1.043795281410894
TBL3,3,3,-3.032737578480427,-2.13162296124964,0.03303785459845697,0.4553970650631946,0.949023159703185
PRIM2,3,3,-3.027073385935032,-2.809637232907906,0.004959736924353251,0.26926241943773355,0.539577648745814
MRPL57,3,3,-3.025669761703273,-1.9747516650285133,0.04829633667324799,0.5481706729435678,1.0765902657510231
CLSPN,3,3,-3.025085664535366,-2.935176395268206,0.003333581224268046,0.26926241943773355,0.48370843105565753
WDR36,3,3,-3.0172960523625587,-2.364761214813538,0.018041699243500606,0.33819499639912626,0.7802974932459488
CTDP1,3,3,-3.014679077415897,-2.391988611871098,0.016757362319014948,0.3258137354764016,0.7623783613037279
