gene	rank	fdr	effect_size	#_active_guide-RNA
BUB3	1	5.232041e-05	4.396	4
NUBP1	2	5.232041e-05	4.47596	4
RPS3A	3	5.232041e-05	4.32586	4
TOP2A	4	5.232041e-05	4.37202	4
ITPA	5	5.232041e-05	4.12034	4
U2AF1	6	5.232041e-05	4.1033	4
WDR43	7	5.232041e-05	4.10541	4
HSPA9	8	5.232041e-05	4.04823	4
TSR2	9	5.232041e-05	4.10811	4
PRPF19	10	5.232041e-05	4.07404	4
RPS15A	11	5.232041e-05	4.14627	4
UBA3	12	5.232041e-05	3.98568	4
RSL24D1	13	5.232041e-05	3.92452	4
RPL4	14	5.232041e-05	3.93447	4
RPS13	15	5.232041e-05	3.97486	4
MARS	16	5.232041e-05	3.91405	4
RPL11	17	5.232041e-05	3.86607	4
SMU1	18	5.232041e-05	3.89185	4
RPL6	19	5.232041e-05	3.74947	4
SNRPF	20	5.232041e-05	3.78807	4
RFC3	21	5.232041e-05	3.77797	4
TUT1	22	5.232041e-05	3.73343	4
RPP21	23	5.232041e-05	4.26537	4
CCT5	24	5.232041e-05	3.76274	4
GPN2	25	5.232041e-05	3.77226	4
CDK1	26	5.232041e-05	3.81133	4
RPL18A	27	5.232041e-05	3.72766	4
LARS	28	5.232041e-05	3.71963	4
RPL27	29	5.232041e-05	3.71044	4
PSMB7	30	5.232041e-05	3.67959	4
RPL23A	31	5.232041e-05	3.75556	4
RPL7	32	5.232041e-05	3.66645	4
ORAOV1	33	5.232041e-05	3.59179	4
FAU	34	5.232041e-05	3.56952	4
GAPDH	35	5.232041e-05	3.6435	4
NAA20	36	5.232041e-05	3.58413	4
EIF1AX	37	5.232041e-05	3.56656	4
DHX36	38	5.232041e-05	3.62814	4
RPS17	39	5.232041e-05	3.92655	4
SNRPG	40	5.232041e-05	3.50875	4
MDM2	41	5.232041e-05	3.56241	4
XRCC5	42	5.232041e-05	3.55813	4
PHF5A	43	5.232041e-05	3.5223	4
RPL19	44	5.232041e-05	3.47359	4
SOD1	45	5.232041e-05	3.54096	4
PSMC6	46	5.232041e-05	3.81591	4
DCTN5	47	5.232041e-05	3.47213	4
POLR2L	48	5.232041e-05	3.90106	4
CLP1	49	5.232041e-05	3.482	4
DDX51	50	5.232041e-05	3.48894	4
RPL31	51	5.232041e-05	3.4664	4
RPL35A	52	5.232041e-05	3.46886	4
ELP2	53	5.232041e-05	3.42784	4
CLNS1A	54	5.232041e-05	3.51205	4
RPLP0	55	5.232041e-05	3.37322	4
DARS	56	5.232041e-05	3.34032	4
GRPEL1	57	5.232041e-05	3.45835	4
EIF2S1	58	5.232041e-05	3.38861	4
NFS1	59	5.232041e-05	3.48194	4
HSPE1	60	5.232041e-05	3.54903	4
CARS	61	5.232041e-05	3.40396	4
SRP54	62	5.232041e-05	3.32169	4
PPP6C	63	5.232041e-05	3.49026	4
ALDOA	64	5.232041e-05	3.28229	4
PSMA5	65	5.232041e-05	3.28515	4
RABGGTB	66	5.232041e-05	3.68701	4
EFTUD2	67	5.232041e-05	3.46616	4
PGS1	68	5.232041e-05	3.25649	4
MAK16	69	5.232041e-05	3.30018	4
CDK7	70	5.232041e-05	3.48714	4
MCM7	71	5.232041e-05	3.37504	4
RPS23	72	5.232041e-05	3.25525	4
RPL12	73	5.232041e-05	3.28046	4
ARL2	74	5.232041e-05	3.26289	4
ABCE1	75	5.232041e-05	3.23871	4
NUP85	76	5.232041e-05	3.34066	4
UBE2N	77	5.232041e-05	3.27308	4
ACTR10	78	5.232041e-05	3.32504	4
