gene,n.sh_sgRNAs.raw,n.sh_sgRNAs.passFilter.3VS1.A375_VS_plasmid,B.3VS1.A375_VS_plasmid,z.3VS1.A375_VS_plasmid,pval.3VS1.A375_VS_plasmid,FDR.3VS1.A375_VS_plasmid,B.sd.3VS1.A375_VS_plasmid
RPS3A,4,4,-8.368781664191177,-3.7686889286461382,1.641072495074239e-4,0.179858525584026,1.006455640109675
HSPA9,4,4,-8.174015642428706,-3.452549873278099,5.553148098239422e-4,0.179858525584026,1.227828636939815
PRPF19,4,4,-8.106033826974125,-3.8447459722973614,1.2067738470879765e-4,0.179858525584026,0.9227911632160934
RPS15A,4,4,-8.10032728443927,-4.125135631699224,3.7051634127220645e-5,0.17704197076839204,0.7492088486540155
GPN2,4,4,-7.910414483263315,-4.338978828844437,1.4314631038015382e-5,0.15943082385225954,0.6206398243730857
NUBP1,4,4,-7.818750160071208,-3.3563682088884836,7.897334981678039e-4,0.179858525584026,1.254619744250049
RPS13,4,4,-7.703302787573812,-4.224481065149792,2.394919854908232e-5,0.15943082385225954,0.6605127169236095
RPL4,4,4,-7.678656071810608,-3.265465776915685,0.001092842104190061,0.179858525584026,1.31069606059703
BUB3,4,4,-7.628285743683819,-3.6861728789327337,2.2765173475006e-4,0.179858525584026,0.9730645112589824
RPP21,4,4,-7.494464966571944,-2.9046696821744256,0.0036764086597558714,0.179858525584026,1.6278039153977537
RPL11,4,4,-7.457884856911679,-3.338176552448064,8.433014771595305e-4,0.179858525584026,1.2116612816768768
XRCC5,4,4,-7.419991689591449,-3.499213823685536,4.666322124281541e-4,0.179858525584026,1.0791586558043005
TOP2A,4,4,-7.386101957564581,-3.2014441265073086,0.0013674059142630827,0.179858525584026,1.3164425211872073
RSL24D1,4,4,-7.30397896970031,-3.303077433414366,9.562997725639145e-4,0.179858525584026,1.2153424583532386
FBL,4,4,-7.274792461456593,-3.2685084936282487,0.0010811593242388729,0.179858525584026,1.2392035944955182
RPL27,4,4,-7.252691822480861,-3.466689038834628,5.269110777164467e-4,0.179858525584026,1.0788502660201889
UBE2N,4,4,-7.200626870919438,-3.5700205605351063,3.569532097107355e-4,0.179858525584026,0.996854156805562
U2AF1,4,4,-7.131411246534967,-3.2081728005553996,0.0013358121150334782,0.179858525584026,1.2653021727577953
SNRPF,4,4,-7.121277884238629,-3.3160942749893403,9.128502894167505e-4,0.179858525584026,1.1745028713630687
KPNB1,4,4,-7.119817439304369,-3.2722335812406005,0.0010670138243796192,0.179858525584026,1.209748797259492
POLR2J,4,4,-7.108593493789175,-3.603234972251149,3.142811792943235e-4,0.179858525584026,0.9614648949353451
TSR2,4,4,-7.070387308779027,-3.563726998800325,3.656262218971858e-4,0.179858525584026,0.983141070963116
XPO1,4,4,-7.062067273245444,-3.4067826536983254,6.573344899230457e-4,0.179858525584026,1.094748669458335
RPS17,4,4,-7.056713490876625,-3.08411807997881,0.0020415654833537346,0.179858525584026,1.36061381869214
SMU1,4,4,-7.028713063849348,-2.9729273700570205,0.0029497424197899554,0.179858525584026,1.4592134961925836
RPL23A,4,4,-7.0270380410244115,-3.1707010371338975,0.0015207156424934959,0.179858525584026,1.2786038182180035
RFC3,4,4,-7.016846177769335,-3.4941010749114625,4.7566089692424726e-4,0.179858525584026,1.0241501623560734
GAPDH,4,4,-7.012888972795983,-3.1678884106425507,0.0015355044571020845,0.179858525584026,1.2784414455340003
WDR43,4,4,-6.97616364690857,-3.0108540275511966,0.0026051405805478218,0.179858525584026,1.4123110938079475
POLR2L,4,4,-6.93600553247706,-3.149618741342949,0.0016348365759692716,0.179858525584026,1.280019246932727
MARS,4,4,-6.909657199592401,-3.4464600994243413,5.679824330915401e-4,0.179858525584026,1.042276770628784
MAK16,4,4,-6.901731215643267,-2.887258200589293,0.0038861517712035962,0.179858525584026,1.5164033611134062
LARS,4,4,-6.865790327483903,-3.12078262412611,0.0018037112418763834,0.179858525584026,1.2917678092349791
AMD1,4,4,-6.846244930692759,-3.1541989344267387,0.001609393383264366,0.179858525584026,1.2595798100010025
PPP6C,4,4,-6.844656889452386,-2.843638673379512,0.004460159583762487,0.18104256262671067,1.5477794258541302
ITPA,4,4,-6.809061889197847,-3.860012066648364,1.1338142608004263e-4,0.179858525584026,0.7665965363603894
PSMC6,4,4,-6.805809890178988,-2.908805747548272,0.0036281221554503745,0.179858525584026,1.474192370826256
NOP58,4,4,-6.781828117909103,-2.946864065601969,0.0032101428625913512,0.179858525584026,1.4324784203702587
POLR1C,4,4,-6.771862916690496,-3.43234004549147,5.983967518782504e-4,0.179858525584026,1.0314776333222277
EIF4A3,4,4,-6.767583037246276,-3.0503132440933483,0.0022860280309266287,0.179858525584026,1.3346005928764344
CDK7,4,4,-6.766957443827878,-2.903725347616726,0.0036875149077079997,0.179858525584026,1.4707061555178802
CCT5,4,4,-6.7442828581576775,-3.468648073145827,5.230841790188478e-4,0.179858525584026,1.001866090465654
YRDC,4,4,-6.742745914974395,-3.0447219373920578,0.0023289552458530677,0.179858525584026,1.3346609757613404
EIF1AX,4,4,-6.715189953314356,-3.4830775434763037,4.956847658537442e-4,0.179858525584026,0.9876358487904917
PSMB7,4,4,-6.7151030289105185,-3.369295887160577,7.53604831779976e-4,0.179858525584026,1.068047389846606
ZCRB1,4,4,-6.691573312357614,-3.0892576536803538,0.0020065733786171357,0.179858525584026,1.2857927861650156
RABGGTB,4,4,-6.671259034346823,-2.7932214733076655,0.005218594867547289,0.18470423896246185,1.5595325929829582
TUT1,4,4,-6.6671698447123005,-3.1523629517796294,0.0016195482662287178,0.179858525584026,1.2281445778514515
PCNA,4,4,-6.645998513293555,-3.0927134133943475,0.001983355683235494,0.179858525584026,1.2740928457253198
MDM2,4,4,-6.643115418768827,-3.122193937328168,0.001795086450895143,0.179858525584026,1.248692957565022
UBA3,4,4,-6.63707278846214,-3.3476039618948357,8.15134076213585e-4,0.179858525584026,1.0713952676711316
RPL18A,4,4,-6.618636001578165,-3.329725882934313,8.693152034856422e-4,0.179858525584026,1.081520922680088
CDK1,4,4,-6.587193430945645,-3.0613210274038103,0.0022036268774410085,0.179858525584026,1.2895379322111755
POLR1A,4,4,-6.5762502421718505,-3.0182536935927,0.0025423597514247233,0.179858525584026,1.3248204164477864
ORAOV1,4,4,-6.568623469937337,-3.047483557844743,0.0023076615041976254,0.179858525584026,1.2978073247932647
IARS,4,4,-6.53198856779816,-3.2929103794388768,9.91560755455693e-4,0.179858525584026,1.0944171613699167
