gene,fdr,stat
PSMB2,0,0
RPS9,0.0046500000000000005,1e-4
RPL11,0.01992857142857143,8e-4
PSMD6,0.01992857142857143,0.0011
RPS13,0.01992857142857143,0.0013
POLR2D,0.01992857142857143,0.0013
RPS8,0.01992857142857143,0.0015
COPB1,0.031000000000000003,0.003
RPS19,0.031000000000000003,0.003
PSMD7,0.05487,0.0059
NUP93,0.07068,0.0109
COPS4,0.07017272727272728,0.0083
POLR2A,0.07068,0.0098
RPL9,0.07068,0.0111
RPL35A,0.07068,0.0114
PSMD11,0.08260588235294118,0.0151
RPL34,0.08260588235294118,0.0148
COPA,0.11366666666666667,0.022
PSMC4,0.14782105263157894,0.0302
RPL36,0.151125,0.0325
NUP98,0.1519,0.0343
PSMC1,0.17467826086956523,0.0432
RPL18A,0.17467826086956523,0.0427
PSMC2,0.2139,0.0552
RPS3A,0.259284,0.0697
RPL3,0.3036931034482759,0.0947
POLR2F,0.3036931034482759,0.0915
RPL5,0.3036931034482759,0.0939
NUP205,0.3036931034482759,0.0946
COPZ1,0.33387,0.1077
NUP54,0.3615375,0.1244
COPS6,0.36,0.12
POLA1,0.4041272727272727,0.1434
RPS11,0.4682823529411764,0.1712
NUP133,0.47481666666666666,0.1792
PSMA3,0.47481666666666666,0.1838
RPS27,0.48083513513513515,0.1913
PSMB3,0.5894769230769231,0.2472
COPS2,0.7281219512195122,0.3135
PSMD1,0.7281219512195122,0.321
RPL30,0.765257142857143,0.3456
RPL6,0.5797815789473684,0.2369
RPL27,0.952060465116279,0.4402
COPS8,0.9999,0.4891
RPS24,0.9999,0.6423
RPS7,0.9999,0.9016
LYZL6,0.9999,0.9846
OTUD6A,0.9999,0.9911
IL1F10,0.9999,0.9917
MRGPRD,0.9999,0.9922
RPTN,0.9999,0.9922
KRT25,0.9999,0.9934
PIWIL3,0.9999,0.994
CRYGB,0.9999,0.9945
DMRTC2,0.9999,0.9946
TPH2,0.9999,0.9946
IL22,0.9999,0.9947
HTR3D,0.9999,0.9947
DMRTB1,0.9999,0.9956
OC90,0.9999,0.9958
RNASE9,0.9999,0.9966
OR9Q2,0.9999,0.9962
KRT74,0.9999,0.9962
NPHS2,0.9999,0.9964
FCRL4,0.9999,0.9965
RXFP2,0.9999,0.9966
OLIG2,0.9999,0.997
CYP7A1,0.9999,0.9973
SPATA16,0.9999,0.9977
KRT9,0.9999,0.9985
CABP5,0.9999,0.9985
TRIM42,0.9999,0.9985
LHX5,0.9999,0.9986
ADH7,0.9999,0.9987
LUZP4,0.9999,0.9987
SAGE1,0.9999,0.9995
FAM71B,0.9999,0.9995
ABCG8,0.9999,0.9995
MAGEB3,0.9999,0.9995
NPSR1,0.9999,0.9995
TAS2R13,0.9999,0.9995
VN1R2,0.9999,0.9997
OR12D2,0.9999,0.9997
POU4F2,0.9999,0.9998
DEFB129,0.9999,0.9998
TAS2R9,0.9999,0.9998
TAAR8,0.9999,0.9998
NLRP5,0.9999,0.9998
TAAR1,0.9999,0.9999
KRT77,0.9999,0.9999
PLA2G2E,0.9999,0.9999
TGM6,0.9999,0.9999
OR52E8,0.9999,0.9999
