gene,fdr,stat
RPS13,1.510075123314384e-7,7.469188781985125e-8
RPL11,7.555009667034061e-6,4.3867798066649385e-6
RPS19,3.3692626128164872e-6,1.8476601425122673e-6
RPL35A,0.00990538462656642,0.008201232432748541
PSMB2,1.4334038081100973e-8,6.473436552755278e-9
RPS8,3.4190016627340527e-4,2.3160979005617776e-4
POLR2D,1.5902441650328798e-5,9.575663789445297e-6
NUP93,9.677157487434843e-5,6.243327411248285e-5
POLR2A,0.0010516590441831844,7.802631618133303e-4
RPL18A,4.32045616496059e-5,2.6860852744945176e-5
RPL34,0.0036912756612216577,0.002857761802236122
RPL36,0.0018223125732007004,0.0013716331196134304
PSMD11,3.9082888851576583e-7,2.017181360081372e-7
COPB1,5.402467049079148e-6,3.0788253075397295e-6
PSMD7,5.246272528784746e-6,2.9333996935140514e-6
COPA,2.566062242405485e-4,1.7107081616036564e-4
COPS4,1.1324522320960826e-5,6.69729814680479e-6
RPS3A,4.856969574824428e-4,3.394656154447181e-4
RPS9,0.00752656738365496,0.006150743238255666
PSMC4,8.756291771957038e-5,5.5550668230695185e-5
PSMD6,2.410599173489529e-11,6.4801053050793785e-12
RPL9,0.013851847328473006,0.012064512189315198
RPL6,0.011615562848053084,0.009866983494582727
PSMC1,0.0010273224077928438,7.511604702141224e-4
POLR2F,6.681554190223755e-4,4.741748134997503e-4
PSMC2,2.566062242405485e-4,1.7043187394240794e-4
POLA1,0.005614826408113961,0.004467711335488528
NUP205,0.0020068789483847584,0.0015321333907023424
RPS11,0.02867154699997157,0.026328642990511693
COPS6,9.641363260972048e-4,6.945928370807819e-4
NUP133,0.012795770268746325,0.011007114209674257
RPL5,0.023438714350534767,0.02091842248488587
NUP54,0.005986997941408998,0.004828224146297579
RPL3,0.004844331319972828,0.0038025396382582416
PSMA3,0.02867154699997157,0.026513473569866185
PSMB3,0.07817396119320948,0.0739710600537896
COPZ1,0.011164417914191002,0.009363705347386002
NUP98,4.32045616496059e-5,2.6944780383625184e-5
COPS2,0.02867154699997157,0.02631014780385173
RPL30,0.08512959298449337,0.08146810511419257
RPS27,0.045013496873979694,0.04210940030146488
PSMD1,0.017226906978753582,0.015189315830728967
RPL27,0.23144523220654503,0.2264679153848989
COPS8,0.13793822731552866,0.13348860707954385
RPS24,0.4111140534991402,0.4066934722787193
RPS7,0.740889065987558,0.740889065987558
IL1F10,1,1
LYZL6,1,1
MRGPRD,1,1
DMRTC2,1,1
DMRTB1,1,1
KRT25,1,1
HTR3D,1,1
PIWIL3,1,1
OC90,1,1
OR9Q2,1,1
TPH2,1,1
KRT74,1,1
RNASE9,1,1
RPTN,1,1
FCRL4,1,1
KRT9,1,1
CRYGB,1,1
OTUD6A,1,1
CYP7A1,1,1
IL22,1,1
LUZP4,1,1
NPHS2,1,1
SPATA16,1,1
ABCG8,1,1
RXFP2,1,1
NPSR1,1,1
CABP5,1,1
OLIG2,1,1
OR12D2,1,1
LHX5,1,1
TAS2R13,1,1
KRT77,1,1
TRIM42,1,1
PLA2G2E,1,1
ADH7,1,1
SAGE1,1,1
TAAR8,1,1
VN1R2,1,1
TGM6,1,1
TAS2R9,1,1
MAGEB3,1,1
DEFB129,1,1
FAM71B,1,1
TAAR1,1,1
POU4F2,1,1
NLRP5,1,1
OR52E8,1,1
