gene,fdr,stat
RPS13,1.1764452883366203e-4,-2.8938713131595692
RPS19,1.1764452883366203e-4,-2.7159657991745325
PSMB2,1.1764452883366203e-4,-2.6595170715046907
RPL11,1.1764452883366203e-4,-2.5589363056850862
NUP93,1.1764452883366203e-4,-2.463774097469209
RPL18A,1.1764452883366203e-4,-2.4211168523212945
COPB1,1.1764452883366203e-4,-2.2745504631120914
PSMD6,1.1764452883366203e-4,-2.2608796777222295
POLR2D,1.1764452883366203e-4,-2.253519927079207
COPS4,1.1764452883366203e-4,-2.23246837117265
PSMC1,1.1764452883366203e-4,-2.224256100310555
PSMD11,1.1764452883366203e-4,-2.2160447872316937
RPS3A,1.1764452883366203e-4,-2.1650265116649514
RPS8,1.1764452883366203e-4,-2.10232089780563
RPL35A,1.1764452883366203e-4,-2.058799974459291
POLR2A,1.1764452883366203e-4,-2.03156837689627
RPL36,1.1764452883366203e-4,-2.0154898330477593
RPL34,1.8181427183384133e-4,-1.9884684115116629
PSMD7,1.8181427183384133e-4,-1.9424601499851073
COPA,1.8181427183384133e-4,-1.9022613182141443
PSMC4,1.8181427183384133e-4,-1.8616713498165829
POLR2F,1.8181427183384133e-4,-1.8574895471360786
PSMC2,5.833207888002409e-4,-1.7333764499920283
RPS9,5.833207888002409e-4,-1.7331231695855511
RPS11,0.0034399260230962778,-1.514969068151497
RPL6,0.006615242352108227,-1.4159980846203415
RPL9,0.014518206299028216,-1.3129499130302227
NUP133,0.014999677426291907,-1.3031338354188824
RPL5,0.016275512057953516,-1.285702610782581
POLA1,0.017932947678544548,-1.2707368581994456
NUP205,0.03443675942452851,-1.1700077149456611
NUP54,0.03443675942452851,-1.167206775988331
PSMB3,0.04829307908621826,-1.1152314906603018
COPS6,0.04829307908621826,-1.1132992919269462
PSMA3,0.056913061777473295,-1.0851484501332498
NUP98,0.06299864519042601,-1.066155263496954
COPZ1,0.11507860627234404,-0.9679721259129069
RPL3,0.23852118630159622,-0.8324998280514047
RPL30,0.2599944087223931,-0.8106201701741624
COPS2,0.3113433044450657,-0.7691732451255315
PSMD1,0.5961823008264705,-0.6129578250604939
RPL27,0.658366793955276,-0.5798058783441086
RPS27,0.7255657917834225,-0.5449472970381205
RPS24,1,-0.12241003941844912
COPS8,1,-0.11344511781956437
RPS7,1,1.3765477173419844
IL1F10,1,1.4359578680998666
LYZL6,1,1.6859660346524339
MRGPRD,1,1.7030537899172578
OC90,1,1.71399397405727
DMRTB1,1,1.894196679200095
OR9Q2,1,1.9108062211364583
HTR3D,1,1.9113959039479882
DMRTC2,1,1.916430138740096
KRT25,1,1.922712688259749
TPH2,1,1.9254121055278834
PIWIL3,1,1.9633827002548867
FCRL4,1,2.0063137602064796
RNASE9,1,2.0070157353352585
OTUD6A,1,2.055964529733661
KRT9,1,2.078396013813029
KRT74,1,2.130509260468472
RPTN,1,2.1384972663747486
SPATA16,1,2.163888231764229
OLIG2,1,2.1649960651045665
OR12D2,1,2.170870156051298
LUZP4,1,2.1818411156975412
ADH7,1,2.205457575698993
LHX5,1,2.209065534319419
CYP7A1,1,2.242358859487818
TAS2R13,1,2.2640578751912352
CRYGB,1,2.2822335112016776
NPSR1,1,2.285014868277501
ABCG8,1,2.2888740645868206
RXFP2,1,2.2895037656458723
NPHS2,1,2.3254779387621096
POU4F2,1,2.349667854652024
CABP5,1,2.362729252478464
KRT77,1,2.37447068764847
IL22,1,2.4439621091917108
TAAR8,1,2.447653951058518
SAGE1,1,2.4660880583801346
TAS2R9,1,2.481254581794053
VN1R2,1,2.4855212620663423
TRIM42,1,2.4870897709736703
TAAR1,1,2.4876511364864697
MAGEB3,1,2.5111592464419803
PLA2G2E,1,2.5320959538276377
DEFB129,1,2.6664640008392233
NLRP5,1,2.81093955768332
FAM71B,1,2.8587773795083997
TGM6,1,2.898966937950925
OR52E8,1,3.0109880289909974
