gene,fdr,stat
ABCG8,1,0.9999999996447737
ADH7,1,0.9999999999994331
CABP5,1,0.9999997899488906
COPA,0.01833168038135599,0.006504789812739222
COPB1,7.555682489126463e-11,1.2186584659881391e-11
COPS2,1,0.9601728523080889
COPS4,2.986391222509553e-4,8.99128540110403e-5
COPS6,1,0.9996989018519526
COPS8,1,0.9999999999990103
COPZ1,2.7923039733764587e-24,6.413177728424739e-26
CRYGB,1,0.9999999997899349
CYP7A1,1,0.9999999999943232
DEFB129,1,0.9999999995187112
DMRTB1,1,1
DMRTC2,1,0.9774347334018344
FAM71B,1,0.9999999865004595
FCRL4,1,0.9999999999999961
HTR3D,1,0.9999999999988758
IL1F10,1,1
IL22,1,0.9999999999884757
KRT25,1,0.999965106542607
KRT74,1,0.9999998167445021
KRT77,1,0.9999999999661077
KRT9,1,0.9999999999878489
LHX5,1,0.9999999892092664
LUZP4,1,0.9999999944421059
LYZL6,1,0.9999999995089514
MAGEB3,1,0.9999999999999939
MRGPRD,1,0.9999955523729966
NLRP5,1,0.9999999771294646
NPHS2,1,0.9999999821557094
NPSR1,1,0.9999999999608624
NUP133,1.874014038868389e-8,3.828630832096709e-9
NUP205,1.6022893485281821e-10,2.7566268361775175e-11
NUP54,1.1607863445809875e-6,2.6211304555054557e-7
NUP93,2.679904883157133e-21,1.7289708923594407e-22
NUP98,3.2577414246041486e-4,1.0158548528335516e-4
OC90,1,0.9999999999999996
OLIG2,1,1
OR12D2,1,0.9999915472352654
OR52E8,1,0.9975187723261933
OR9Q2,1,0.9992835204250858
OTUD6A,1,0.99999999997132
PIWIL3,1,0.999999999591523
PLA2G2E,1,0.9999999742664873
POLA1,1.0427883050662187e-17,1.345533296859637e-18
POLR2A,1.5701340406077483e-12,2.3636426417751047e-13
POLR2D,2.881289138167005e-18,3.4079763999824786e-19
POLR2F,4.368596059369209e-4,1.40922453528039e-4
POU4F2,1,0.9616855360334016
PSMA3,1.0511924063542902e-18,1.0172829738912485e-19
PSMB2,1,0.9997768032354315
PSMB3,0.5788055696692793,0.23650120051002813
PSMC1,0.10299267457118529,0.03986813209207172
PSMC2,1.6922797652310688e-4,4.9130702861547154e-5
PSMC4,1,0.9999999999999991
PSMD1,3.771187812641983e-22,2.02752032937741e-23
PSMD11,4.8351655059464725e-5,1.3517667005871858e-5
PSMD6,9.274850629784192e-6,2.2937802632799614e-6
PSMD7,5.547778163952679e-10,1.0141099869590918e-10
RNASE9,1,0.9999982178323389
RPL11,2.7923039733764587e-24,9.007432172182124e-26
RPL18A,0.003658676869804693,0.0012588995681048407
RPL27,0.1780649426203324,0.07084304168765912
RPL3,2.1213186271767855e-5,5.702469427894585e-6
RPL30,1.81339130218393e-5,4.679719489506916e-6
RPL34,1.6422950408473507e-23,7.06363458428968e-25
RPL35A,0.02838125442457942,0.010375942477803228
RPL36,1.809274450205942e-14,2.529093317492177e-15
RPL5,2.7739298747584768e-8,5.965440590878444e-9
RPL6,3.502581017002279e-19,3.012972917851423e-20
RPL9,0.0739580885120812,0.0278336892249768
RPS11,5.309949180389046e-4,1.7699830601296818e-4
RPS13,1,0.999999855759406
RPS19,2.045380289715232e-9,3.9588005607391584e-10
RPS24,2.7923039733764587e-24,4.0313512827494e-26
RPS27,8.720476511967047e-6,2.062908422185753e-6
RPS3A,0.6745615892001264,0.2828806664387627
RPS7,2.6452233392248505e-18,2.8443261712095166e-19
RPS8,1.5295733706674948e-20,1.151291784373383e-21
RPS9,1,0.9999999999998326
RPTN,1,0.9999999977058286
RXFP2,1,0.999999999990385
SAGE1,1,1
SPATA16,1,0.999999999996935
TAAR1,1,0.9999999999955542
TAAR8,1,0.9999999999877399
TAS2R13,1,0.9950956526411601
TAS2R9,1,0.994822870227424
TGM6,1,0.9999999930318617
TPH2,1,0.9999467990572238
TRIM42,1,0.9999837916014478
VN1R2,1,0.9957290902624724
