gene,fdr,stat
ABCG8,0.9999676685316425,0.9905376666586847
ADH7,0.9999676685316425,0.8335650099878669
CABP5,0.9999676685316425,0.9969190321012316
COPA,0.43172905270251044,0.10212945332747558
COPB1,0.0032857699876100103,3.5330860081828064e-4
COPS2,0.9999676685316425,0.8158064024391363
COPS4,0.9999676685316425,0.36780081529375463
COPS6,0.9999676685316425,0.895111174659372
COPS8,0.9999676685316425,0.9923718691003744
COPZ1,0.004380508828534357,5.181247001492251e-4
CRYGB,0.9999676685316425,0.9818537352119185
CYP7A1,0.9999676685316425,0.9288912860808786
DEFB129,0.9999676685316425,0.9782434960086309
DMRTB1,0.9999676685316425,0.9586209231527076
DMRTC2,0.9999676685316425,0.7986619855981301
FAM71B,0.9999676685316425,0.9672716366477496
FCRL4,0.9999676685316425,0.9318699937595178
HTR3D,0.9999676685316425,0.9755531688822789
IL1F10,0.9999676685316425,0.910827888580751
IL22,0.9999676685316425,0.9721425023116441
KRT25,0.9999676685316425,0.9845263297546464
KRT74,0.9999676685316425,0.79407390613244
KRT77,0.9999676685316425,0.902413526554373
KRT9,0.9999676685316425,0.9999676685316425
LHX5,0.9999676685316425,0.9870659980755212
LUZP4,0.9999676685316425,0.9273079069773624
LYZL6,0.9999676685316425,0.9447511353644881
MAGEB3,0.9999676685316425,0.9817715924749317
MRGPRD,0.9999676685316425,0.9948082990236894
NLRP5,0.9999676685316425,0.7056944922938615
NPHS2,0.9999676685316425,0.978288179144702
NPSR1,0.9999676685316425,0.9750091095512073
NUP133,0.2026811603741962,0.04140797900117987
NUP205,0.007257084462368585,9.363979951443335e-4
NUP54,0.2794274606061591,0.06009192701207722
NUP93,0,0
NUP98,0.2026811603741962,0.03963655573987368
OC90,0.9999676685316425,0.9993905720792621
OLIG2,0.9999676685316425,0.9993782839956704
OR12D2,0.9999676685316425,0.9757988214935217
OR52E8,0.9999676685316425,0.952475939616035
OR9Q2,0.9999676685316425,0.9740984159419404
OTUD6A,0.9999676685316425,0.9767590213672395
PIWIL3,0.9999676685316425,0.895964069654805
PLA2G2E,0.9999676685316425,0.9522849327255304
POLA1,0.001558269484212132,1.1728910096220346e-4
POLR2A,3.5466498938581116e-4,1.4631074568005609e-5
POLR2D,0.001279254760005788,8.253256516166374e-5
POLR2F,0.2928453829141849,0.066126376787074
POU4F2,0.9999676685316425,0.9042727447111799
PSMA3,3.5466498938581116e-4,1.71866638954965e-5
PSMB2,0.9999676685316425,0.9980274186453203
PSMB3,0.9999676685316425,0.886677547924684
PSMC1,0.9999676685316425,0.5743860658511057
PSMC2,0.9999676685316425,0.3668311253896299
PSMC4,0.9999676685316425,0.8453753810205435
PSMD1,0.0026920814400221613,2.445036611989915e-4
PSMD11,0.9999676685316425,0.3855244726493381
PSMD6,0.45819739473141663,0.11331763525615679
PSMD7,0.09731253153562179,0.01778831221618893
RNASE9,0.9999676685316425,0.985491197270965
RPL11,0.0026920814400221613,2.605240103247253e-4
RPL18A,0.9999676685316425,0.8119907361170355
RPL27,0.9999676685316425,0.9944860844681821
RPL3,0.9999676685316425,0.5485031733024461
RPL30,0.9999676685316425,0.626174138007973
RPL34,1.2583594048731772e-4,2.706149257791779e-6
RPL35A,0.9999676685316425,0.912848197902223
RPL36,0.9999676685316425,0.40654813899983755
RPL5,0.9999676685316425,0.3110088682591915
RPL6,3.5466498938581116e-4,1.9068010182032857e-5
RPL9,0.9999676685316425,0.38132771882750205
RPS11,0.5474818824538903,0.1412856470848749
RPS13,0.9999676685316425,0.9938394754099455
RPS19,0.7255851910867127,0.19504978255019156
RPS24,0.07430891732757304,0.011707858939686844
RPS27,0.04437491738714013,0.006202945441213137
RPS3A,0.9999676685316425,0.9519551085654163
RPS7,0.07430891732757304,0.011985309246382747
RPS8,0.08433498406972414,0.014509244571135338
RPS9,0.9999676685316425,0.8876251314553356
RPTN,0.9999676685316425,0.9550386539925703
RXFP2,0.9999676685316425,0.947969850722176
SAGE1,0.9999676685316425,0.8995918110658663
SPATA16,0.9999676685316425,0.9977434270514086
TAAR1,0.9999676685316425,0.9773670693257852
TAAR8,0.9999676685316425,0.9879601554199825
TAS2R13,0.9999676685316425,0.9000116962260147
TAS2R9,0.9999676685316425,0.9497978458239608
TGM6,0.9999676685316425,0.9928931776156122
TPH2,0.9999676685316425,0.9999224710563692
TRIM42,0.9999676685316425,0.7771229802138562
VN1R2,0.9999676685316425,0.7140650636441082
