gene,fdr,category
PSMB2,0.002221744427721637,1
RPS19,0.002221744427721637,1
RPS13,0.002221744427721637,1
NUP93,0.002221744427721637,1
RPL11,0.002221744427721637,1
COPB1,0.002221744427721637,1
PSMD7,0.002221744427721637,1
RPL18A,0.002221744427721637,1
PSMD11,0.002221744427721637,1
RPS8,0.002221744427721637,1
COPS4,0.002221744427721637,1
COPA,0.002221744427721637,1
POLR2D,0.002221744427721637,1
RPL35A,0.002221744427721637,1
RPL36,0.002221744427721637,1
PSMC1,0.002221744427721637,1
RPL34,0.002221744427721637,1
PSMD6,0.002221744427721637,1
RPS9,0.00299935497742421,1
RPL9,0.00299935497742421,1
POLR2A,0.00952176183309273,1
RPS11,0.014542327163268897,1
PSMA3,0.018256943340843018,1
POLR2F,0.01999569984949473,1
COPS2,0.02845541901658866,1
PSMC4,0.02845541901658866,1
PSMC2,0.04369430707852553,1
RPL5,0.06927081733574961,1
PSMB3,0.07791427872389327,1
RPL6,0.09131369597935927,1
NUP54,0.10836379273274566,1
COPZ1,0.12684772092023222,1
POLA1,0.12845722327554193,1
NUP205,0.14173422540377148,1
RPS3A,0.17082040728568357,1
RPL30,0.1916254568909912,1
NUP133,0.28318234381446594,1
PSMD1,0.45358666500695943,1
COPS6,0.4547739940128674,1
RPL27,0.9842883250913783,1
RPL3,1,1
COPS8,1,1
NUP98,1,1
RPS27,1,1
RPS24,1,1
RPS7,1,1
LYZL6,1,0
KRT25,1,0
MRGPRD,1,0
KRT74,1,0
RNASE9,1,0
TPH2,1,0
KRT9,1,0
DMRTC2,1,0
IL1F10,1,0
FCRL4,1,0
PIWIL3,1,0
KRT77,1,0
RPTN,1,0
ADH7,1,0
LHX5,1,0
OR9Q2,1,0
NPHS2,1,0
IL22,1,0
OC90,1,0
DMRTB1,1,0
CABP5,1,0
TAS2R13,1,0
PLA2G2E,1,0
OR12D2,1,0
OTUD6A,1,0
CYP7A1,1,0
POU4F2,1,0
RXFP2,1,0
MAGEB3,1,0
NPSR1,1,0
CRYGB,1,0
TAAR8,1,0
TAAR1,1,0
SAGE1,1,0
TGM6,1,0
VN1R2,1,0
OLIG2,1,0
LUZP4,1,0
SPATA16,1,0
DEFB129,1,0
ABCG8,1,0
HTR3D,1,0
NLRP5,1,0
TAS2R9,1,0
OR52E8,1,0
FAM71B,1,0
TRIM42,1,0
