gene,fdr,stat
PSMB2,0.01075269,1
RPL11,0.01075269,2
NUP93,0.01075269,3
COPB1,0.01075269,4
PSMD7,0.01075269,5
RPS19,0.01075269,6
RPS9,0.01075269,7
COPA,0.01075269,8
RPL36,0.01075269,9
RPL9,0.01075269,10
RPS13,0.01075269,11
RPS8,0.01075269,12
RPL35A,0.01075269,13
POLR2D,0.01075269,14
PSMD11,0.01075269,15
PSMD6,0.01075269,16
COPS4,0.01075269,17
RPL18A,0.01075269,18
POLR2A,0.01075269,19
PSMA3,0.01075269,20
RPL34,0.05075269,21
COPZ1,0.05075269,22
PSMB3,0.05075269,23
PSMC1,0.05075269,24
RPL5,0.05075269,25
RPS11,0.07741935,26
PSMC4,0.07741935,27
RPL30,0.07741935,28
PSMC2,0.07741935,29
POLA1,0.07741935,30
COPS2,0.1045027,31
NUP205,0.1045027,32
NUP133,0.1283997,33
NUP54,0.1283997,34
COPS8,0.1536098,35
RPL27,0.1629266,36
POLR2F,0.1629266,37
PSMD1,0.1629266,38
NUP98,0.1629266,39
RPL3,0.1629266,40
COPS6,0.1629266,41
RPS3A,0.1629266,42
RPS24,0.1629266,43
RPL6,0.1629266,44
RPS7,0.1629266,45
RPS27,0.1629266,46
LYZL6,0.1809655,47
MRGPRD,0.1982527,48
KRT25,0.2148343,49
TPH2,0.2507527,50
FCRL4,0.2656546,51
PIWIL3,0.2992142,52
RPTN,0.3126395,53
RNASE9,0.344086,54
IL1F10,0.3562072,55
KRT9,0.3857527,56
ADH7,0.4142615,57
OR9Q2,0.4417872,58
DMRTC2,0.4514307,59
FAM71B,0.4774194,60
IL22,0.4861625,61
PLA2G2E,0.5107527,62
CRYGB,0.5345622,63
NPHS2,0.5576277,64
MAGEB3,0.5799835,65
POU4F2,0.6016618,66
KRT74,1,67
KRT77,1,68
CABP5,1,69
DMRTB1,1,70
LHX5,1,71
TAS2R13,1,72
CYP7A1,1,73
RXFP2,1,74
OTUD6A,1,75
TAAR8,1,76
TGM6,1,77
OC90,1,78
OR12D2,1,79
TAAR1,1,80
VN1R2,1,81
SAGE1,1,82
NPSR1,1,83
DEFB129,1,84
LUZP4,1,85
OR52E8,1,86
NLRP5,1,87
SPATA16,1,88
ABCG8,1,89
HTR3D,1,90
OLIG2,1,91
TAS2R9,1,92
TRIM42,1,93
