gene,sgRNA,t_value,dof,p_value_neg,p_value_pos,p_value_twosided,log2FC,fdr_neg,fdr_pos,fdr_twosided
RPS19,RPS19-10,-64.6580236616409,3.9382954935827246,2.0738539266032234e-7,0.9999997926146074,4.1477078527307754e-7,-2.834309955902791,2.3575789731889747e-5,0.9999999141736545,4.7151579473487196e-5
NUP93,NUP93-4,-56.258355436962255,3.432233308910278,1.6341855614240202e-6,0.9999983658144386,3.2683711228553847e-6,-3.4860592218811135,3.273840051774301e-5,0.9999999141736545,6.190533916123493e-5
PSMD11,PSMD11-2,-60.83059644106008,2.817458034447951,8.807056644551817e-6,0.9999911929433555,1.7614113289043942e-5,-2.8344629298702184,7.726826419911256e-5,0.9999999141736545,1.0729913177675711e-4
RPS3A,RPS3A-3,-119.04667477093027,2.934424281416133,8.425636418408835e-7,0.9999991574363581,1.6851272837126174e-6,-2.423102250602149,2.927668198814854e-5,0.9999999141736545,5.855336397474857e-5
PSMB3,PSMB3-3,-43.38491019564268,3.489538393345277,3.397067095260736e-6,0.9999966029329047,6.794134190579726e-6,-3.443514510375577,4.5815647790790465e-5,0.9999999141736545,8.16253579444774e-5
POLR2A,POLR2A-5,-83.01129896396183,3.84674353768476,1.0543175233553267e-7,0.9999998945682477,2.1086350465715498e-7,-2.99587238887184,2.3575789731889747e-5,0.9999999141736545,4.7151579473487196e-5
RPS8,RPS8-8,-78.87007991993492,3.791260491118295,1.5425712986042337e-7,0.9999998457428702,3.0851425969480317e-7,-3.11497045394791,2.3575789731889747e-5,0.9999999141736545,4.7151579473487196e-5
RPL36,RPL36-3,-78.61886952120382,2.4884398410059703,1.36733065843091e-5,0.9999863266934157,2.7346613168610645e-5,-4.143038696207714,1.0030570708031331e-4,0.9999999141736545,1.3408211864813688e-4
RPS13,RPS13-4,-53.11168685586673,2.047021094087673,1.516085955719545e-4,0.999848391404428,3.032171911439008e-4,-4.430569259032495,6.307180101499926e-4,0.9999999141736545,7.266626451104455e-4
RPS11,RPS11-2,-36.64274300156638,3.48059609568941,6.261985557477435e-6,0.9999937380144425,1.2523971114841714e-5,-1.8537513175937157,6.612932000808587e-5,0.9999999141736545,1.0103360771530562e-4
NUP93,NUP93-7,-38.92750763988905,3.019816265755391,1.7658506569326057e-5,0.9999823414934307,3.5317013138636e-5,-2.2436951705826047,1.1624172452415365e-4,0.9999999141736545,1.5152939089735858e-4
PSMC1,PSMC1-10,-54.33249334084732,3.9950931527832574,3.4842633802408846e-7,0.999999651573662,6.968526760076088e-7,-2.6039660003009466,2.7555286508969232e-5,0.9999999141736545,5.5110573022722526e-5
RPS9,RPS9-10,-32.95505530537702,2.0722216056552285,3.7472049615378596e-4,0.9996252795038462,7.494409923074485e-4,-2.5740266591213476,0.0013537834466307833,0.9999999141736545,0.001509880070455887
COPB1,COPB1-3,-48.85902200311981,2.825202060264844,1.5945320162211996e-5,0.9999840546798378,3.189064032449451e-5,-2.7965741859977697,1.1076441619306715e-4,0.9999999141736545,1.4516521561735158e-4
PSMC1,PSMC1-6,-101.2984069664624,3.106830619652249,7.143162986763031e-7,0.9999992856837013,1.4286325973333902e-6,-2.138531793220274,2.927668198814854e-5,0.9999999141736545,5.855336397474857e-5
PSMC1,PSMC1-9,-46.139674221888235,3.3618896341868405,3.940431790644361e-6,0.9999960595682094,7.880863581277708e-6,-2.0842420895714664,4.9825723036963565e-5,0.9999999141736545,8.546715600809652e-5
RPL5,RPL5-6,-76.26126791402355,3.93992984330902,1.0773299906948113e-7,0.9999998922670009,2.1546599815458478e-7,-2.274275678762967,2.3575789731889747e-5,0.9999999141736545,4.7151579473487196e-5
RPL11,RPL11-2,-36.71020551187975,2.8259748608092883,3.564873011343558e-5,0.9999643512698866,7.129746022682681e-5,-2.487682340711343,1.9917691650588135e-4,0.9999999141736545,2.500615302116079e-4
PSMB2,PSMB2-1,-54.49862594272504,3.8211160028034135,5.730554803367131e-7,0.9999994269445197,1.1461109608035258e-6,-2.7652276167779846,2.927668198814854e-5,0.9999999141736545,5.855336397474857e-5
RPS11,RPS11-10,-57.9007238233217,3.229989263568199,2.7640327480451506e-6,0.999997235967252,5.52806549602991e-6,-3.157709169139551,4.150367923236546e-5,0.9999999141736545,7.482353438992596e-5
PSMB2,PSMB2-13,-36.951460283867036,2.8851689201357016,2.976906052423826e-5,0.9999702309394758,5.953812104841916e-5,-2.8732125736074074,1.7550961450179734e-4,0.9999999141736545,2.235005247169172e-4
NUP93,NUP93-1,-28.868967172383485,3.994777645330512,4.336212842025491e-6,0.999995663787158,8.672425684030927e-6,-2.1571773705389123,5.1445685693660454e-5,0.9999999141736545,8.546715600809652e-5
COPZ1,COPZ1-18,-25.370806068884665,2.1667434263606316,5.059924517699233e-4,0.99949400754823,0.0010119849035397088,-1.8180602896789075,0.0017366383791103438,0.9999999141736545,0.0019106434033431437
RPS8,RPS8-7,-77.30618120768779,3.988084858421475,8.723287043868096e-8,0.9999999127671295,1.7446574074320154e-7,-3.0982526626664555,2.3575789731889747e-5,0.9999999141736545,4.7151579473487196e-5
PSMC1,PSMC1-8,-64.9552798563842,3.621855531230119,5.475457819856087e-7,0.9999994524542181,1.0950915640961512e-6,-2.2232548199221824,2.927668198814854e-5,0.9999999141736545,5.855336397474857e-5
PSMD6,PSMD6-7,-60.79242590771261,2.257621996336598,5.610885634682756e-5,0.9999438911436531,1.1221771269354086e-4,-2.6988549738366956,2.793814038823901e-4,0.9999999141736545,3.433936176925993e-4
COPA,COPA-8,-77.21962965764159,3.9944306070020024,8.582634544505696e-8,0.9999999141736545,1.7165269095009705e-7,-3.1460466929788513,2.3575789731889747e-5,0.9999999141736545,4.7151579473487196e-5
RPL18A,RPL18A-6,-42.60228682104121,3.3813489230097438,4.87987359697952e-6,0.999995120126403,9.759747193971435e-6,-2.8487317432009522,5.6127964443171545e-5,0.9999999141736545,8.917527060995865e-5
