sgrna,Gene,control_count,treatment_count,control_mean,treat_mean,LFC,control_var,adj_var,score,p.low,p.high,p.twosided,FDR,high_in_treatment
RPS19-10,RPS19,9441.5/9125.2/9289,1014.3/1231.2/1045.5,9284.3,1093,-3.0854,25028,58594,33.84,2.5485e-251,1,5.0971e-251,4.8983e-248,False
NUP93-4,NUP93,8414.8/8032.2/8259,694.35/497.27/666.79,8233.8,612.9,-3.7457,37025,51015,33.741,7.21e-250,1,1.442e-249,6.9288e-247,False
PSMD11-2,PSMD11,8725.5/8943/9267.3,1023.4/1241.6/914.68,8975.9,1051.4,-3.0925,74333,56354,33.382,1.2602000000000001e-244,1,2.5203e-244,8.0735e-242,False
RPS3A-3,RPS3A,8274.8/8375/8669.8,1277.7/1352.7/1349.6,8438.2,1326.2,-2.6687,42166,52478,31.046,6.5022e-212,1,1.3004e-211,3.1243e-209,False
PSMB3-3,PSMB3,6894.7/6500.1/6785.5,454.15/651.95/456.77,6724.7,513.3,-3.709,41524,40395,30.905,5.1682e-210,1,1.0336e-209,1.9867e-207,False
POLR2A-5,POLR2A,7115.5/7041/7168.7,652.97/815.98/783.85,7108.2,747.48,-3.2476,4113.9,43062,30.652,1.238e-206,1,2.476e-206,3.9657e-204,False
RPS8-8,RPS8,6491.3/6507.6/6690.7,679.21/690.36/543.99,6562.6,634.2,-3.3692,12265,39275,29.914,6.4429e-197,1,1.2886e-196,1.769e-194,False
RPL36-3,RPL36,5553.6/5505.2/5429.6,268.46/286.53/230.68,5495.9,260.82,-4.3919,3906.1,32018,29.257,1.8319e-188,1,3.6638e-188,4.4012e-186,False
RPS13-4,RPS13,5344.9/5181/5067.2,188.73/198.28/224.94,5196.5,203.42,-4.6682,19499,30018,28.819,6.2228e-183,1,1.2446e-182,1.3289e-180,False
RPS11-2,RPS11,8758.9/8987.9/8725.1,1917.5/2297.4/1956.7,8823.2,2050.4,-2.1049,20436,55249,28.814,7.1542e-183,1,1.4308e-182,1.375e-180,False
NUP93-7,NUP93,7374.2/7193.3/7240.8,1270.6/1113.9/1496.5,7269,1284.3,-2.4999,8799.6,44187,28.471,1.3414e-178,1,2.6828e-178,2.3438e-176,False
PSMC1-10,PSMC1,6292.8/6266.6/6171.3,869.96/960.28/765.48,6243.3,861.54,-2.8559,4090.2,37082,27.948,3.5345e-172,1,7.0691e-172,5.6611e-170,False
RPS9-10,RPS9,6506.1/6214.2/5981.7,863.9/900.07/883.69,6230.3,882.43,-2.8184,69078,36993,27.805,1.8925e-170,1,3.785e-170,2.798e-168,False
COPB1-3,COPB1,5770.6/5717.3/5900.7,561.13/827.4/719.58,5795.7,693.88,-3.0604,8900.4,34037,27.653,1.2694e-168,1,2.5388e-168,1.7427e-166,False
PSMC1-6,PSMC1,6955/7082.1/7154.9,1350.4/1360/1343.9,7063.5,1351.4,-2.3851,10234,42750,27.627,2.6512e-168,1,5.3023e-168,3.397e-166,False
PSMC1-9,PSMC1,7253.6/7230.6/7001.8,1393.7/1517.8/1357.7,7161.1,1421.4,-2.332,19389,43431,27.541,2.8037e-167,1,5.6075e-167,3.368e-165,False
RPL5-6,RPL5,6569.2/6739.3/6671,1220.2/1071.4/1189,6659.4,1158.4,-2.5223,7325.6,39944,27.525,4.4427e-167,1,8.8855e-167,5.0229e-165,False
RPL11-2,RPL11,6121.2/6392.7/5979.7,1017.3/891.76/868.77,6162.2,923.71,-2.7366,44057,36527,27.409,1.0713e-165,1,2.1425e-165,1.1439e-163,False
PSMB2-1,PSMB2,5802.2/5714.5/5640,614.62/772.38/740.24,5718.5,705.67,-3.0168,6593.4,33515,27.382,2.2664e-165,1,4.5328e-165,2.2926e-163,False
RPS11-10,RPS11,5258.7/5253.9/5236,383.51/580.32/523.33,5249.5,488.36,-3.4235,142.36,30371,27.32,1.217e-164,1,2.4339e-164,1.1695e-162,False
PSMB2-13,PSMB2,5701.1/5307.1/5540.2,724.63/603.16/574.97,5513.8,631.05,-3.1252,39239,32137,27.237,1.1919e-163,1,2.3837e-163,1.0908e-161,False
NUP93-1,NUP93,6507/6920.5/6597.9,1471.5/1203.2/1108.6,6672.8,1252.1,-2.4131,47220,40036,27.091,6.2121e-162,1,1.2424e-161,5.4271e-160,False
COPZ1-18,COPZ1,8170.9/7607.1/7480.8,1839.8/1899.8/1817.9,7747.2,1852.2,-2.0639,135060,47554,27.033,3.0383e-161,1,6.0766e-161,2.539e-159,False
RPS8-7,RPS8,5098.2/5055.8/5212.3,564.16/441.21/506.11,5121.7,501.3,-3.3503,6551.6,29521,26.891,1.3826e-159,1,2.7652e-159,1.1072e-157,False
PSMC1-8,PSMC1,6400.4/6069.4/6672.9,1157.6/1230.2/1062.7,6376.1,1148.1,-2.4724,91371,37992,26.822,8.9805e-159,1,1.7961e-158,6.9042e-157,False
PSMD6-7,PSMD6,5423.8/5632.2/5434.5,673.16/687.25/788.44,5496,714.5,-2.9416,13778,32018,26.722,1.3105e-157,1,2.621e-157,9.6876e-156,False
COPA-8,COPA,4823.7/5003.5/5103.7,432.96/540.87/446.44,4975.6,471.09,-3.398,20132,28554,26.657,7.3619e-157,1,1.4724e-156,5.2406e-155,False
RPL18A-6,RPL18A,5306.9/5142.7/5200.5,757.93/511.8/561.2,5216.3,601.57,-3.1141,6936.6,30149,26.577,6.2792e-156,1,1.2558e-155,4.3102e-154,False
RPL5-5,RPL5,6066.5/6297.4/6032,1167.7/1065.1/1050.1,6130.8,1093.1,-2.4866,20822,36314,26.436,2.6142e-154,1,5.2285e-154,1.7326e-152,False
POLR2F-2,POLR2F,6250.1/6294.6/6243.4,1016.3/1291.4/1237.2,6262.7,1175.4,-2.4127,774.42,37214,26.371,1.4672e-153,1,2.9343e-153,9.3996e-152,False
PSMB3-9,PSMB3,5101/5288.5/5236,754.91/581.36/581.86,5207.9,634.43,-3.0352,9353.3,30094,26.364,1.7829e-153,1,3.5657e-153,1.1054e-151,False
POLR2D-9,POLR2D,4593.7/4963.4/4581.3,394.61/345.7/449.88,4709.5,394.45,-3.5743,47147,26804,26.357,2.1584e-153,1,4.3167e-153,1.2964e-151,False
PSMB2-2,PSMB2,4392.4/4144.1/4181.3,212.95/166.1/164.11,4237.9,179.72,-4.5518,17943,23740,26.338,3.4776e-153,1,6.9551e-153,2.0254e-151,False
PSMA3-6,PSMA3,4988.8/5084.8/5200.5,746.83/588.63/473.98,5090.6,592.85,-3.1,11237,29315,26.27,2.1345e-152,1,4.269e-152,1.2066e-150,False
RPL34-1,RPL34,4971.2/5065.2/5027.7,682.24/483.77/561.2,5021.2,570.03,-3.1367,2239.9,28855,26.204,1.2093e-151,1,2.4187e-151,6.641e-150,False
PSMB2-10,PSMB2,4980.4/5105.4/5029.6,599.48/580.32/616.29,5038.2,598.52,-3.0713,3959.6,28968,26.085,2.6784e-150,1,5.3568e-150,1.43e-148,False
RPS24-7,RPS24,6850.2/6844.8/6763.8,1390.7/1843.7/1432.3,6819.5,1542.8,-2.1434,2343.2,41052,26.043,8.0867e-150,1,1.6173e-149,4.2007e-148,False
NUP93-2,NUP93,4598.3/4601.8/4313.7,398.65/316.63/379.87,4502.6,363.3,-3.6279,27355,25453,25.945,1.0384e-148,1,2.0768e-148,5.2522e-147,False
PSMC4-5,PSMC4,10275/10376/9832.2,3859.3/3662.6/3514.1,10158,3676,-1.4662,83743,65005,25.425,6.615e-143,1,1.323e-142,3.26e-141,False
RPL27-10,RPL27,4574.2/4726.1/4333.4,488.47/494.16/436.11,4541.7,472.17,-3.2631,39218,25708,25.381,2.0415e-142,1,4.0829e-142,9.8092e-141,False
RPL36-1,RPL36,4652.1/4357.1/4572.4,559.11/449.52/478.57,4525.5,493.63,-3.194,23301,25602,25.198,2.1107e-140,1,4.2213e-140,9.8944e-139,False
RPL9-3,RPL9,4794/5142.7/5151.1,757.93/747.46/793.03,5026.5,765.9,-2.7127,41541,28890,25.067,5.7637e-139,1,1.1527e-138,2.6376e-137,False
RPS19-2,RPS19,5401.5/5390.3/5237,1017.3/922.91/869.92,5342.4,934.75,-2.5136,8445,30990,25.038,1.1863e-138,1,2.3725e-138,5.3023e-137,False
PSMC2-14,PSMC2,5626/5750.9/5936.2,1259.5/1057.9/1186.7,5769.6,1165,-2.3072,24374,33861,25.023,1.6982e-138,1,3.3963e-138,7.3361e-137,False
NUP54-18,NUP54,4267.2/4402.8/4388.7,456.17/397.61/461.36,4352.5,437.4,-3.3119,5558.7,24480,25.023,1.7176e-138,1,3.4352e-138,7.3361e-137,False
PSMB2-12,PSMB2,3964/4145/3649,236.16/288.6/183.62,3913.9,232.18,-4.0695,63035,21665,25.013,2.1869e-138,1,4.3737e-138,9.1373e-137,False
COPS4-9,COPS4,7068.2/6929.8/6785.5,1737.9/1962.1/1758.2,6926.9,1816.6,-1.9303,19974,41798,24.996,3.4189e-138,1,6.8379e-138,1.3981e-136,False
RPS11-1,RPS11,4339.6/4367.3/4343.3,508.65/508.69/363.81,4350.1,454.9,-3.2546,227.35,24464,24.904,3.4065e-137,1,6.8129e-137,1.364e-135,False
POLR2F-1,POLR2F,8796/8639.4/8621.4,3334.5/2583.9/2969,8685.3,2946.5,-1.5592,9222.5,54254,24.638,2.4891e-134,1,4.9781e-134,9.7632e-133,False
NUP133-7,NUP133,4636.4/4877.4/4690.9,711.51/640.53/778.11,4733.8,707.82,-2.7398,15980,26963,24.518,4.7334e-133,1,9.4668e-133,1.8195e-131,False
RPL11-8,RPL11,3581.8/3497.6/3411,121.11/91.356/175.59,3496.1,124.78,-4.7972,7295,19029,24.44,3.2239e-132,1,6.4478e-132,1.215e-130,False
PSMB2-3,PSMB2,4225.5/4473.8/4314.7,547/618.73/494.64,4336.8,551.14,-2.9739,15830,24378,24.246,3.6458e-130,1,7.2916e-130,1.3475e-128,False
RPL35A-5,RPL35A,5352.4/5163.3/5246.9,1021.3/1006/1059.3,5253.6,1028.6,-2.3515,8977.7,30398,24.233,5.0197e-130,1,1.0039e-129,1.8204e-128,False
RPS13-9,RPS13,4575.1/4706.5/4436.1,649.94/645.72/757.45,4571.2,682.48,-2.7419,18279,25900,24.163,2.7004e-129,1,5.4008e-129,9.6115e-128,False
PSMD6-18,PSMD6,5046.3/5174.5/5020.8,854.82/1004.9/999.61,5080.1,950.48,-2.4169,6787,29245,24.148,3.9221e-129,1,7.8442e-129,1.3706e-127,False
PSMD6-4,PSMD6,4934.1/4735.4/5195.6,1025.4/864.77/817.13,4951.4,898.17,-2.4615,53279,28394,24.054,3.7796e-128,1,7.5592e-128,1.2972e-126,False
RPL35A-4,RPL35A,3559.6/3396.7/3619.4,129.18/259.54/215.76,3524,193.4,-4.1805,13284,19203,24.034,6.0724e-128,1,1.2145e-127,2.0476e-126,False
RPS19-8,RPS19,5294.9/5060.5/5205.4,1029.4/1019.5/1038.6,5186,1029.1,-2.3321,13986,29948,24.021,8.4791e-128,1,1.6958e-127,2.8098e-126,False
POLR2D-2,POLR2D,4412.8/4390.7/4664.2,774.08/655.07/601.37,4487.6,673.09,-2.7352,23091,25356,23.955,4.0898e-127,1,8.1797e-127,1.3323e-125,False
RPS13-8,RPS13,4966.5/4740.1/5084,951.71/762/1028.3,4928.1,906.83,-2.4408,30558,28241,23.929,7.6021e-127,1,1.5204e-126,2.4352e-125,False
COPZ1-17,COPZ1,7707.2/7866.8/7742.5,2482.7/2689.8/2477.8,7771.9,2548.2,-1.6084,7034,47729,23.91,1.1995e-126,1,2.399e-126,3.7794e-125,False
RPS8-4,RPS8,3560.5/3589.2/3713.2,291.67/246.04/292.65,3620.4,275.9,-3.7091,6589.7,19808,23.763,3.9976e-125,1,7.9953e-125,1.2393e-123,False
