gene,sgRNA,t_value,dof,p_value_neg,p_value_pos,p_value_twosided,log2FC,fdr_neg,fdr_pos,fdr_twosided
RPS19,RPS19-10,-30.577105620235738,2.9804312969235327,4.036113872594803e-5,0.999959638861274,8.072227745192784e-5,-2.8041535371376316,4.3096727017373395e-4,0.9999999089136472,6.060477236820519e-4
NUP93,NUP93-4,-75.5229179773838,3.227454573768254,1.18237430854106e-6,0.9999988176256914,2.364748617145196e-6,-4.5321932404882315,7.897858920572822e-5,0.9999999089136472,1.0435416067200443e-4
PSMD11,PSMD11-2,-32.37735444473092,2.8443785491871076,4.8425284565051595e-5,0.9999515747154349,9.685056913011358e-5,-3.189265454724765,5.05833678989289e-4,0.9999999089136472,7.05101491924539e-4
RPS3A,RPS3A-3,-17.80983961837774,3.9274374115969763,3.3307146497341335e-5,0.9999666928535027,6.661429299481547e-5,-1.3108151972890933,3.85640575710181e-4,0.9999999089136472,5.42511318373031e-4
PSMB3,PSMB3-3,-32.955253298603814,2.3926373996867443,1.5408170143779303e-4,0.9998459182985622,3.081634028756497e-4,-3.4586398166533616,0.0011217614778918114,0.9999999089136472,0.0016544415092932924
POLR2A,POLR2A-5,-47.84220256490932,2.596243953977795,3.380559213420581e-5,0.9999661944078658,6.761118426834578e-5,-2.9600326666873507,3.867520719163307e-4,0.9999999089136472,5.448196601530546e-4
RPS8,RPS8-8,-125.03683559624986,2.383888541030641,6.582614278255286e-6,0.9999934173857218,1.3165228556433206e-5,-3.321957677272165,1.5814730803508326e-4,0.9999999089136472,2.040610426247147e-4
RPL36,RPL36-3,-43.372744991044904,2.539379308444809,5.1585806049055276e-5,0.999948414193951,1.0317161209805192e-4,-4.2912188116645424,5.230853768594902e-4,0.9999999089136472,7.361942340983304e-4
RPS13,RPS13-4,-37.17449356933255,2.152390993616082,2.3092135044460937e-4,0.9997690786495554,4.6184270088933665e-4,-4.202131457337673,0.0014410092063459065,0.9999999089136472,0.0021235925146155625
RPS11,RPS11-2,-18.23326578835079,3.073048698034591,1.5555688042258697e-4,0.9998444431195774,3.1111376084513864e-4,-1.5222425844184304,0.001123986181098542,0.9999999089136472,0.0016610018009565457
NUP93,NUP93-7,-108.60224206517698,2.7175123954109752,2.5239004910054374e-6,0.999997476099509,5.047800981872186e-6,-2.384075738179705,1.0531217241046133e-4,0.9999999089136472,1.2035676847092845e-4
PSMC1,PSMC1-10,-20.56383371710097,2.225369880049784,6.954462940321375e-4,0.9993045537059678,0.001390892588064352,-2.6458349165336283,0.00316287230465907,0.9999999089136472,0.004561421282910053
RPS9,RPS9-10,-50.250412398021425,3.0568792842935046,7.315071624275041e-6,0.9999926849283757,1.4630143248428595e-5,-2.381380362784066,1.7145814221776378e-4,0.9999999089136472,2.196807447146856e-4
COPB1,COPB1-3,-78.14529488186155,3.8938865987178835,1.1385903629052038e-7,0.9999998861409637,2.2771807262067512e-7,-3.546003094105867,3.6472844625063364e-5,0.9999999089136472,6.38323951235309e-5
PSMC1,PSMC1-6,-28.928170386590704,3.2843139570499225,2.2723529797627497e-5,0.9999772764702024,4.5447059595193906e-5,-2.0068355847199193,3.0329600188222256e-4,0.9999999089136472,4.280554188451272e-4
PSMC1,PSMC1-9,-95.869577748262,3.0023986109786454,1.2400007297338683e-6,0.9999987599992702,2.4800014595260933e-6,-1.8498288756501253,7.897858920572822e-5,0.9999999089136472,1.0435416067200443e-4
RPL5,RPL5-6,-20.363658388000154,2.2077931946000926,7.39991976693153e-4,0.9992600080233068,0.0014799839533863324,-1.5132312240835475,0.0032620747229455045,0.9999999089136472,0.004678501905277189
RPL11,RPL11-2,-46.58767514022085,2.8692721117970486,1.600379244793168e-5,0.9999839962075521,3.2007584895854535e-5,-2.158953172379931,2.3978862416196316e-4,0.9999999089136472,3.495373759649569e-4
PSMB2,PSMB2-1,-108.9846706105134,3.0030830084653117,8.416839716821089e-7,0.9999991583160284,1.6833679434835602e-6,-3.998349554145612,7.490742570049274e-5,0.9999999089136472,1.0435416067200443e-4
RPS11,RPS11-10,-23.228656181397522,3.6618254523809677,2.0666294633225293e-5,0.9999793337053667,4.1332589266529496e-5,-3.075332592582667,2.837187020361358e-4,0.9999999089136472,3.9753449169244837e-4
PSMB2,PSMB2-13,-50.14673025730596,2.91525009415145,1.1274212938585947e-5,0.9999887257870614,2.254842587712247e-5,-3.2989468500196377,2.0835612757655954e-4,0.9999999089136472,2.8511891141993014e-4
NUP93,NUP93-1,-31.1647101398688,2.313119061828389,2.1796507347751244e-4,0.9997820349265225,4.35930146954977e-4,-2.3149279493454955,0.0013897601437560562,0.9999999089136472,0.0020573900167367566
COPZ1,COPZ1-18,-21.469167337087967,3.8501578778075074,1.8788542334604777e-5,0.9999812114576654,3.7577084669226934e-5,-2.145723952229096,2.6167810410949554e-4,0.9999999089136472,3.8416572730986257e-4
RPS8,RPS8-7,-53.16324294641593,3.151280774846646,4.620310518489911e-6,0.9999953796894815,9.240621037021057e-6,-2.8367799169722847,1.3059171789025895e-4,0.9999999089136472,1.675516380486271e-4
PSMC1,PSMC1-8,-24.436232962314495,3.7752729816394384,1.3445503951166168e-5,0.9999865544960488,2.6891007902207775e-5,-1.5957209008605062,2.2277809132880495e-4,0.9999999089136472,3.151494950490448e-4
