sgrna,Gene,control_count,treatment_count,control_mean,treat_mean,LFC,control_var,adj_var,score,p.low,p.high,p.twosided,FDR,high_in_treatment
NUP93-4,NUP93,8686/8416.9/8891.7,462.94/371.65/175.31,8662.7,311.29,-4.794,56682,66083,32.487,8.0305e-232,1,1.6061e-231,1.5435e-228,False
RPS19-10,RPS19,10237/10769/10115,1366.3/1120.5/1537.3,10370,1330.2,-2.9618,120840,80807,31.8,3.2209e-222,1,6.4418e-222,3.0953e-219,False
PSMD11-2,PSMD11,9281.5/9890.7/9344.7,831.3/1140.8/850.53,9501.8,930.87,-3.3501,112220,73280,31.662,2.6236e-220,1,5.2473e-220,1.6809e-217,False
PSMB3-3,PSMB3,7251.9/7914.6/7593,612.44/528.81/728.2,7581.7,617.84,-3.6151,109850,56934,29.185,1.4954e-187,1,2.9907e-187,7.1852e-185,False
POLR2A-5,POLR2A,8105.9/7958.9/8144.2,1157.3/733.13/914.1,8069.3,918.78,-3.1333,9564.6,61042,28.941,1.8007e-184,1,3.6013e-184,6.9217e-182,False
RPS8-8,RPS8,7521.9/7354.1/7668,635.86/684.13/711.82,7513.6,676.54,-3.4713,24677,56363,28.799,1.1157e-182,1,2.2315e-182,3.5741e-180,False
RPL36-3,RPL36,6095.4/5957.9/6424.2,244.08/494.61/107.88,6156.1,235.3,-4.7036,57412,45110,27.877,2.5508e-171,1,5.1017e-171,7.0039e-169,False
PSMB2-1,PSMB2,6286/5776/6213.5,340.45/379.97/308.23,6087.6,341.63,-4.1514,76153,44549,27.223,1.7246e-163,1,3.4491e-163,4.1433e-161,False
COPB1-3,COPB1,6427.6/5940.3/6239.5,497.16/383.67/555.78,6199.2,473.28,-3.7085,60408,45463,26.854,3.7466e-159,1,7.4932e-159,8.001e-157,False
RPS13-4,RPS13,6016/5641.1/5689.7,267.49/332.82/250.44,5779.9,281.45,-4.3552,41563,42041,26.816,1.0383e-158,1,2.0765e-158,1.9955e-156,False
COPZ1-18,COPZ1,8702.3/8678.3/8331.8,1558.1/2178.1/1510.3,8569.1,1724.2,-2.3126,42991,65285,26.789,2.1567e-158,1,4.3133e-158,3.7683e-156,False
NUP93-7,NUP93,7449.1/7456.6/7939.3,1219.5/1327.6/1387,7611.6,1309.5,-2.5383,78902,57185,26.354,2.3253e-153,1,4.6505e-153,3.7243e-151,False
PSMC1-10,PSMC1,7010.7/7506.4/6643.5,1133/944.83/974.78,7044.7,1014.3,-2.7948,187670,52446,26.332,4.0861e-153,1,8.1722e-153,6.0411e-151,False
COPA-8,COPA,5407.1/5323.5/5474.7,311.63/165.48/272.59,5401.4,241.35,-4.4785,5735.5,38978,26.136,7.0326e-151,1,1.4065e-150,9.6548e-149,False
NUP93-1,NUP93,7322.8/7311.6/7551.1,1616.7/1343.3/1052.8,7394.3,1317.4,-2.4878,18275,55364,25.827,2.2101e-147,1,4.4202e-147,2.8319e-145,False
RPS11-10,RPS11,5705.8/6031.8/5793.6,339.55/637.9/901.58,5842.1,580.17,-3.3297,28451,42547,25.51,7.647e-144,1,1.5294e-143,9.186e-142,False
PSMB2-13,PSMB2,5592.8/5641.1/5780.6,681.79/438.21/436.34,5671,507.06,-3.4808,9505.2,41157,25.454,3.1868e-143,1,6.3736e-143,3.6029e-141,False
PSMC1-6,PSMC1,8192/8185.2/7880.1,1622.1/1868.4/1961.1,8084.5,1811.4,-2.1574,31733,61171,25.363,3.2046e-142,1,6.4092e-142,3.4218e-140,False
NUP93-2,NUP93,4987.8/5118.5/5197.6,321.53/307.86/190.72,5100.6,266.27,-4.2546,11230,36561,25.283,2.4703e-141,1,4.9406e-141,2.4989e-139,False
PSMA3-6,PSMA3,5859/5366.9/5053.3,504.37/442.83/411.3,5416.4,451.21,-3.5825,165080,39098,25.11,1.9167e-139,1,3.8334e-139,1.8419e-137,False
PSMD6-7,PSMD6,5985.3/5797.2/6295.7,660.18/770.11/898.69,6022.6,770.21,-2.9654,63395,44019,25.035,1.286e-138,1,2.5721000000000001e-138,1.177e-136,False
PSMB2-10,PSMB2,5237.7/5439.8/5530.9,626.85/344.84/498.95,5401.4,476.01,-3.5015,22537,38978,24.948,1.1266e-137,1,2.2532e-137,9.8426e-136,False
PSMB3-9,PSMB3,5201.3/5375.2/5219.3,480.95/391.06/485.47,5264.7,450.3,-3.5445,9149.1,37877,24.737,2.1283e-135,1,4.2565e-135,1.7785e-133,False
