gene,sgRNA,t_value,dof,p_value_neg,p_value_pos,p_value_twosided,log2FC,fdr_neg,fdr_pos,fdr_twosided
RPS24,RPS24-5,-115.15410456236903,2.486917582070662,5.322459064669042e-6,0.9999946775409353,1.064491812940993e-5,-2.8220735344861687,9.824971732889069e-5,0.9999999394772565,1.8176197705967455e-4
RPL11,RPL11-5,-122.32426598766372,2.4185626018139503,6.029987739891641e-6,0.9999939700122601,1.2059975479816742e-5,-3.0463542426110486,1.0045077137429245e-4,0.9999999394772565,1.8720371028897351e-4
PSMA3,PSMA3-5,-36.686837547476536,3.4398422065109737,6.93528339269977e-6,0.9999930647166073,1.38705667853678e-5,-2.726229501698251,1.101581059817196e-4,0.9999999394772565,1.8938512653810823e-4
PSMA3,PSMA3-3,-88.55861394225421,3.9363832874733573,6.052274344667539e-8,0.9999999394772565,1.2104548696711959e-7,-2.8091585221474986,2.1092527697450485e-5,0.9999999394772565,4.2185055388166415e-5
RPL34,RPL34-28,-50.13728986791565,2.6620848507855728,2.442801857895074e-5,0.9999755719814211,4.88560371578739e-5,-4.134175551842969,2.8766097740385096e-4,0.9999999394772565,4.0203220938346833e-4
RPS8,RPS8-20,-41.34838999783742,3.932182426333082,1.2232706651395156e-6,0.9999987767293349,2.4465413304142203e-6,-2.431889916004385,4.397336127843627e-5,0.9999999394772565,8.794672256173224e-5
RPL30,RPL30-17,-55.766738506195146,3.0216944896020883,5.93614387107008e-6,0.9999940638561289,1.187228774202076e-5,-2.5492585386293243,1.0045077137429245e-4,0.9999999394772565,1.8720371028897351e-4
COPZ1,COPZ1-5,-40.49428961121718,2.0929484404229632,2.2977951194526347e-4,0.9997702204880548,4.5955902389049896e-4,-2.2425610915410363,0.001509032756332836,0.9999999394772565,0.0019256368915166306
POLR2D,POLR2D-2,-31.033081747260944,3.746860309323042,5.859695616738232e-6,0.9999941403043833,1.1719391233455667e-5,-2.0514714007500565,1.0045077137429245e-4,0.9999999394772565,1.8720371028897351e-4
COPZ1,COPZ1-11,-46.37437812290801,3.601375915672263,1.9631025166790385e-6,0.9999980368974833,3.926205033311092e-6,-2.669991950429898,5.150815687356416e-5,0.9999999394772565,1.0301631374755984e-4
PSMC2,PSMC2-6,-37.88464563513797,2.9825798117363242,2.121334148198663e-5,0.999978786658518,4.242668296394747e-5,-2.4537527907461882,2.5418793389819067e-4,0.9999999394772565,3.5774598104168053e-4
RPS7,RPS7-11,-37.22991952323553,2.484553770235571,8.869380836078697e-5,0.9999113061916393,1.7738761672170256e-4,-2.4726837728095177,7.478749519804629e-4,0.9999999394772565,9.601820892556074e-4
RPL30,RPL30-1,-101.16743462462948,2.52325533818166,6.392399744940305e-6,0.999993607600255,1.278479948996214e-5,-2.7141597108692945,1.0395259585224352e-4,0.9999999394772565,1.883538082486488e-4
POLR2D,POLR2D-7,-24.5822746893463,2.200632901514536,4.977975055074773e-4,0.9995022024944925,9.955950110149825e-4,-3.3202564295763093,0.0028813194598441266,0.9999999394772565,0.0035232714638509487
RPS24,RPS24-20,-17.919473401870203,2.1242297178983116,0.001176590322055331,0.9988234096779447,0.0023531806441106085,-1.786872023888634,0.005908905808557287,0.9999999394772565,0.006533424308648559
PSMD1,PSMD1-9,-84.1513697283764,3.8582354161724086,9.62417872493663e-8,0.9999999037582128,1.9248357463474974e-7,-2.8084010833950295,2.1092527697450485e-5,0.9999999394772565,4.2185055388166415e-5
PSMD1,PSMD1-1,-49.16530290750665,2.4049648058671758,5.699231559159586e-5,0.9999430076844084,1.1398463118306168e-4,-1.4956378823186487,5.610018694415122e-4,0.9999999394772565,7.140023792899715e-4
RPS8,RPS8-11,-71.25250099891875,3.981858880589605,1.231526097909506e-7,0.9999998768473902,2.463052195533777e-7,-2.2252414701801992,2.1092527697450485e-5,0.9999999394772565,4.2185055388166415e-5
