sgrna,Gene,control_count,treatment_count,control_mean,treat_mean,LFC,control_var,adj_var,score,p.low,p.high,p.twosided,FDR,high_in_treatment
RPL11-5,RPL11,8270.5/8101.9/8157.1,878.32/824.98/875.7,8176.2,859.31,-3.2487,7391.6,104130,22.675,3.9634e-114,1,7.9267e-114,5.414e-111,False
RPS24-5,RPS24,7433.7/7665.1/8072.7,957.46/942.71/941.6,7719.3,947.23,-3.0254,104690,98309,21.599,9.2307e-104,1,1.8461e-103,6.3045e-101,False
RPL34-28,RPL34,6695.9/6532.7/6373.7,387.11/333.72/248.26,6532.8,317.72,-4.3575,25943,83197,21.547,2.8156e-103,1,5.6312e-103,1.282e-100,False
RPL30-17,RPL30,8492.7/7430/8163.2,1111.5/1365.4/1087.9,8016.1,1181.9,-2.7608,296150,102090,21.39,8.343e-102,1,1.6686e-101,2.8491e-99,False
RPS8-20,RPS8,8178.5/8150.5/7995.6,1243.9/1158.7/1513.1,8107.8,1296.8,-2.6434,9697.7,103260,21.196,5.2061e-100,1,1.0412e-99,1.4223e-97,False
PSMA3-3,PSMA3,7469.4/7048.2/7178.6,861.98/841.92/984.03,7229.9,893.84,-3.0145,46502,92076,20.881,3.997e-97,1,7.9939e-97,9.0998e-95,False
POLR2D-2,POLR2D,8980.8/8768.5/8466.5,1796.2/2032.8/1661.1,8736,1823.7,-2.2595,66788,111260,20.723,1.0644e-95,1,2.1289e-95,2.0772e-93,False
COPZ1-5,COPZ1,8036.9/8423.3/8072.7,1539/1434.8/1530.2,8175.8,1500.6,-2.445,45602,104120,20.687,2.2773e-95,1,4.5546e-95,3.8885e-93,False
PSMC2-6,PSMC2,7545.4/7380.4/7132.1,1182.9/1043.5/1271.1,7350.6,1162,-2.6602,43282,93613,20.227,2.8432e-91,1,5.6865e-91,4.3154e-89,False
COPZ1-11,COPZ1,6694.7/6977/6943.7,921.33/834.29/1058.1,6870.7,933.43,-2.8785,23805,87500,20.071,6.5585e-90,1,1.3117e-89,8.9589e-88,False
RPL11-2,RPL11,6797.2/6271.7/6328.5,825.85/692.84/782.71,6461.5,765.09,-3.0765,83197,82290,19.858,4.7195e-88,1,9.4389e-88,5.8384e-86,False
POLR2D-7,POLR2D,5633.4/6040.8/6394.5,557.45/437.9/575.97,6014.9,519.99,-3.5294,145170,76602,19.854,5.1289e-88,1,1.0258e-87,5.8384e-86,False
PSMA3-5,PSMA3,6619.9/6560.7/6296.7,888.64/711.48/956.95,6490.9,845.78,-2.9386,29614,82664,19.634,3.9424e-86,1,7.8849e-86,4.1426e-84,False
PSMD1-9,PSMD1,6274.6/6122.8/6134,824.98/699.62/772.78,6176.7,764.05,-3.0135,7151,78663,19.299,2.7542e-83,1,5.5084e-83,2.6873e-81,False
RPS7-11,RPS7,6792.5/6631.9/6383.5,1036.6/1095.2/965.98,6600.5,1031.2,-2.677,42471,84060,19.209,1.5566e-82,1,3.1132e-82,1.4175e-80,False
RPL30-1,RPL30,6059.3/6145.5/6300.4,805.2/830.06/811.6,6167.6,815.55,-2.9173,14921,78546,19.097,1.3487e-81,1,2.6973e-81,1.1514e-79,False
POLA1-22,POLA1,7193.1/7529.2/7110.1,1328.2/1589.8/1592.5,7275.2,1498.2,-2.279,49265,92653,18.979,1.2688e-80,1,2.5375e-80,1.0195e-78,False
