gene,sgRNA,B1,B2,B3,A1,A2,A3
RPS19,RPS19-10,10693,11662,7010,1517,1212,1596
NUP93,NUP93-4,9073,9115,6162,514,402,182
PSMD11,PSMD11-2,9695,10711,6476,923,1234,883
RPS3A,RPS3A-3,9600,9622,5971,3901,3547,3033
PSMB3,PSMB3-3,7575,8571,5262,680,572,756
POLR2A,POLR2A-5,8467,8619,5644,1285,793,949
RPS8,RPS8-8,7857,7964,5314,706,740,739
RPL36,RPL36-3,6367,6452,4452,271,535,112
RPS13,RPS13-4,6284,6109,3943,297,360,260
RPS11,RPS11-2,10211,9993,6170,3438,2856,3152
NUP93,NUP93-7,7781,8075,5502,1354,1436,1440
PSMC1,PSMC1-10,7323,8129,4604,1258,1022,1012
RPS9,RPS9-10,6529,6552,4292,1316,1182,958
COPB1,COPB1-3,6714,6433,4324,552,415,577
PSMC1,PSMC1-6,8557,8864,5461,1801,2021,2036
PSMC1,PSMC1-9,8351,8358,5584,2106,2147,2141
RPL5,RPL5-6,7003,7490,5319,2559,2714,1920
RPL11,RPL11-2,7153,7286,4892,1329,1613,1525
PSMB2,PSMB2-1,6566,6255,4306,378,411,320
RPS11,RPS11-10,5960,6532,4015,377,690,936
PSMB2,PSMB2-13,5842,6109,4006,757,474,453
NUP93,NUP93-1,7649,7918,5233,1795,1453,1093
COPZ1,COPZ1-18,9090,9398,5774,1730,2356,1568
RPS8,RPS8-7,5787,6021,4059,709,923,665
PSMC1,PSMC1-8,7357,7710,4756,2394,2037,2329
PSMD6,PSMD6-7,6252,6278,4363,733,833,933
COPA,COPA-8,5648,5765,3794,346,179,283
RPL18A,RPL18A-6,6107,6234,3853,788,556,893
RPL5,RPL5-5,7045,6984,4296,1361,1130,991
POLR2F,POLR2F-2,7220,7795,4880,3169,3307,3088
PSMB3,PSMB3-9,5433,5821,3617,534,423,504
POLR2D,POLR2D-9,5345,5659,3863,845,639,660
PSMB2,PSMB2-2,4768,4717,3532,161,188,234
PSMA3,PSMA3-6,6120,5812,3502,560,479,427
RPL34,RPL34-1,5751,5501,3548,923,846,1053
PSMB2,PSMB2-10,5471,5891,3833,696,373,518
RPS24,RPS24-7,8122,7875,4959,2474,2759,2200
NUP93,NUP93-2,5210,5543,3602,357,333,198
PSMC4,PSMC4-5,11508,11729,7285,9505,10654,10840
RPL27,RPL27-10,5365,5766,3351,569,909,845
RPL36,RPL36-1,4869,5225,3274,615,745,718
RPL9,RPL9-3,5997,5520,4163,918,762,1055
RPS19,RPS19-2,5889,6218,4345,1503,761,1281
PSMC2,PSMC2-14,6654,6278,4205,1767,1777,1619
NUP54,NUP54-18,4236,4602,2930,663,477,484
PSMB2,PSMB2-12,4270,4613,2708,184,270,68
COPS4,COPS4-9,8114,8369,5549,2664,2654,2655
RPS11,RPS11-1,5215,5057,3072,552,553,400
POLR2F,POLR2F-1,9426,10432,6278,4748,5559,4853
NUP133,NUP133-7,5271,4878,3337,6267,6045,5585
RPL11,RPL11-8,4150,3671,2571,41,100,46
PSMB2,PSMB2-3,4318,5066,3154,830,647,588
RPL35A,RPL35A-5,6191,5548,3890,1477,1068,967
RPS13,RPS13-9,5719,5882,3552,1034,1118,1108
PSMD6,PSMD6-18,6187,5967,3761,1705,1457,1340
PSMD6,PSMD6-4,5372,6312,3790,990,888,943
RPL35A,RPL35A-4,4052,3899,2612,323,465,489
RPS19,RPS19-8,5713,5517,3881,1337,1275,1288
POLR2D,POLR2D-2,5306,5458,3414,1098,867,816
RPS13,RPS13-8,5511,6313,3809,1040,976,1088
COPZ1,COPZ1-17,9057,9693,6106,5358,5392,4648
RPS8,RPS8-4,4373,5114,3101,419,460,467
RPL35A,RPL35A-1,4192,3945,2613,493,679,557
PSMD11,PSMD11-5,4565,4895,3169,538,269,300
RPL18A,RPL18A-8,4619,4582,3092,1015,1040,960
PSMD11,PSMD11-9,6148,6575,4010,1167,1592,1285
POLR2A,POLR2A-2,4067,4291,2914,564,575,591
POLR2D,POLR2D-4,7225,7040,4596,2134,2513,1581
COPS4,COPS4-6,6329,6515,4857,2483,2362,2108
RPL34,RPL34-5,4599,4796,2891,525,418,531
RPL11,RPL11-7,8205,7862,4819,3546,3185,3384
NUP54,NUP54-19,5712,5642,3565,1327,1465,1273
RPL9,RPL9-7,3535,4022,2635,251,415,381
RPL3,RPL3-11,5630,6768,3663,1971,2046,2242
RPS3A,RPS3A-1,4582,4788,2979,1800,1665,1524
RPS24,RPS24-5,5206,5537,3413,1149,1389,1021
COPZ1,COPZ1-11,4992,5362,3651,1653,1336,1904
RPL30,RPL30-8,4737,4711,3558,1210,1143,881
POLA1,POLA1-3,4150,4042,2806,551,278,452
RPL36,RPL36-5,6405,6263,3702,1371,1449,1531
RPS19,RPS19-3,3625,4011,2457,426,333,177
RPL18A,RPL18A-7,4587,4482,3082,582,482,668
RPL11,RPL11-9,3862,4724,2811,236,260,417
COPB1,COPB1-6,7520,7379,5599,2778,2454,2016
NUP93,NUP93-10,3687,4297,2626,291,406,402
RPL9,RPL9-6,3609,4045,2383,83,98,108
PSMC1,PSMC1-4,5469,5515,3419,1739,1935,1860
RPS13,RPS13-2,5388,5799,3769,1570,1951,1286
RPS9,RPS9-8,4416,4251,3090,454,706,731
NUP98,NUP98-12,5345,5584,3429,1836,1722,2118
COPS2,COPS2-4,6979,7311,4734,2037,1607,2063
COPS4,COPS4-4,5314,5175,3610,1303,1528,985
PSMC2,PSMC2-2,3964,3951,3036,1011,964,876
RPS8,RPS8-5,4745,4655,2817,1959,1250,1580
COPS4,COPS4-7,3870,3546,2400,562,511,491
RPL6,RPL6-2,11373,12463,7785,8219,9961,7761
POLR2F,POLR2F-9,6047,5955,3885,2195,2118,2490
RPS9,RPS9-4,3985,3680,2475,438,330,459
RPS13,RPS13-7,3811,3807,2756,766,312,583
RPS13,RPS13-6,5534,5625,3673,2049,1724,2480
PSMD7,PSMD7-5,6203,6721,3921,1573,1427,1434
PSMC2,PSMC2-11,5683,6372,3798,3033,2722,2652
PSMC4,PSMC4-2,5198,5311,3494,1495,1510,1649
PSMC4,PSMC4-3,3903,4072,2700,474,501,453
PSMB2,PSMB2-5,4875,5452,3185,917,981,618
PSMB2,PSMB2-18,4389,5071,3067,1139,939,793
POLA1,POLA1-5,6081,6756,3802,3184,3611,2706
PSMD6,PSMD6-1,4830,5131,2947,1397,1100,1117
RPL30,RPL30-1,3344,3687,2219,474,445,448
PSMB2,PSMB2-4,3678,3829,2332,554,147,196
POLR2F,POLR2F-3,4418,5167,3308,960,955,920
PSMD7,PSMD7-7,3676,3516,2278,274,299,423
PSMC2,PSMC2-7,4156,4926,2906,1520,2143,1650
RPL27,RPL27-2,4050,4149,2673,1229,1057,1224
POLR2F,POLR2F-5,4639,4096,3022,1211,1553,1649
RPS13,RPS13-5,4945,5931,3390,3619,4060,3363
RPS9,RPS9-2,3456,3580,2184,175,481,326
COPB1,COPB1-1,4674,4497,2812,1004,884,885
RPL34,RPL34-7,4043,4719,2691,1334,1259,983
POLR2D,POLR2D-1,4561,4796,3158,1609,1373,1338
COPS2,COPS2-9,4327,4791,3043,999,964,966
NUP133,NUP133-6,4256,4348,2703,1005,693,587
RPL35A,RPL35A-6,3211,3585,2125,273,413,141
PSMB2,PSMB2-15,3380,3407,2538,616,502,361
PSMD7,PSMD7-1,4009,4237,2824,955,714,726
COPS8,COPS8-10,4836,4876,3290,896,860,1234
PSMD6,PSMD6-5,3828,4011,2317,626,748,870
COPS6,COPS6-8,4905,4738,3700,2419,2610,2208
NUP98,NUP98-2,3857,3655,2604,2076,1768,1572
RPS3A,RPS3A-4,6177,5818,4380,4980,3731,3729
COPS4,COPS4-1,3664,3910,2346,274,253,334
PSMB2,PSMB2-6,6532,7168,4577,1649,1884,1831
RPL5,RPL5-2,4033,4390,3026,1536,1216,1225
PSMD7,PSMD7-2,4185,4482,2853,863,1339,806
RPL18A,RPL18A-4,3815,4419,2414,910,746,803
PSMD6,PSMD6-12,4409,4968,3098,1291,971,1138
NUP205,NUP205-5,4067,3982,2786,770,632,952
POLA1,POLA1-4,6716,6638,4078,2958,2846,2702
PSMB2,PSMB2-23,3593,4043,2427,617,406,523
COPB1,COPB1-5,5488,6055,3750,1603,1316,1549
RPS11,RPS11-7,7289,6793,4661,3111,2797,3528
