dataset,count_type,gene,sgRNA,group,sample_id,read_count
CRISPRn-RT112,sizeFactor,RPS19,RPS19-10,T0,T0_1,9439.96281253855
CRISPRn-RT112,sizeFactor,NUP93,NUP93-4,T0,T0_1,8413.436404534603
CRISPRn-RT112,sizeFactor,PSMD11,PSMD11-2,T0,T0_1,8724.083510841128
CRISPRn-RT112,sizeFactor,RPS3A,RPS3A-3,T0,T0_1,8273.413380497932
CRISPRn-RT112,sizeFactor,PSMB3,PSMB3-3,T0,T0_1,6893.583845619998
CRISPRn-RT112,sizeFactor,POLR2A,POLR2A-5,T0,T0_1,7114.282386816872
CRISPRn-RT112,sizeFactor,RPS8,RPS8-8,T0,T0_1,6490.20625981899
CRISPRn-RT112,sizeFactor,RPL36,RPL36-3,T0,T0_1,5552.701112129748
CRISPRn-RT112,sizeFactor,RPS13,RPS13-4,T0,T0_1,5344.057533267158
CRISPRn-RT112,sizeFactor,RPS11,RPS11-2,T0,T0_1,8757.466483459142
CRISPRn-RT112,sizeFactor,NUP93,NUP93-7,T0,T0_1,7373.000424606485
CRISPRn-RT112,sizeFactor,PSMC1,PSMC1-10,T0,T0_1,6291.763033700792
CRISPRn-RT112,sizeFactor,RPS9,RPS9-10,T0,T0_1,6505.043136538107
CRISPRn-RT112,sizeFactor,COPB1,COPB1-3,T0,T0_1,5769.690434146843
CRISPRn-RT112,sizeFactor,PSMC1,PSMC1-6,T0,T0_1,6953.858657291413
CRISPRn-RT112,sizeFactor,PSMC1,PSMC1-9,T0,T0_1,7252.450801263654
CRISPRn-RT112,sizeFactor,RPL5,RPL5-6,T0,T0_1,6568.099862594357
CRISPRn-RT112,sizeFactor,RPL11,RPL11-2,T0,T0_1,6120.211646635995
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-1,T0,T0_1,5801.218797174967
CRISPRn-RT112,sizeFactor,RPS11,RPS11-10,T0,T0_1,5257.818187337287
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-13,T0,T0_1,5700.142574525979
CRISPRn-RT112,sizeFactor,NUP93,NUP93-1,T0,T0_1,6505.970441333052
CRISPRn-RT112,sizeFactor,COPZ1,COPZ1-18,T0,T0_1,8169.555243464109
CRISPRn-RT112,sizeFactor,RPS8,RPS8-7,T0,T0_1,5097.394457811828
CRISPRn-RT112,sizeFactor,PSMC1,PSMC1-8,T0,T0_1,6399.330389914394
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-7,T0,T0_1,5422.8784408374695
CRISPRn-RT112,sizeFactor,COPA,COPA-8,T0,T0_1,4822.912238508153
CRISPRn-RT112,sizeFactor,RPL18A,RPL18A-6,T0,T0_1,5306.038036674418
CRISPRn-RT112,sizeFactor,RPL5,RPL5-5,T0,T0_1,6065.500663734249
CRISPRn-RT112,sizeFactor,POLR2F,POLR2F-2,T0,T0_1,6249.107013133329
CRISPRn-RT112,sizeFactor,PSMB3,PSMB3-9,T0,T0_1,5100.176372196663
CRISPRn-RT112,sizeFactor,POLR2D,POLR2D-9,T0,T0_1,4592.940649361831
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-2,T0,T0_1,4391.715508858799
CRISPRn-RT112,sizeFactor,PSMA3,PSMA3-6,T0,T0_1,4987.972492008336
CRISPRn-RT112,sizeFactor,RPL34,RPL34-1,T0,T0_1,4970.353700904384
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-10,T0,T0_1,4979.626748853832
CRISPRn-RT112,sizeFactor,RPS24,RPS24-7,T0,T0_1,6849.073215462646
CRISPRn-RT112,sizeFactor,NUP93,NUP93-2,T0,T0_1,4597.5771733365555
CRISPRn-RT112,sizeFactor,PSMC4,PSMC4-5,T0,T0_1,10273.609823193969
CRISPRn-RT112,sizeFactor,RPL27,RPL27-10,T0,T0_1,4573.467248667989
CRISPRn-RT112,sizeFactor,RPL36,RPL36-1,T0,T0_1,4651.360851443356
CRISPRn-RT112,sizeFactor,RPL9,RPL9-3,T0,T0_1,4793.238485069918
CRISPRn-RT112,sizeFactor,RPS19,RPS19-2,T0,T0_1,5400.623125758793
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-14,T0,T0_1,5625.030886135446
CRISPRn-RT112,sizeFactor,NUP54,NUP54-18,T0,T0_1,4266.529361541245
