gene,fdr,category
RPL34,0.005726,1
POLA1,0.005726,1
COPZ1,0.005726,1
NUP93,0.011026,1
RPL11,0.015586,1
RPL6,0.015586,1
RPS24,0.022574,1
POLR2D,0.015586,1
RPS7,0.029759,1
PSMA3,0.028938,1
PSMD7,0.063687,1
PSMD1,0.073623,1
NUP54,0.074745,1
RPL30,0.118815,1
NUP205,0.223087,1
RPS8,0.228129,1
RPL36,0.247251,1
POLR2A,0.223087,1
COPB1,0.223087,1
RPS27,0.260005,1
POLR2F,0.573289,1
NUP98,0.533559,1
COPA,0.660187,1
NUP133,0.684289,1
PSMD11,0.941308,1
PSMD6,0.941308,1
RPS19,0.999985,1
RPL5,0.999985,1
RPL3,0.999985,1
PSMC2,0.999985,1
RPS11,0.999985,1
COPS4,0.999985,1
PSMC1,0.999985,1
RPL9,0.999985,1
RPL27,0.999985,1
RPL18A,0.999985,1
PSMB3,0.999985,1
RPS3A,0.999985,1
COPS6,0.999985,1
RPL35A,0.999985,1
COPS2,0.999985,1
RPS13,0.999985,1
PSMB2,0.999985,1
RPS9,0.999985,1
COPS8,0.999985,1
PSMC4,0.999985,1
KRT25,0.999985,0
OR12D2,0.999985,0
DMRTC2,0.999985,0
OR52E8,0.999985,0
RNASE9,0.999985,0
VN1R2,0.999985,0
POU4F2,0.999985,0
KRT74,0.999985,0
OR9Q2,0.999985,0
TAS2R13,0.999985,0
NLRP5,0.999985,0
TRIM42,0.999985,0
CABP5,0.999985,0
FAM71B,0.999985,0
TAS2R9,0.999985,0
DEFB129,0.999985,0
KRT77,0.999985,0
PLA2G2E,0.999985,0
PIWIL3,0.999985,0
MRGPRD,0.999985,0
IL22,0.999985,0
RXFP2,0.999985,0
RPTN,0.999985,0
ABCG8,0.999985,0
LUZP4,0.999985,0
KRT9,0.999985,0
NPHS2,0.999985,0
TAAR8,0.999985,0
OTUD6A,0.999985,0
SPATA16,0.999985,0
MAGEB3,0.999985,0
TPH2,0.999985,0
NPSR1,0.999985,0
ADH7,0.999985,0
HTR3D,0.999985,0
TGM6,0.999985,0
FCRL4,0.999985,0
LHX5,0.999985,0
CYP7A1,0.999985,0
IL1F10,0.999985,0
CRYGB,0.999985,0
OC90,0.999985,0
TAAR1,0.999985,0
LYZL6,0.999985,0
SAGE1,0.999985,0
DMRTB1,0.999985,0
OLIG2,0.999985,0
