gene,fdr,category
RPL34,0.0018200000000000002,1
RPL11,0.02912,1
COPZ1,0.04914,1
RPL6,0.0348075,1
NUP93,0.02912,1
RPS8,0.056029999999999996,1
POLA1,0.056029999999999996,1
PSMD1,0.06199375,1
RPS24,0.08751166666666667,1
PSMA3,0.07603555555555555,1
RPL36,0.10759,1
POLR2D,0.08751166666666667,1
POLR2A,0.08751166666666667,1
RPS7,0.1977733333333333,1
RPL30,0.1977733333333333,1
NUP205,0.21032375,1
NUP54,0.3902888888888889,1
COPB1,0.28060117647058824,1
PSMD7,0.544271,1
PSMD11,0.544271,1
RPS11,0.6388199999999999,1
PSMD6,0.7258239130434783,1
RPS27,0.7258239130434783,1
PSMC2,0.99992,1
COPA,0.99992,1
RPS19,0.99992,1
NUP98,0.99992,1
NUP133,0.99992,1
POLR2F,0.99992,1
RPL5,0.99992,1
PSMC1,0.99992,1
RPL3,0.99992,1
RPL9,0.99992,1
RPL18A,0.99992,1
COPS4,0.99992,1
RPL27,0.99992,1
RPS3A,0.99992,1
COPS2,0.99992,1
RPL35A,0.99992,1
PSMB3,0.99992,1
COPS6,0.99992,1
PSMB2,0.99992,1
RPS13,0.99992,1
PSMC4,0.99992,1
RPS9,0.99992,1
COPS8,0.99992,1
POU4F2,0.99992,0
VN1R2,0.99992,0
OR12D2,0.99992,0
TAS2R13,0.99992,0
TAS2R9,0.99992,0
DMRTC2,0.99992,0
RNASE9,0.99992,0
NLRP5,0.99992,0
KRT25,0.99992,0
PIWIL3,0.99992,0
FAM71B,0.99992,0
KRT74,0.99992,0
DEFB129,0.99992,0
MRGPRD,0.99992,0
IL22,0.99992,0
RPTN,0.99992,0
TRIM42,0.99992,0
RXFP2,0.99992,0
NPHS2,0.99992,0
OTUD6A,0.99992,0
ADH7,0.99992,0
PLA2G2E,0.99992,0
LUZP4,0.99992,0
KRT77,0.99992,0
CABP5,0.99992,0
TAAR8,0.99992,0
LHX5,0.99992,0
IL1F10,0.99992,0
CYP7A1,0.99992,0
ABCG8,0.99992,0
TAAR1,0.99992,0
SPATA16,0.99992,0
MAGEB3,0.99992,0
KRT9,0.99992,0
HTR3D,0.99992,0
SAGE1,0.99992,0
DMRTB1,0.99992,0
TGM6,0.99992,0
FCRL4,0.99992,0
CRYGB,0.99992,0
NPSR1,0.99992,0
OC90,0.99992,0
LYZL6,0.99992,0
TPH2,0.99992,0
OLIG2,0.99992,0
OR52E8,NA,0
OR9Q2,NA,0
