gene,fdr,category
NUP93,0.0016663083207912276,1
POLR2D,0.0016663083207912276,1
RPL34,0.0016663083207912276,1
PSMA3,0.0016663083207912276,1
RPL6,0.0016663083207912276,1
RPL11,0.0016663083207912276,1
COPZ1,0.0016663083207912276,1
PSMD1,0.0016663083207912276,1
POLR2A,0.0016663083207912276,1
POLA1,0.0016663083207912276,1
RPS8,0.0016663083207912276,1
COPB1,0.0016663083207912276,1
NUP205,0.007690653788267205,1
RPS24,0.009997849924747367,1
RPS27,0.015996559879595786,1
RPL36,0.054988174586110515,1
RPS7,0.09644984633285696,1
RPL30,0.10553286031677775,1
PSMD7,0.12418382011791465,1
PSMD11,0.20195656847989682,1
RPL5,0.7379365420646866,1
RPS11,0.8537294457479925,1
PSMC2,0.8537294457479925,1
NUP133,0.8756450225757901,1
PSMD6,0.9997849924747366,1
COPS4,0.9997849924747366,1
RPS19,0.9997849924747366,1
COPA,0.9997849924747366,1
NUP54,0.9997849924747366,1
RPL3,0.9997849924747366,1
PSMC1,0.9997849924747366,1
POLR2F,0.9997849924747366,1
NUP98,0.9997849924747366,1
RPL9,0.9997849924747366,1
COPS2,0.9997849924747366,1
RPL18A,0.9997849924747366,1
COPS6,0.9997849924747366,1
PSMB2,0.9997849924747366,1
PSMB3,0.9997849924747366,1
RPS13,0.9997849924747366,1
RPL35A,0.9997849924747366,1
RPS3A,0.9997849924747366,1
RPL27,0.9997849924747366,1
PSMC4,0.9997849924747366,1
COPS8,0.9997849924747366,1
RPS9,0.9997849924747366,1
OR9Q2,0.9997849924747366,0
OR52E8,0.9997849924747366,0
VN1R2,0.9997849924747366,0
CYP7A1,0.9997849924747366,0
POU4F2,0.9997849924747366,0
PIWIL3,0.9997849924747366,0
MRGPRD,0.9997849924747366,0
KRT77,0.9997849924747366,0
PLA2G2E,0.9997849924747366,0
TRIM42,0.9997849924747366,0
TAS2R13,0.9997849924747366,0
TPH2,0.9997849924747366,0
RPTN,0.9997849924747366,0
NPSR1,0.9997849924747366,0
NLRP5,0.9997849924747366,0
TGM6,0.9997849924747366,0
KRT25,0.9997849924747366,0
OR12D2,0.9997849924747366,0
RXFP2,0.9997849924747366,0
LYZL6,0.9997849924747366,0
TAAR1,0.9997849924747366,0
TAS2R9,0.9997849924747366,0
OTUD6A,0.9997849924747366,0
NPHS2,0.9997849924747366,0
DEFB129,0.9997849924747366,0
CRYGB,0.9997849924747366,0
ABCG8,0.9997849924747366,0
HTR3D,0.9997849924747366,0
DMRTB1,0.9997849924747366,0
DMRTC2,0.9997849924747366,0
ADH7,0.9997849924747366,0
LUZP4,0.9997849924747366,0
FAM71B,0.9997849924747366,0
IL22,0.9997849924747366,0
KRT9,0.9997849924747366,0
RNASE9,0.9997849924747366,0
LHX5,0.9997849924747366,0
SPATA16,0.9997849924747366,0
KRT74,0.9997849924747366,0
TAAR8,0.9997849924747366,0
MAGEB3,0.9997849924747366,0
CABP5,0.9997849924747366,0
SAGE1,0.9997849924747366,0
IL1F10,0.9997849924747366,0
OC90,0.9997849924747366,0
FCRL4,0.9997849924747366,0
OLIG2,0.9997849924747366,0
