gene,stat,fdr
COPZ1,0,0
RPL11,0,0
RPS24,0,0
PSMD1,1.88737914186e-15,2.179737871683e-14
RPL34,1.88737914186e-15,2.179737871683e-14
RPL6,1.88737914186e-15,2.179737871683e-14
NUP93,2.10942374679e-15,2.179737871683e-14
RPL36,2.10942374679e-15,2.179737871683e-14
RPS8,2.10942374679e-15,2.179737871683e-14
POLA1,3.44169137634e-15,3.2007729799962e-14
RPS7,0.129363614203,1
RPS19,0.149679668127,1
PSMA3,0.164435462065,1
RPL30,0.19253302652,1
POLR2D,0.357578212174,1
NUP205,0.783436400945,1
PSMC2,0.843181617822,1
NUP54,0.898120840085,1
PSMD7,0.956377838896,1
RPL3,0.981369153198,1
PSMD11,0.993244937312,1
POLR2A,0.996218596867,1
NUP133,0.999980153213,1
COPB1,0.999999396842,1
RPS11,0.999999396842,1
ABCG8,1,1
ADH7,1,1
CABP5,1,1
COPA,1,1
COPS2,1,1
COPS4,1,1
COPS6,1,1
COPS8,1,1
CRYGB,1,1
CYP7A1,1,1
DEFB129,1,1
DMRTB1,1,1
DMRTC2,1,1
FAM71B,1,1
FCRL4,1,1
HTR3D,1,1
IL1F10,1,1
IL22,1,1
KRT25,1,1
KRT74,1,1
KRT77,1,1
KRT9,1,1
LHX5,1,1
LUZP4,1,1
LYZL6,1,1
MAGEB3,1,1
MRGPRD,1,1
NLRP5,1,1
NPHS2,1,1
NPSR1,1,1
NUP98,1,1
OC90,1,1
OLIG2,1,1
OR12D2,1,1
OR52E8,1,1
OR9Q2,1,1
OTUD6A,1,1
PIWIL3,1,1
PLA2G2E,1,1
POLR2F,1,1
POU4F2,1,1
PSMB2,1,1
PSMB3,1,1
PSMC1,1,1
PSMC4,1,1
PSMD6,1,1
RNASE9,1,1
RPL18A,1,1
RPL27,1,1
RPL35A,1,1
RPL5,1,1
RPL9,1,1
RPS13,1,1
RPS27,1,1
RPS3A,1,1
RPS9,1,1
RPTN,1,1
RXFP2,1,1
SAGE1,1,1
SPATA16,1,1
TAAR1,1,1
TAAR8,1,1
TAS2R13,1,1
TAS2R9,1,1
TGM6,1,1
TPH2,1,1
TRIM42,1,1
VN1R2,1,1
