gene,fdr,category
COPA,3.676827278257562e-4,1
COPB1,0.0014952931708086864,1
COPS2,0.11282460294444861,1
COPS4,3.676827278257562e-4,1
COPS6,0.05273923255485169,1
COPS8,0.5408380008266844,1
COPZ1,0.23335850294819915,1
NUP133,0.015932871709162782,1
NUP205,0.03636792021359774,1
NUP54,0.06147862856206331,1
NUP93,1.0549781674488168e-4,1
NUP98,0.14005916230894006,1
POLA1,0.03248965425199254,1
POLR2A,0.00793570224518636,1
POLR2D,5.675527995022531e-5,1
POLR2F,0.015932871709162782,1
PSMA3,0.03668103725199896,1
PSMB2,4.1945313495772574e-5,1
PSMB3,0.168804955346768,1
PSMC1,6.060253314823073e-4,1
PSMC2,0.012626246561873708,1
PSMC4,0.011978786125099632,1
PSMD1,0.12341724127334765,1
PSMD11,0.0025975363308220665,1
PSMD6,0.006903737223813839,1
PSMD7,2.4650049434447245e-4,1
RPL11,1.6732426390997368e-5,1
RPL18A,3.0891242717911993e-4,1
RPL27,0.5852192619284243,1
RPL3,0.1716423335407314,1
RPL30,0.24399007626382024,1
RPL34,1.6732426390997368e-5,1
RPL35A,3.4998158017729435e-5,1
RPL36,0.0010020033680085416,1
RPL5,0.12523745307084713,1
RPL6,0.006903737223813839,1
RPL9,0.03627473508484744,1
RPS11,0.06147862856206331,1
RPS13,5.842824377634559e-5,1
RPS19,3.378717354221572e-5,1
RPS24,0.6194978418919992,1
RPS27,0.12523745307084713,1
RPS3A,0.012626246561873708,1
RPS7,0.9999999983423613,1
RPS8,6.335370559584774e-5,1
RPS9,1.6732426390997368e-5,1
ABCG8,0.9999999983423613,0
ADH7,0.9999999983423613,0
CABP5,0.9999999983423613,0
CRYGB,0.9999999983423613,0
CYP7A1,0.9999999983423613,0
DEFB129,0.9999999983423613,0
DMRTB1,0.9999999983423613,0
DMRTC2,0.9999999983423613,0
FAM71B,0.9999999983423613,0
FCRL4,0.9999999983423613,0
HTR3D,0.9999999983423613,0
IL1F10,0.9999999983423613,0
IL22,0.9999999983423613,0
KRT25,0.9999999983423613,0
KRT74,0.9999999983423613,0
KRT77,0.9999999983423613,0
KRT9,0.9999999983423613,0
LHX5,0.9999999983423613,0
LUZP4,0.9999999983423613,0
LYZL6,0.9999999983423613,0
MAGEB3,0.9999999983423613,0
MRGPRD,0.9999999983423613,0
NLRP5,0.9999999983423613,0
NPHS2,0.9999999983423613,0
NPSR1,0.9999999983423613,0
OC90,0.9999999983423613,0
OLIG2,0.9999999983423613,0
OR12D2,0.9999999983423613,0
OR52E8,0.9999999983423613,0
OR9Q2,0.9999999983423613,0
OTUD6A,0.9999999983423613,0
PIWIL3,0.9999999983423613,0
PLA2G2E,0.9999999983423613,0
POU4F2,0.9999999983423613,0
RNASE9,0.9999999983423613,0
RPTN,0.9999999983423613,0
RXFP2,0.9999999983423613,0
SAGE1,0.9999999983423613,0
SPATA16,0.9999999983423613,0
TAAR1,0.9999999983423613,0
TAAR8,0.9999999983423613,0
TAS2R13,0.9999999983423613,0
TAS2R9,0.9999999983423613,0
TGM6,0.9999999983423613,0
TPH2,0.9999999983423613,0
TRIM42,0.9999999983423613,0
VN1R2,0.9999999983423613,0
