gene,fdr,category
COPA,0.02831391995799379,1
COPB1,0.004345102241715714,1
COPS2,0.07277798045368242,1
COPS4,0.006637430704019089,1
COPS6,0.027669416454115112,1
COPS8,0.05470159628939716,1
COPZ1,0.2588212915153092,1
NUP133,0.23173946499684786,1
NUP205,0.008729713683881113,1
NUP54,0.010303861204416159,1
NUP93,0.014421153515248688,1
NUP98,7.177942912713615e-4,1
POLA1,0.020749135174549096,1
POLR2A,0.006637430704019089,1
POLR2D,0.006637430704019089,1
POLR2F,0.008729713683881113,1
PSMA3,0.45394161665020316,1
PSMB2,1.7378008287493763e-4,1
PSMB3,0.9036494737223014,1
PSMC1,0.06353309318517436,1
PSMC2,0.03741105882720533,1
PSMC4,0.004345102241715714,1
PSMD1,0.17660378206861643,1
PSMD11,0.0031188895840939387,1
PSMD6,4.518559443749226e-5,1
PSMD7,0.006637430704019089,1
RPL11,0.006180164001384158,1
RPL18A,0.008729713683881113,1
RPL27,1,1
RPL3,0.006637430704019089,1
RPL30,0.6194410750767815,1
RPL34,0.06353309318517436,1
RPL35A,0.027669416454115112,1
RPL36,0.06053408747539136,1
RPL5,0.10256519262514076,1
RPL6,0.3981071705534972,1
RPL9,0.14962356560944334,1
RPS11,0.14092887984218747,1
RPS13,0.0024831331052955702,1
RPS19,0.006637430704019089,1
RPS24,1,1
RPS27,0.13899526312133534,1
RPS3A,0.03349654391578276,1
RPS7,1,1
RPS8,0.014421153515248688,1
RPS9,0.006637430704019089,1
ABCG8,1,0
ADH7,1,0
CABP5,1,0
CRYGB,1,0
CYP7A1,1,0
DEFB129,1,0
DMRTB1,1,0
DMRTC2,1,0
FAM71B,1,0
FCRL4,1,0
HTR3D,1,0
IL1F10,0.26977394324449205,0
IL22,1,0
KRT25,1,0
KRT74,1,0
KRT77,1,0
KRT9,1,0
LHX5,1,0
LUZP4,1,0
LYZL6,1,0
MAGEB3,1,0
MRGPRD,1,0
NLRP5,1,0
NPHS2,1,0
NPSR1,1,0
OC90,1,0
OLIG2,1,0
OR12D2,1,0
OR52E8,1,0
OR9Q2,1,0
OTUD6A,1,0
PIWIL3,1,0
PLA2G2E,1,0
POU4F2,1,0
RNASE9,1,0
RPTN,1,0
RXFP2,1,0
SAGE1,1,0
SPATA16,1,0
TAAR1,1,0
TAAR8,1,0
TAS2R13,1,0
TAS2R9,1,0
TGM6,1,0
TPH2,1,0
TRIM42,1,0
VN1R2,1,0
