gene,fdr,category
PSMB2,0.01075269,1
RPL11,0.01075269,1
NUP93,0.01075269,1
COPB1,0.01075269,1
PSMD7,0.01075269,1
RPS19,0.01075269,1
RPS9,0.01075269,1
COPA,0.01075269,1
RPL36,0.01075269,1
RPL9,0.01075269,1
RPS13,0.01075269,1
RPS8,0.01075269,1
RPL35A,0.01075269,1
POLR2D,0.01075269,1
PSMD11,0.01075269,1
PSMD6,0.01075269,1
COPS4,0.01075269,1
RPL18A,0.01075269,1
POLR2A,0.01075269,1
PSMA3,0.01075269,1
RPL34,0.05075269,1
COPZ1,0.05075269,1
PSMB3,0.05075269,1
PSMC1,0.05075269,1
RPL5,0.05075269,1
RPS11,0.07741935,1
PSMC4,0.07741935,1
RPL30,0.07741935,1
PSMC2,0.07741935,1
POLA1,0.07741935,1
COPS2,0.1045027,1
NUP205,0.1045027,1
NUP133,0.1283997,1
NUP54,0.1283997,1
COPS8,0.1536098,1
RPL27,0.1629266,1
POLR2F,0.1629266,1
PSMD1,0.1629266,1
NUP98,0.1629266,1
RPL3,0.1629266,1
COPS6,0.1629266,1
RPS3A,0.1629266,1
RPS24,0.1629266,1
RPL6,0.1629266,1
RPS7,0.1629266,1
RPS27,0.1629266,1
LYZL6,0.1809655,0
MRGPRD,0.1982527,0
KRT25,0.2148343,0
TPH2,0.2507527,0
FCRL4,0.2656546,0
PIWIL3,0.2992142,0
RPTN,0.3126395,0
RNASE9,0.344086,0
IL1F10,0.3562072,0
KRT9,0.3857527,0
ADH7,0.4142615,0
OR9Q2,0.4417872,0
DMRTC2,0.4514307,0
FAM71B,0.4774194,0
IL22,0.4861625,0
PLA2G2E,0.5107527,0
CRYGB,0.5345622,0
NPHS2,0.5576277,0
MAGEB3,0.5799835,0
POU4F2,0.6016618,0
KRT74,1,0
KRT77,1,0
CABP5,1,0
DMRTB1,1,0
LHX5,1,0
TAS2R13,1,0
CYP7A1,1,0
RXFP2,1,0
OTUD6A,1,0
TAAR8,1,0
TGM6,1,0
OC90,1,0
OR12D2,1,0
TAAR1,1,0
VN1R2,1,0
SAGE1,1,0
NPSR1,1,0
DEFB129,1,0
LUZP4,1,0
OR52E8,1,0
NLRP5,1,0
SPATA16,1,0
ABCG8,1,0
HTR3D,1,0
OLIG2,1,0
TAS2R9,1,0
TRIM42,1,0
