gene,fdr,category
COPA,2.9165131681441192e-5,1
COPB1,5.701833503626297e-5,1
COPS2,0.008058512970478205,1
COPS4,8.176834758691517e-4,1
COPS6,0.05563243767097881,1
COPS8,0.8145269856019219,1
COPZ1,0.2511821014382818,1
NUP133,0.03770002144692533,1
NUP205,0.03780806219894941,1
NUP54,0.0856980462565204,1
NUP93,3.053647866545019e-5,1
NUP98,0.1852674409225984,1
POLA1,0.10258550284698537,1
POLR2A,0.02286623622275845,1
POLR2D,2.1584690626621654e-4,1
POLR2F,0.03770002144692533,1
PSMA3,0.02400659587875424,1
PSMB2,0,1
PSMB3,0.4455685354544809,1
PSMC1,0.007017211216343106,1
PSMC2,0.02286623622275845,1
PSMC4,0.03770002144692533,1
PSMD1,0.03770002144692533,1
PSMD11,5.821917474183591e-4,1
PSMD6,0.006237670396089432,1
PSMD7,2.9165131681441192e-5,1
RPL11,2.9165131681441192e-5,1
RPL18A,3.2001676367849897e-4,1
RPL27,0.9999999983423613,1
RPL3,0.1852674409225984,1
RPL30,0.18392920969966112,1
RPL34,1.3808097511117112e-4,1
RPL35A,0,1
RPL36,2.0962349019855336e-4,1
RPL5,0.2511821014382818,1
RPL6,0.006237670396089432,1
RPL9,0.008058512970478205,1
RPS11,0.07713970244384137,1
RPS13,3.145898512182943e-5,1
RPS19,2.9165131681441192e-5,1
RPS24,0.9999999983423613,1
RPS27,0.13338067751923427,1
RPS3A,0.09835186436519196,1
RPS7,0.9999999983423613,1
RPS8,6.095910171026327e-5,1
RPS9,5.701833503626297e-5,1
ABCG8,0.9999999983423613,0
ADH7,0.9999999983423613,0
CABP5,0.9999999983423613,0
CRYGB,0.9999999983423613,0
CYP7A1,0.9999999983423613,0
DEFB129,0.9999999983423613,0
DMRTB1,0.9999999983423613,0
DMRTC2,0.9999999983423613,0
FAM71B,0.9999999983423613,0
FCRL4,0.9999999983423613,0
HTR3D,0.9999999983423613,0
IL1F10,0.9999999983423613,0
IL22,0.9999999983423613,0
KRT25,0.9999999983423613,0
KRT74,0.9999999983423613,0
KRT77,0.9999999983423613,0
KRT9,0.9999999983423613,0
LHX5,0.9999999983423613,0
LUZP4,0.9999999983423613,0
LYZL6,0.8145269856019219,0
MAGEB3,0.9999999983423613,0
MRGPRD,0.9999999983423613,0
NLRP5,0.9999999983423613,0
NPHS2,0.9999999983423613,0
NPSR1,0.9999999983423613,0
OC90,0.9999999983423613,0
OLIG2,0.9999999983423613,0
OR12D2,0.9999999983423613,0
OR52E8,0.9999999983423613,0
OR9Q2,0.9999999983423613,0
OTUD6A,0.9999999983423613,0
PIWIL3,0.9999999983423613,0
PLA2G2E,0.9999999983423613,0
POU4F2,0.9999999983423613,0
RNASE9,0.9999999983423613,0
RPTN,0.9999999983423613,0
RXFP2,0.9999999983423613,0
SAGE1,0.9999999983423613,0
SPATA16,0.9999999983423613,0
TAAR1,0.9999999983423613,0
TAAR8,0.9999999983423613,0
TAS2R13,0.9999999983423613,0
TAS2R9,0.9999999983423613,0
TGM6,0.9999999983423613,0
TPH2,0.9999999983423613,0
TRIM42,0.9999999983423613,0
VN1R2,0.9999999983423613,0
