gene,fdr,category
PSMB2,0,1
PSMD7,0.0304575,1
RPL11,0.0304575,1
RPS19,0.0304575,1
COPB1,0.03255,1
NUP93,0.050995,1
POLR2D,0.058706249999999995,1
COPA,0.058706249999999995,1
RPS8,0.06375666666666667,1
PSMD6,0.07473214285714286,1
COPS4,0.07473214285714286,1
RPS13,0.07473214285714286,1
RPL9,0.07473214285714286,1
RPL18A,0.07473214285714286,1
PSMD11,0.088408125,1
RPL35A,0.088408125,1
RPL36,0.13211166666666668,1
RPS9,0.13211166666666668,1
RPL34,0.1992157894736842,1
COPS2,0.356097,1
POLR2A,0.48258545454545454,1
PSMC4,0.48258545454545454,1
RPL3,0.49461120000000003,1
PSMA3,0.49461120000000003,1
PSMC1,0.49461120000000003,1
PSMC2,0.5287765384615385,1
COPZ1,0.5358792857142858,1
RPS11,0.5358792857142858,1
PSMB3,0.5865093103448276,1
RPL5,0.6003440625,1
POLR2F,0.6003440625,1
RPS3A,0.6003440625,1
NUP54,0.6698188235294117,1
NUP205,0.6698188235294117,1
PSMD1,0.7028597368421052,1
COPS6,0.7028597368421052,1
POLA1,0.7028597368421052,1
RPL30,0.7188184615384615,1
NUP133,0.8829556097560974,1
RPL6,0.7028597368421052,1
RPL27,0.9218292857142858,1
RPS27,0.8733397500000001,1
NUP98,0.99999,1
COPS8,0.99999,1
RPS24,0.99999,1
RPS7,0.99999,1
LYZL6,0.99999,0
MRGPRD,0.99999,0
FCRL4,0.99999,0
KRT25,0.99999,0
TPH2,0.99999,0
PIWIL3,0.99999,0
IL1F10,0.99999,0
ADH7,0.99999,0
IL22,0.99999,0
KRT9,0.99999,0
RNASE9,0.99999,0
KRT74,0.99999,0
PLA2G2E,0.99999,0
LHX5,0.99999,0
RPTN,0.99999,0
NPHS2,0.99999,0
KRT77,0.99999,0
DMRTB1,0.99999,0
DMRTC2,0.99999,0
TAS2R13,0.99999,0
OTUD6A,0.99999,0
CABP5,0.99999,0
CYP7A1,0.99999,0
OC90,0.99999,0
MAGEB3,0.99999,0
CRYGB,0.99999,0
OR9Q2,0.99999,0
TAAR8,0.99999,0
NPSR1,0.99999,0
VN1R2,0.99999,0
TAAR1,0.99999,0
OR12D2,0.99999,0
RXFP2,0.99999,0
SAGE1,0.99999,0
POU4F2,0.99999,0
FAM71B,0.99999,0
NLRP5,0.99999,0
LUZP4,0.99999,0
OLIG2,0.99999,0
TGM6,0.99999,0
DEFB129,0.99999,0
HTR3D,0.99999,0
ABCG8,0.99999,0
SPATA16,0.99999,0
OR52E8,0.99999,0
TAS2R9,0.99999,0
TRIM42,0.99999,0
