gene,stat,fdr
COPA,0,0
COPB1,0,0
COPS4,0,0
NUP93,0,0
POLR2D,0,0
PSMB2,0,0
PSMC2,0,0
PSMD11,0,0
PSMD6,0,0
PSMD7,0,0
RPL11,0,0
RPS13,0,0
RPS19,0,0
RPS9,0,0
NUP98,4.4408920985e-16,2.429429206826471e-15
RPL9,4.4408920985e-16,2.429429206826471e-15
RPS8,4.4408920985e-16,2.429429206826471e-15
PSMD1,5.55111512313e-16,2.8680761469505e-15
COPZ1,6.66133814775e-16,3.09752223870375e-15
RPL36,6.66133814775e-16,3.09752223870375e-15
COPS6,2.6645352591e-15,1.1800084718871429e-14
POLR2A,0.0140382158467,0.05934336698832273
RPL35A,0.0195983114745,0.0792453463968913
POLR2F,0.0210862635477,0.0817092712473375
PSMC1,0.0271424916521,0.10097006894581201
RPL18A,0.0366069641263,0.13094029475945768
NUP205,0.0502249428485,0.17299702536705558
NUP54,0.0605384794085,0.20107423517823214
RPL3,0.0702633481602,0.22532728892753792
PSMA3,0.0954194139842,0.29580018335102
NUP133,0.108938924041,0.326816772123
COPS8,0.149823010034,0.4354231229113125
RPL34,0.174397936314,0.49148509324854545
POLA1,0.185649942604,0.5052267032253428
COPS2,0.190139081859,0.5052267032253428
RPS11,0.238328304124,0.6156814523203333
PSMC4,0.360193361103,0.9053508806102433
RPL30,0.402341364018,0.9846775487808948
RPL5,0.555103163898,1
PSMB3,0.953188363452,1
RPL27,0.997867267137,1
RPS3A,0.999334880476,1
ABCG8,1,1
ADH7,1,1
CABP5,1,1
CRYGB,1,1
CYP7A1,1,1
DEFB129,1,1
DMRTB1,1,1
DMRTC2,1,1
FAM71B,1,1
FCRL4,1,1
HTR3D,1,1
IL1F10,1,1
IL22,1,1
KRT25,1,1
KRT74,1,1
KRT77,1,1
KRT9,1,1
LHX5,1,1
LUZP4,1,1
LYZL6,1,1
MAGEB3,1,1
MRGPRD,1,1
NLRP5,1,1
NPHS2,1,1
NPSR1,1,1
OC90,1,1
OLIG2,1,1
OR12D2,1,1
OR52E8,1,1
OR9Q2,1,1
OTUD6A,1,1
PIWIL3,1,1
PLA2G2E,1,1
POU4F2,1,1
RNASE9,1,1
RPL6,1,1
RPS24,1,1
RPS27,1,1
RPS7,1,1
RPTN,1,1
RXFP2,1,1
SAGE1,1,1
SPATA16,1,1
TAAR1,1,1
TAAR8,1,1
TAS2R13,1,1
TAS2R9,1,1
TGM6,1,1
TPH2,1,1
TRIM42,1,1
VN1R2,1,1
