gene,fdr,category
AAMP,0.513262729051878,1
AARS,0.6547916820495646,1
AARS2,0.5335109202016198,1
AASDHPPT,0.164075625986109,1
AATF,0.3927914288721403,1
ABCB7,0.6152225081914269,1
ABCF1,0.8486430616999969,1
ABHD11,0.2883750945229155,1
ABT1,0.4205773100439262,1
ACACA,0.5106471039503526,1
ACLY,0.49341304178234496,1
ACO2,0.41315270034458235,1
ACSL3,0.7113168319024601,1
ACTL6A,0.4379213579907618,1
ACTR10,0.4830721160683248,1
ACTR1A,0.42111356436168207,1
ACTR3,0.422321238673809,1
ACTR6,0.427873775259233,1
ACTR8,0.5809204235425323,1
ADSL,0.4306867852365797,1
AFG3L2,0.4561544134613543,1
AGO2,0.5197777403472899,1
AHCY,0.30312926367236914,1
AIFM1,0.9999999978564567,1
AKIRIN2,0.28166048377419395,1
ALDOA,0.7651034030420095,1
ALG1,0.53278293864562,1
ALG13,0.5014349708363091,1
ALG14,0.45342299360021343,1
ALG2,0.3960662160261966,1
ALG8,0.567863443293693,1
ALYREF,0.7425291370571102,1
ANAPC10,0.7546871460240229,1
ANAPC11,0.9999999978564567,1
ANAPC15,0.32779452859497776,1
ANAPC2,0.4387414308605201,1
ANAPC4,0.4552434925064606,1
ANAPC5,0.43905718237638236,1
ANKLE2,0.8046063412964085,1
ANKRD49,0.3989782163656457,1
ANKRD63,0.9999999978564567,1
AQR,0.48512307138133437,1
ARCN1,0.4865037133542989,1
ARFRP1,0.33389177699191613,1
ARGLU1,0.7537184368741044,1
ARIH1,0.39518280792986205,1
ARL2,0.5105212769331088,1
ARMC7,0.49814970261689057,1
ARPC4,0.7413030596014504,1
ASCC3,0.7470555790070035,1
ASNA1,0.26554174462666047,1
ASNS,0.5702820493126199,1
ATF7,0.9999999978564567,1
ATIC,0.4662203904949058,1
ATL2,0.5775030274851368,1
ATP13A1,0.164075625986109,1
ATP1A1,0.41384956104104287,1
ATP2A2,0.4455978754170621,1
ATP5A1,0.514197014920716,1
ATP5B,0.4426173538654113,1
ATP5C1,0.4705480073383103,1
ATP5D,0.4383062053310343,1
ATP5F1,0.769527456704593,1
ATP5I,0.26781433891016304,1
ATP6AP2,0.7002720167599739,1
ATP6V0B,0.5346719690958254,1
ATP6V0C,0.364245186693003,1
ATP6V0D1,0.7002720167599739,1
ATP6V1A,0.4380308239514976,1
ATP6V1B2,0.5579944175806452,1
ATP6V1C1,0.3995096454471247,1
ATP6V1D,0.9999999978564567,1
ATP6V1E1,0.4571629039990599,1
ATP6V1G1,0.6125755200124863,1
ATP6V1H,0.4022266201077157,1
ATR,0.3063295251537567,1
ATRIP,0.45312834254456247,1
ATRX,0.7777150425650061,1
ATXN7L3,0.4556844672106457,1
AURKAIP1,0.7211478821888238,1
AURKB,0.4682479497729974,1
BAHD1,0.39540899317540606,1
BAP1,0.6615116287222882,1
BARD1,0.4372064256454342,1
BCAS2,0.4559892388425383,1
BCCIP,0.5747881856367826,1
BCL2L1,0.5539646633158318,1
BCS1L,0.38017959858365036,1
BDP1,0.4672910581089835,1
BIRC5,0.3747724949970472,1
BLM,0.5108627082517067,1
BMS1,0.39518280792986205,1
BNIP1,0.9576977540277432,1
BOP1,0.46533796859492516,1
BORA,0.39518280792986205,1
BRAP,0.3107963115241143,1
BRAT1,0.42674230766618154,1
BRCA1,0.5037491947126561,1
BRCA2,0.18802146019913915,1
BRD2,0.23306482796001934,1
BRD4,0.8812834794746418,1
BRD8,0.7286755615066502,1
BRF1,0.4945803910294194,1
BRF2,0.5381200224757481,1
BRIX1,0.4157580231916562,1
BTAF1,0.9204928884325205,1
BUB1B,0.4228346849781073,1
BUB3,0.7752211324050908,1
BUD13,0.5465194085393141,1
BUD31,0.9999999978564567,1
BYSL,0.3295699027270661,1
C11orf57,0.3907571200663794,1
C12orf45,0.5571611698747304,1
C12orf65,0.4439736125334378,1
C14orf178,0.4411966573086228,1
C14orf80,0.976347331794373,1
C15orf41,0.5393161446136003,1
C16orf72,0.44083691029753014,1
C18orf21,0.6780923068281551,1
C1orf109,0.42674230766618154,1
C1orf131,0.7332588882744673,1
C1QBP,0.7585352378072924,1
C21orf59,0.38665507845466707,1
C2orf49,0.3986496977649573,1
C8orf33,0.9999999978564567,1
C9orf78,0.5179441640408079,1
CACTIN,0.4559892388425383,1
CAD,0.5968342340095397,1
CARS,0.3108074446468489,1
CARS2,0.49722668483753496,1
CBLL1,0.24691416397465377,1
CCDC115,0.6424744806781326,1
CCDC130,0.9619801142957217,1
CCDC84,0.3747724949970472,1
CCDC86,0.44287709884221726,1
CCDC94,0.4995573249426018,1
CCNA2,0.4617750620373813,1
CCNB1,0.6985654107062511,1
CCND1,0.39071201722989674,1
CCNH,0.6919847002067977,1
CCNK,0.8589589959967902,1
CCT2,0.4349803881782711,1
CCT3,0.4024609317149351,1
CCT4,0.6089927316773217,1
CCT5,0.5514444812521218,1
CCT6A,0.4558144489840297,1
CCT7,0.4662203904949058,1
CD3EAP,0.42222294570983027,1
CDAN1,0.4144615497792035,1
CDC123,0.2920837345037914,1
CDC16,0.40839844986223534,1
CDC20,0.5543454598929942,1
CDC23,0.46296355192156574,1
CDC25A,0.3044824661612781,1
CDC37,0.9499917492756792,1
CDC45,0.5408257832321768,1
CDC5L,0.3877205364164745,1
CDC6,0.6516027223337822,1
CDC73,0.4910653583356008,1
CDCA3,0.8627207756077051,1
CDCA5,0.7038702343117454,1
CDCA8,0.5476158168713089,1
CDK12,0.5166955143827557,1
CDK2,0.9999999978564567,1
CDK9,0.4331132026458582,1
CDT1,0.39381965659172474,1
CEBPE,0.1295976259893993,1
CEBPZ,0.7726768447407294,1
CENPA,0.9999999978564567,1
CENPE,0.5002640207747355,1
CENPF,0.386371054545827,1
CENPI,0.3571145607877454,1
CENPJ,0.7561043136003092,1
CENPK,0.44760082184219235,1
CENPL,0.5282838332477766,1
CENPM,0.3583217534003479,1
CENPN,0.5467773157239632,1
CENPO,0.35423874269260114,1
CENPP,0.16952453081232108,1
CENPQ,0.7771600102960351,1
CENPT,0.9509269105214339,1
CENPW,0.5342264092360914,1
CEP152,0.5352606342964108,1
CEP192,0.47863858420089167,1
CEP57,0.9999999978564567,1
CEP85,0.1942898228119508,1
CEP97,0.7964895403567505,1
CFDP1,0.7296109253920411,1
CHAF1A,0.49130545239117296,1
CHAF1B,0.49130545239117296,1
CHD1,0.8676192878471222,1
CHD4,0.5167381865648575,1
CHEK1,0.40031937131492584,1
CHERP,0.9255588642276599,1
CHMP2A,0.39872420739741543,1
CHMP3,0.38926676116866105,1
CHMP4B,0.21375704456142947,1
CHMP6,0.6638007232220049,1
CIAO1,0.45357274771591577,1
CINP,0.45925218538899815,1
CKAP5,0.5080476774061319,1
CLASRP,0.41673057292116744,1
CLNS1A,0.4839141795385161,1
CLP1,0.9999999978564567,1
CLTC,0.4418981874352022,1
CNBP,0.9999999978564567,1
CNOT1,0.5827118099816319,1
CNOT2,0.5848463091732544,1
CNOT3,0.6398389287150719,1
COA3,0.7543547510694458,1
COA5,0.45294708558035923,1
COASY,0.47062201820695126,1
COG2,0.42219781512961063,1
COG3,0.39263175078912393,1
COG4,0.447588782049981,1
COG8,0.4359695852632007,1
COL9A3,0.342749069690121,1
COMTD1,0.9999999978564567,1
COPA,0.49793010874075266,1
COPB1,0.536786511762367,1
COPB2,0.4724519749340351,1
COPE,0.861243174856069,1
COPG1,0.4069390659568239,1
COPS3,0.4418981874352022,1
COPS4,0.6423306500431144,1
COPS5,0.3831638861137423,1
COPS6,0.4215742935854158,1
COPZ1,0.466021155953154,1
COQ2,0.9042774883183441,1
COQ4,0.5703495267171275,1
COQ5,0.8314833689517389,1
COX10,0.8072936588284106,1
COX15,0.2052949618152461,1
COX4I1,0.47501854377199537,1
COX5B,0.7634089590091395,1
COX6B1,0.39263175078912393,1
CPOX,0.8381736995933932,1
CPSF1,0.3557050939071156,1
CPSF2,0.5106161177477562,1
CPSF3,0.4266193798463659,1
CPSF4,0.4187246183607093,1
CPSF6,0.8151098620021596,1
CRCP,0.45312834254456247,1
CRIPT,0.6208011635872591,1
CRKL,0.3164389606046619,1
CRLS1,0.5382064610136503,1
CRNKL1,0.9125173901417717,1
CSE1L,0.45832137057883554,1
CSNK1A1,0.4293208698912738,1
CSNK2B,0.6766370589824681,1
CSTF1,0.6968266908821239,1
CSTF3,0.5071183359574399,1
CT62,0.9999999978564567,1
CTC1,0.4499591721919935,1
CTCF,0.39843965786691415,1
CTDNEP1,0.808749643912603,1
CTDP1,0.47501854377199537,1
CTNNBL1,0.45312834254456247,1
CTPS1,0.6566952302522447,1
CTR9,0.5133272866002383,1
CTU1,0.4815265881868768,1
CTU2,0.48621763317317374,1
CUL1,0.7312041591821602,1
CUL2,0.4391587754747962,1
CUL3,0.8674595728499266,1
CWC22,0.5594703624550088,1
CWF19L2,0.427873775259233,1
CYFIP1,0.46088123509626416,1
DAD1,0.3897224117032338,1
DAP3,0.20439742977254996,1
DARS,0.4965544355703568,1
DARS2,0.39737778945829966,1
DBR1,0.42465747851106184,1
DCAF7,0.5239929900543121,1
DCLRE1B,0.527472534955653,1
DCPS,0.41315270034458235,1
DCTN2,0.4684241897424201,1
DCTN4,0.39843965786691415,1
DCTN5,0.40593362660578614,1
DCTN6,0.46635128900031386,1
DDB1,0.4962432550030622,1
DDI2,0.339688410248558,1
DDN,0.9999999978564567,1
DDOST,0.5937779805371899,1
DDX1,0.4983685261075732,1
DDX18,0.4275540098313483,1
DDX20,0.9793342415784261,1
DDX21,0.5164242097770056,1
DDX23,0.3995096454471247,1
DDX24,0.40779201804294796,1
DDX27,0.4420950409349305,1
DDX39B,0.9999999978564567,1
DDX3X,0.5944234420243619,1
DDX41,0.45357274771591577,1
DDX42,0.3003469250884696,1
DDX46,0.49130545239117296,1
DDX47,0.47407219799072253,1
DDX49,0.8511514568733385,1
DDX5,0.46597738531637484,1
DDX51,0.38695818719003133,1
DDX52,0.5696893464738974,1
DDX54,0.4930373153085113,1
DDX55,0.3583217534003479,1
DDX56,0.3995096454471247,1
DDX59,0.6655375582559101,1
DDX6,0.44335342448344245,1
DGCR14,0.47501854377199537,1
DGCR8,0.40354515255169066,1
DHDDS,0.44925265259584896,1
DHFR,0.5981118184502461,1
DHODH,0.485507989150131,1
DHPS,0.5376099845788587,1
DHX15,0.3960662160261966,1
DHX16,0.41384956104104287,1
DHX33,0.5193497572671354,1
DHX35,0.3903637630467116,1
DHX36,0.5378878410606446,1
DHX37,0.5658716967591649,1
DHX38,0.9656979946467947,1
DHX8,0.4401953733297833,1
DHX9,0.9999999978564567,1
DICER1,0.3586688904766355,1
DIDO1,0.37834796511871815,1
DIEXF,0.6246338084243207,1
DIMT1,0.4205773100439262,1
