gene,fdr,category
RUVBL2,2.339178810966248e-5,1
MCM2,2.339178810966248e-5,1
HSD17B10,2.339178810966248e-5,1
POLR2G,2.339178810966248e-5,1
LRPPRC,2.339178810966248e-5,1
DDB1,2.339178810966248e-5,1
SYMPK,2.339178810966248e-5,1
CENPE,2.339178810966248e-5,1
RIOK2,2.339178810966248e-5,1
BRIX1,2.339178810966248e-5,1
RRM2,2.339178810966248e-5,1
MED30,2.339178810966248e-5,1
RPL9,2.339178810966248e-5,1
EIF2B5,2.339178810966248e-5,1
GINS3,2.339178810966248e-5,1
INTS3,2.339178810966248e-5,1
PPP1R8,2.339178810966248e-5,1
CTNNBL1,2.339178810966248e-5,1
RAN,2.339178810966248e-5,1
XPO1,2.339178810966248e-5,1
ZBTB11,2.339178810966248e-5,1
PMPCA,2.339178810966248e-5,1
BOP1,2.339178810966248e-5,1
RCL1,2.339178810966248e-5,1
TNPO3,2.339178810966248e-5,1
GEMIN2,2.339178810966248e-5,1
PGD,2.339178810966248e-5,1
RFC5,2.339178810966248e-5,1
MCM5,2.339178810966248e-5,1
POLR1B,2.339178810966248e-5,1
PSMA5,2.339178810966248e-5,1
MRPL11,2.339178810966248e-5,1
NUDCD3,2.339178810966248e-5,1
PPAN,2.339178810966248e-5,1
CLTC,2.339178810966248e-5,1
DHDDS,2.339178810966248e-5,1
POLR2L,2.339178810966248e-5,1
EIF3M,2.339178810966248e-5,1
HINFP,2.339178810966248e-5,1
BORA,2.339178810966248e-5,1
NCL,2.339178810966248e-5,1
PPIL2,2.339178810966248e-5,1
MARS,2.339178810966248e-5,1
BDP1,2.339178810966248e-5,1
RACGAP1,2.339178810966248e-5,1
TINF2,2.339178810966248e-5,1
ACTR6,2.339178810966248e-5,1
CINP,2.339178810966248e-5,1
LAS1L,2.339178810966248e-5,1
RRM1,2.339178810966248e-5,1
TRMT5,2.339178810966248e-5,1
EXOC3,2.339178810966248e-5,1
SEC13,2.339178810966248e-5,1
TTI2,2.339178810966248e-5,1
POLR2C,2.339178810966248e-5,1
RNF40,2.339178810966248e-5,1
RTEL1,2.339178810966248e-5,1
PLK1,2.339178810966248e-5,1
HMGCS1,2.339178810966248e-5,1
TAF2,2.339178810966248e-5,1
ORC5,2.339178810966248e-5,1
ZNRD1,2.339178810966248e-5,1
DSN1,2.339178810966248e-5,1
PRPF6,2.339178810966248e-5,1
KIN,2.339178810966248e-5,1
PHAX,2.339178810966248e-5,1
CENPK,2.339178810966248e-5,1
PELP1,2.339178810966248e-5,1
KAT8,2.339178810966248e-5,1
URM1,2.339178810966248e-5,1
CSE1L,2.339178810966248e-5,1
PISD,2.339178810966248e-5,1
EIF5B,2.339178810966248e-5,1
UTP20,2.339178810966248e-5,1
ZNF622,2.339178810966248e-5,1
SLC25A10,2.339178810966248e-5,1
