gene,fdr
MCM2,0.00495
POLR2G,0.007426
DRD2,0.011139
LRPPRC,0.011139
DDB1,0.012376
CLSPN,0.012376
BRIX1,0.035272
RUVBL2,0.035272
MYCBP2,0.039745
CLTC,0.039745
BOP1,0.039745
DCTN3,0.039745
ZBTB11,0.039745
RCL1,0.039745
CENPE,0.039745
MED30,0.039745
SYMPK,0.039745
RPL9,0.039745
RRM2,0.039745
NUDCD3,0.039745
MCM5,0.039745
PPP1R8,0.039745
HSD17B10,0.039745
PSMA5,0.039745
GINS3,0.039745
GEMIN2,0.039745
RFC5,0.039745
PELP1,0.039745
KIN,0.039745
INTS3,0.039745
EIF2B5,0.039745
TCOF1,0.039745
RACGAP1,0.039745
TRNT1,0.039745
TNPO3,0.039745
DCAF1,0.044967
PPIE,0.047548
RIOK2,0.047548
LAS1L,0.047548
UTP14C,0.047548
PPIL2,0.047548
PMPCA,0.047548
TTI2,0.047548
POLR2H,0.047592
NUBP1,0.048752
TAF2,0.048752
ACTR6,0.048978
NUF2,0.051155
RPL26,0.051155
ZCRB1,0.051155
NMD3,0.051155
NELFCD,0.051155
HEATR1,0.051155
HINFP,0.051155
SLC38A6,0.051155
FCF1,0.051155
DHDDS,0.051155
RRM1,0.05412
ATXN10,0.05412
COX6B1,0.054538
RPS17,0.055429
PPAN,0.05741
SNRPG,0.058384
NUP214,0.060566
NEDD1,0.060862
TANGO6,0.060862
EIF2B4,0.060862
PRIM2,0.060862
NCL,0.061115
MRPL38,0.061115
TWNK,0.061115
ACTL6A,0.061115
EXOC3,0.061115
CKAP5,0.061115
EIF5B,0.061115
NEFL,0.061115
TREX2,0.061115
ZMAT2,0.061115
RPS3A,0.061115
COPS8,0.061115
SRP68,0.061115
LONP1,0.061115
ATP6V1A,0.061115
TOP1,0.061115
BARD1,0.061115
SSRP1,0.061115
PHAX,0.061115
SARS,0.061115
RAN,0.061115
SRBD1,0.061115
PGD,0.061115
CTNNBL1,0.061115
CFAP20,0.061115
TRAPPC11,0.061115
SMC2,0.061115
MRPL45,0.061115
DTYMK,0.061115
URM1,0.061115
CWC22,0.061115
DDX41,0.061115
GPN1,0.061115
GRPEL1,0.061115
EP400,0.061115
ADAT2,0.061115
MRPS17,0.061115
SPCS3,0.061115
CASP8AP2,0.061115
SRF,0.061115
EEF1G,0.061115
SRSF3,0.061115
XPO1,0.061115
TEFM,0.061115
FBXO5,0.061115
MARS,0.062661
TRAPPC8,0.062661
CCDC121,0.062661
UBL5,0.062661
BUD13,0.062661
ZWINT,0.062661
CYB5R4,0.062661
WWTR1,0.062661
BUB1,0.062661
SLC25A10,0.062661
WDR33,0.062661
SF3B6,0.062661
HNRNPC,0.062661
POLR1B,0.062661
METTL16,0.062661
BDP1,0.062661
RPL12,0.062661
GFM1,0.062661
EIF3B,0.062661
TRMT5,0.062661
CCT2,0.062661
CEP295,0.062661
BET1,0.062661
RPA1,0.062661
INTS11,0.062661
TTI1,0.062661
TARS2,0.062661
PRPF8,0.062661
WDR55,0.062661
ORC3,0.062661
MTERF3,0.062661
NUP205,0.062661
CSE1L,0.062661
SF3A1,0.062661
TINF2,0.062661
GINS2,0.062661
NOL8,0.062661
ORC5,0.062661
RPP30,0.062661
PLK1,0.062661
GTF2E1,0.062661
CDC5L,0.062661
SF3B1,0.062661
DSN1,0.062661
BTF3,0.062661
CEP152,0.062661
PRPF6,0.062661
HNRNPL,0.062661
SLBP,0.062661
CAMLG,0.062661
TIMM9,0.062661
PSMB2,0.062661
GINS1,0.062661
GLRX3,0.062661
KAT8,0.062661
KIAA0586,0.062661
MED9,0.062661
FARSA,0.062661
ACTR10,0.062661
ARL2,0.062661
VARS,0.062661
CDAN1,0.062661
RPL4,0.062661
TPX2,0.062661
GTF3C3,0.062661
COPZ1,0.062661
TAF1D,0.062661
POLR2L,0.062661
PPAN-P2RY11,0.062661
EIF5A,0.062661
PGS1,0.062661
HYPK,0.063821
NAA15,0.064596
KIF18A,0.066157
WDR12,0.066295
RRAGA,0.066295
FBL,0.066295
MTBP,0.066295
IMP3,0.066295
VPS28,0.066295
DCTN6,0.066295
SNRPD3,0.066295
ACTR2,0.066295
HGS,0.066295
NEDD8,0.066295
PFDN2,0.066295
SRPRB,0.066295
PPP1R2,0.066295
HSPA9,0.066295
NLGN1,0.066295
MRPL11,0.066295
RPL11,0.066295
CHORDC1,0.066295
WDR36,0.066295
TP53RK,0.066295
RPS27A,0.066295
UQCR10,0.066295
ATRIP,0.066295
VPS36,0.066295
SRP72,0.066369
IMP4,0.066369
GBF1,0.066935
RFC1,0.066986
TFRC,0.066986
GMPPB,0.066986
POLR1C,0.066986
EXOC2,0.066986
PSMA6,0.066986
COPA,0.066986
ANAPC2,0.066986
NDOR1,0.066986
GGPS1,0.067129
KAT5,0.067157
SNRPD1,0.067157
DDX1,0.067157
SKA3,0.06721
FNTB,0.067792
HJURP,0.067792
ELOF1,0.067792
SEM1,0.068308
ATP5J2,0.06878
SPC25,0.06878
NDUFA1,0.069118
BRCA2,0.069286
MIS18BP1,0.069287
RPS11,0.069287
GTF2F2,0.069287
EIF2B3,0.069287
KARS,0.069287
MED4,0.069287
RPAP1,0.070257
CENPK,0.070257
NOP2,0.070329
AP2A1,0.070329
EXOC5,0.070365
