gene,fdr
PDCD11,0
BIRC5,0
POLR2G,0
PSMB6,0
CDC5L,0
ORC5,0
SARS,0
RPL4,0
GBF1,0
RPL31,0
BYSL,0
TCP1,0
RPL12,0
TAMM41,0
RBM42,0
EXOSC8,0
HSPA9,0
SRBD1,0
FARSB,0
PSMC3,0.005712424242424243
BORA,0.005712424242424243
OXSM,0.005712424242424243
RIOK2,0.005712424242424243
KIF18A,0.005712424242424243
RPL26,0.005712424242424243
TAF1A,0.005712424242424243
EXOC2,0.005712424242424243
NUFIP1,0.005712424242424243
DCTN3,0.005712424242424243
PRIM2,0.005712424242424243
MED7,0.005712424242424243
RFC3,0.005712424242424243
EIF2B3,0.005712424242424243
EIF2B4,0.009667179487179487
SEM1,0.009667179487179487
PPP1R8,0.009667179487179487
KIN,0.009667179487179487
MRPS17,0.009667179487179487
SLC7A6OS,0.009667179487179487
NMD3,0.0113106
PSMD1,0.0113106
TXN,0.0113106
RPS7,0.0113106
NCL,0.0113106
GINS3,0.0113106
MDN1,0.0113106
TIMM44,0.0113106
POP5,0.0113106
CPSF1,0.0113106
ATP1A1,0.0113106
DCTN5,0.01216193548387097
RPAP1,0.01216193548387097
SRRM2,0.01216193548387097
HINFP,0.01216193548387097
PGD,0.01216193548387097
IMP3,0.01216193548387097
C16orf59,0.01216193548387097
DDX41,0.01216193548387097
RNF168,0.01216193548387097
RPS19BP1,0.01216193548387097
PMPCA,0.01216193548387097
DNAJC17,0.01216193548387097
BRIX1,0.01357272
SYMPK,0.01357272
ATP6V1A,0.01357272
PSMB1,0.01357272
SRSF3,0.01357272
METTL16,0.01357272
WARS2,0.01357272
WDHD1,0.01357272
SENP6,0.01357272
TOP1,0.01357272
ABT1,0.01357272
GINS1,0.01357272
PSMA6,0.01357272
CLTC,0.01357272
TANGO6,0.01357272
NSA2,0.01357272
NSMCE1,0.01357272
BARD1,0.01357272
SNRPG,0.01357272
LRPPRC,0.01357272
SNRNP25,0.01357272
RBM17,0.01357272
TWISTNB,0.01357272
HAUS1,0.01357272
CCND1,0.01357272
VPS33A,0.01357272
TTI2,0.01357272
SCFD1,0.01357272
CYB5R4,0.01357272
EIF3A,0.01357272
ZCRB1,0.01357272
KIAA0586,0.01357272
RPP14,0.01357272
PPIL2,0.01357272
RBM22,0.01357272
EXOSC5,0.01357272
TRAPPC5,0.01357272
PSMD2,0.01357272
WDR55,0.01357272
ATP6V1F,0.01357272
POLE,0.01357272
GEMIN5,0.01357272
TRNT1,0.01357272
TAF1,0.01357272
CCDC174,0.01357272
LENG8,0.01357272
MED9,0.01357272
MEN1,0.01357272
SNRPD3,0.01357272
TREX2,0.01357272
CIT,0.01357272
PLK1,0.01357272
PGS1,0.01357272
PPCS,0.01357272
DDX56,0.01357272
DSCC1,0.01357272
NDOR1,0.01357272
DCTN4,0.01357272
SRP19,0.01357272
FAM149B1,0.01357272
CHEK1,0.01357272
TUBG1,0.01357272
FBL,0.01357272
PSMB2,0.014500769230769232
NDUFB1,0.014500769230769232
LAMTOR2,0.014500769230769232
PSMA5,0.014500769230769232
GRPEL1,0.014500769230769232
EEF1G,0.015474701492537313
MYBBP1A,0.015474701492537313
PSMC2,0.015474701492537313
UPF1,0.015474701492537313
PSMB5,0.016881492537313435
SF3B3,0.016881492537313435
MIS18BP1,0.016881492537313435
DICER1,0.016881492537313435
RPL14,0.016881492537313435
DGCR8,0.016881492537313435
HJURP,0.016881492537313435
CXXC1,0.016881492537313435
SEC61A1,0.016881492537313435
USP37,0.016881492537313435
MRPS23,0.016881492537313435
ITGAV,0.016881492537313435
RBSN,0.016881492537313435
NUDC,0.016881492537313435
XRN1,0.016881492537313435
ATP6V1C1,0.016881492537313435
GINS4,0.016881492537313435
ATR,0.016881492537313435
MCM2,0.016881492537313435
MCM6,0.016881492537313435
BDP1,0.016881492537313435
RBM28,0.016881492537313435
TRMT5,0.016881492537313435
PPAN,0.016881492537313435
MRPL37,0.016881492537313435
HSPE1,0.016881492537313435
EIF1AX,0.016881492537313435
ZNHIT3,0.016881492537313435
GTPBP4,0.016881492537313435
LONP1,0.016881492537313435
ELP4,0.016881492537313435
SRP68,0.016881492537313435
HUS1,0.016881492537313435
NUP153,0.016881492537313435
INTS5,0.016881492537313435
CTDP1,0.016881492537313435
GFER,0.016881492537313435
VPS36,0.016881492537313435
COPZ1,0.016881492537313435
NUP85,0.016881492537313435
ITPA,0.016881492537313435
GEMIN2,0.016881492537313435
PDGFRA,0.016881492537313435
RER1,0.016881492537313435
PFDN6,0.016881492537313435
MTBP,0.016881492537313435
BOD1L1,0.016881492537313435
DKC1,0.016881492537313435
MFAP1,0.016881492537313435
POLR2H,0.016881492537313435
TBCC,0.016881492537313435
SRFBP1,0.016881492537313435
VPS28,0.016881492537313435
RPL11,0.016881492537313435
UVRAG,0.016881492537313435
USP39,0.016881492537313435
DDB1,0.016881492537313435
TPR,0.016881492537313435
RAD50,0.016881492537313435
FPGS,0.016881492537313435
FLCN,0.016881492537313435
TEX10,0.016881492537313435
GTF2E2,0.016881492537313435
TPX2,0.016881492537313435
ZNF335,0.016881492537313435
DTYMK,0.016881492537313435
CDK1,0.016881492537313435
C19orf25,0.017386844660194176
ZNHIT6,0.017386844660194176
DSN1,0.017386844660194176
TAF2,0.017386844660194176
HSP90B1,0.017386844660194176
NGDN,0.01812596153846154
BECN1,0.01812596153846154
GTF3C3,0.018941196172248806
TCOF1,0.01961868778280543
MARS,0.01961868778280543
CSE1L,0.01961868778280543
INTS4,0.01961868778280543
NRDE2,0.01961868778280543
SF3B2,0.01961868778280543
ATP6AP1,0.01961868778280543
FBXO5,0.01961868778280543
RABGGTA,0.01961868778280543
COG4,0.01961868778280543
PPIE,0.01961868778280543
ADAT2,0.01961868778280543
ATIC,0.0201975
PLRG1,0.0201975
DCPS,0.0201975
PNPT1,0.020680421940928267
PGGT1B,0.020680421940928267
GTF2A2,0.020680421940928267
UPF2,0.020680421940928267
RUVBL2,0.020680421940928267
GPN3,0.020680421940928267
COA7,0.020680421940928267
PFDN4,0.020680421940928267
VPS13D,0.020680421940928267
FARSA,0.020680421940928267
RNF113A,0.020680421940928267
EIF2B5,0.020680421940928267
CEP55,0.020680421940928267
RPL27A,0.02102342007434944
UFM1,0.02102342007434944
CCDC121,0.02102342007434944
MRPL9,0.02102342007434944
IMP4,0.02102342007434944
DCTN1,0.02102342007434944
RPS17,0.02102342007434944
EIF3M,0.02102342007434944
SMU1,0.02102342007434944
FNTA,0.02102342007434944
RRP9,0.02102342007434944
POLR2L,0.02102342007434944
PREB,0.02102342007434944
DDX55,0.02102342007434944
ZWINT,0.02102342007434944
MVD,0.02102342007434944
UTP20,0.02102342007434944
ATAD5,0.02102342007434944
LIG1,0.02102342007434944
NXT1,0.02102342007434944
THOC2,0.02102342007434944
NDUFA7,0.02102342007434944
RRAGA,0.02102342007434944
USP5,0.02102342007434944
CDT1,0.02102342007434944
CHEK2,0.02102342007434944
PAM16,0.02102342007434944
WDR59,0.02102342007434944
WDR5,0.02102342007434944
SF3B1,0.02102342007434944
IPO9,0.02102342007434944
TBC1D10B,0.02102342007434944
GEMIN8,0.021405897435897436
SRP14,0.021405897435897436
RTEL1,0.021405897435897436
TTI1,0.021405897435897436
GPATCH4,0.02193570909090909
DDX23,0.02193570909090909
RPLP2,0.02229688172043011
RPL34,0.02229688172043011
EIF5B,0.02229688172043011
IMPDH2,0.02229688172043011
KANSL3,0.0225680985915493
RAB18,0.0225680985915493
NOL10,0.0225680985915493
RPSA,0.0225680985915493
OGT,0.0225680985915493
PRPF40A,0.02315035087719298
RPS8,0.023401241379310347
FAM96B,0.023401241379310347
SLC25A10,0.023401241379310347
GGPS1,0.023401241379310347
RANBP2,0.023401241379310347
TADA2A,0.02461642611683849
EP400,0.02492166101694915
AURKB,0.02492166101694915
IARS2,0.02492166101694915
ARL2,0.02492166101694915
MIPEP,0.02576303333333333
COG2,0.02576303333333333
E4F1,0.02576303333333333
ZBTB11,0.02576303333333333
NUDCD3,0.02576303333333333
POLR1A,0.025873921568627452
HSD17B10,0.025873921568627452
CCT3,0.025873921568627452
FH,0.025873921568627452
ECT2,0.025873921568627452
MRPS33,0.025873921568627452
GAPDH,0.026317954545454544
RPA2,0.026317954545454544
RPA1,0.02727636655948553
YAE1D1,0.02727636655948553
BRAT1,0.02727636655948553
VPS72,0.028397339743589742
VARS,0.028634430379746837
TUBGCP6,0.028634430379746837
SURF6,0.028634430379746837
INCENP,0.028634430379746837
RPL35,0.0294546875
PSMA3,0.0294546875
WDR3,0.0294546875
MRPL57,0.0294546875
LSG1,0.029614864048338366
AMD1,0.029614864048338366
PSMD8,0.029614864048338366
CPSF2,0.029614864048338366
HSPD1,0.029614864048338366
POLR2D,0.029614864048338366
EXOC1,0.029614864048338366
DHDDS,0.029614864048338366
PNISR,0.029614864048338366
SEC61B,0.029614864048338366
PFDN2,0.029614864048338366
ATP6V0C,0.030093463855421686
CHMP3,0.03094940298507463
TARS2,0.03094940298507463
KMT2A,0.03094940298507463
SEC13,0.03151046920821114
PIK3R4,0.03151046920821114
RPL35A,0.03151046920821114
NUP98,0.03151046920821114
POLG2,0.03151046920821114
SF3A1,0.03151046920821114
ILF2,0.03233165697674419
NEDD8,0.03233165697674419
MED30,0.03233165697674419
RFC4,0.03250172413793103
