gene,fdr,category
CARS,2.7472498725079427e-5,1
ALDOA,2.7472498725079427e-5,1
RPL7,2.7472498725079427e-5,1
TRMT5,2.7472498725079427e-5,1
EIF3I,2.7472498725079427e-5,1
RPL19,2.7472498725079427e-5,1
KARS,2.7472498725079427e-5,1
PRMT5,2.7472498725079427e-5,1
BUB3,2.7472498725079427e-5,1
PSMB4,2.7472498725079427e-5,1
SKA2,2.7472498725079427e-5,1
PSMA5,2.7472498725079427e-5,1
GOSR2,2.7472498725079427e-5,1
RPP21,2.7472498725079427e-5,1
TRRAP,2.7472498725079427e-5,1
VRK1,2.7472498725079427e-5,1
RPLP0,2.7472498725079427e-5,1
DDX52,2.7472498725079427e-5,1
METAP2,2.7472498725079427e-5,1
HSPA9,2.7472498725079427e-5,1
AARS,2.7472498725079427e-5,1
PSMD14,2.7472498725079427e-5,1
PSMB3,2.7472498725079427e-5,1
BRF1,2.7472498725079427e-5,1
DNTTIP2,2.7472498725079427e-5,1
RPS4X,2.7472498725079427e-5,1
PRMT1,2.7472498725079427e-5,1
ACTL6A,2.7472498725079427e-5,1
EIF6,2.7472498725079427e-5,1
MCM7,2.7472498725079427e-5,1
ANAPC11,2.7472498725079427e-5,1
PTCD3,2.7472498725079427e-5,1
EIF2S1,2.7472498725079427e-5,1
SF3B1,2.7472498725079427e-5,1
EXOSC8,2.7472498725079427e-5,1
RPP14,2.7472498725079427e-5,1
CDC73,2.7472498725079427e-5,1
URI1,2.7472498725079427e-5,1
PFDN2,2.7472498725079427e-5,1
CDCA8,2.7472498725079427e-5,1
TUT1,2.7472498725079427e-5,1
HSPA5,2.7472498725079427e-5,1
GINS2,2.7472498725079427e-5,1
MFN2,2.7472498725079427e-5,1
CCDC94,2.7472498725079427e-5,1
MTHFD1,2.7472498725079427e-5,1
SEPT7,2.7472498725079427e-5,1
XPO5,2.7472498725079427e-5,1
COG3,2.7472498725079427e-5,1
GFM1,2.7472498725079427e-5,1
TAF1C,2.7472498725079427e-5,1
POLR2G,2.7472498725079427e-5,1
TRAPPC11,2.7472498725079427e-5,1
ELP5,2.7472498725079427e-5,1
LUC7L3,2.7472498725079427e-5,1
NAE1,2.7472498725079427e-5,1
GRPEL1,2.7472498725079427e-5,1
EIF2B4,2.7472498725079427e-5,1
LAMTOR2,2.7472498725079427e-5,1
MDM2,2.7472498725079427e-5,1
COPA,2.7472498725079427e-5,1
SNUPN,2.7472498725079427e-5,1
DCTN5,2.7472498725079427e-5,1
ZMAT2,2.7472498725079427e-5,1
GPN1,2.7472498725079427e-5,1
GNL3L,2.7472498725079427e-5,1
BUD31,2.7472498725079427e-5,1
MAT2A,2.7472498725079427e-5,1
RSL1D1,2.7472498725079427e-5,1
PES1,2.7472498725079427e-5,1
NDC80,2.7472498725079427e-5,1
ARMC7,2.7472498725079427e-5,1
EIF2B3,2.7472498725079427e-5,1
NOP16,2.7472498725079427e-5,1
SRSF1,2.7472498725079427e-5,1
