gene,fdr
A1BG,0.1429582902869788
A1CF,0.9999999999760111
A2M,0.16842930599405978
A2ML1,0.7704178959991258
A3GALT2,0.9999999999760111
A4GALT,0.17462052378177637
A4GNT,0.9149374657031997
AAAS,0.9999999999760111
AACS,0.5804356849994802
AADAC,0.9999999999760111
AADACL2,0.278355339261377
AADACL3,0.10651979748792029
AADACL4,0.6130976774855383
AADAT,0.3808496087495877
AAED1,0.45053276420858684
AAGAB,0.9999999999760111
AAK1,0.01864055309359225
AAMDC,0.62792438710485
AAMP,0.21568954074005733
AANAT,0.9811706128914968
AAR2,0.2530874782518661
AARD,0.45075792118746316
AARS,0.04695494109739438
AARS2,0.10453737338769245
AARSD1,0.35954126419616383
AASDH,0.3718516332426528
AASDHPPT,0.3262297561394345
AASS,0.1505514573041894
AATF,0.06582886059669697
AATK,0.17795788402870466
ABAT,0.7092393526275653
ABCA1,0.059592513345441425
ABCA10,0.02639830657233064
ABCA12,0.11722330779878397
ABCA13,0.9999999999760111
ABCA2,0.4958607906413005
ABCA3,0.46622302608982974
ABCA4,0.5547313429315343
ABCA5,0.8669983136030631
ABCA6,0.08600445696014045
ABCA7,0.32064391159522004
ABCA8,0.4347429222779413
ABCA9,0.7426544783036685
ABCB1,0.5105796035097099
ABCB10,0.01829301615663494
ABCB11,0.4168770275346247
ABCB4,0.09222372088847378
ABCB5,0.8517649904636659
ABCB6,0.3778710000603073
ABCB7,0.05058453851842045
ABCB8,0.9999999999760111
ABCB9,0.2662617075171713
ABCC1,0.9115748898948496
ABCC10,0.015522954524698982
ABCC11,0.030749835723220296
ABCC12,0.008394930655438585
ABCC2,0.1307861816760139
ABCC3,0.02689603656646648
ABCC4,0.2609030825594032
ABCC5,0.2527536786043684
ABCC6,0.2325995984126034
ABCC8,0.9812698489759625
ABCC9,0.9999999999760111
ABCD1,0.24424806592154527
ABCD2,0.09460606441732232
ABCD3,0.7119705456771741
ABCD4,0.7533058919865607
ABCE1,0.004393685954759862
ABCF1,0.014153494775980787
ABCF2,0.47117738233028506
ABCF3,0.035654461316091055
ABCG1,0.9271116046743857
ABCG2,0.9796217333301092
ABCG4,0.6400601484421495
ABCG5,0.8870975586091852
ABCG8,0.2227445878574483
ABHD1,0.31541816847558546
ABHD10,0.9999999999760111
ABHD11,0.1616792172770898
ABHD12,0.5924556583957508
ABHD12B,0.06242756978696761
ABHD13,0.019863655253994777
ABHD14A,0.9999999999760111
ABHD14B,0.014056344459859814
ABHD15,0.22151810700245722
ABHD16A,0.2928171401604393
ABHD16B,0.1687223324442333
ABHD17A,0.0028609983877337128
ABHD17B,0.6833389370059452
ABHD17C,0.8538902592011148
ABHD18,0.9999999999760111
ABHD2,0.9794562492279107
ABHD3,0.6294326245722485
ABHD4,0.134528264668621
ABHD5,0.10260807830550414
ABHD6,0.026588099806976996
ABHD8,0.8079308751866136
ABI1,0.5489022691831047
ABI2,0.012969000500645197
ABI3,0.2976665628429239
ABI3BP,0.3211335253676023
ABL1,0.055712779650048026
ABL2,0.07923209178256253
ABLIM1,0.17323975371925757
ABLIM2,0.13738390734786313
ABLIM3,0.3211348399411371
ABO,0.034119798099222345
ABR,0.07323815356930086
ABRA,0.9999999999760111
ABRACL,0.9999999999760111
ABRAXAS1,0.020409861632391925
ABRAXAS2,0.24047016017197756
ABT1,0.13910025093227074
ABTB1,0.16456618671156722
ABTB2,0.9999999999760111
ACAA1,0.23114734655436817
ACAA2,0.014727609277833507
ACACA,0.1878763074555381
ACACB,0.9224962508754885
ACAD10,0.09800599645601107
ACAD11,0.9793923716328017
ACAD8,0.4129961729810283
ACAD9,0.004386485110424297
ACADL,0.5554464501308708
