gene,fdr
A1BG,0.9999999999985838
A1CF,0.9999999999985838
A2M,0.9999999999985838
A2ML1,0.2833952972078041
A3GALT2,0.9999999999985838
A4GALT,0.9999999999985838
A4GNT,0.9999999999985838
AAAS,0.9999999999985838
AACS,0.9999999999985838
AADAC,0.9708472899015915
AADACL2,0.9999999999985838
AADACL3,0.9999999999985838
AADACL4,0.9999999999985838
AADAT,0.9999999999985838
AAED1,0.9999999999985838
AAGAB,0.9103568806440151
AAK1,0.3895396959280858
AAMDC,0.9999999999985838
AAMP,0.0011976523010189617
AANAT,0.9999999999985838
AAR2,0.9999999999985838
AARD,0.9999999999985838
AARS,2.9896289397440253e-5
AARS2,1.0726804254544739e-5
AARSD1,0.9999999999985838
AASDH,0.9999999999985838
AASDHPPT,0.00030304921223782113
AASS,0.26602212504768485
AATF,9.230456123660651e-5
AATK,0.9999999999985838
ABAT,0.9999999999985838
ABCA1,0.9999999999985838
ABCA10,0.9999999999985838
ABCA12,0.9999999999985838
ABCA13,0.9999999999985838
ABCA2,0.9999999999985838
ABCA3,0.9999999999985838
ABCA4,0.9999999999985838
ABCA5,0.9999999999985838
ABCA6,0.9999999999985838
ABCA7,0.9999999999985838
ABCA8,0.9999999999985838
ABCA9,0.9999999999985838
ABCB1,0.9999999999985838
ABCB10,0.9999999999985838
ABCB11,0.9999999999985838
ABCB4,0.9999999999985838
ABCB5,0.9999999999985838
ABCB6,0.9999999999985838
ABCB7,9.96322864836485e-6
ABCB8,0.9999999999985838
ABCB9,0.9999999999985838
ABCC1,0.9999999999985838
ABCC10,0.9999999999985838
ABCC11,0.9999999999985838
ABCC12,0.9999999999985838
ABCC2,0.9999999999985838
ABCC3,0.9999999999985838
ABCC4,0.9999999999985838
ABCC5,0.9999999999985838
ABCC6,0.9999999999985838
ABCC8,0.9999999999985838
ABCC9,0.9999999999985838
ABCD1,0.9999999999985838
ABCD2,0.9999999999985838
ABCD3,0.9999999999985838
ABCD4,0.9999999999985838
ABCE1,7.2277751169560685e-6
ABCF1,5.758709940778659e-5
ABCF2,0.9999999999985838
ABCF3,0.9999999999985838
ABCG1,0.9999999999985838
ABCG2,0.9999999999985838
ABCG4,0.9999999999985838
ABCG5,0.9393734922848382
ABCG8,0.9999999999985838
ABHD1,0.9999999999985838
ABHD10,0.9999999999985838
ABHD11,5.51891485571776e-5
ABHD12,0.9999999999985838
ABHD12B,0.9999999999985838
ABHD13,0.9999999999985838
ABHD14A,0.9999999999985838
ABHD14B,0.9999999999985838
ABHD15,0.9999999999985838
ABHD16A,0.9999999999985838
ABHD16B,0.9999999999985838
ABHD17A,8.245337891025688e-4
ABHD17B,0.9999999999985838
ABHD17C,0.9999999999985838
ABHD18,0.9999999999985838
ABHD2,0.9999999999985838
ABHD3,0.9999999999985838
ABHD4,0.9999999999985838
ABHD5,0.9999999999985838
ABHD6,0.5104237327654835
ABHD8,0.9999999999985838
ABI1,0.9999999999985838
ABI2,0.851285273926688
ABI3,0.9999999999985838
ABI3BP,0.9999999999985838
ABL1,0.9999999999985838
ABL2,0.7987955191121692
ABLIM1,0.9999999999985838
ABLIM2,0.9448427532557786
ABLIM3,0.9999999999985838
ABO,0.9999999999985838
ABR,0.9999999999985838
ABRA,0.9999999999985838
ABRACL,0.9999999999985838
ABRAXAS1,0.5980665894839182
ABRAXAS2,0.9999999999985838
ABT1,1.8941429436703403e-4
ABTB1,0.9999999999985838
ABTB2,0.9999999999985838
ACAA1,0.9999999999985838
ACAA2,0.9999999999985838
ACACA,0.3391253367068473
ACACB,0.9999999999985838
ACAD10,0.9507920839264253
ACAD11,0.9999999999985838
ACAD8,0.9999999999985838
ACAD9,0.5561971777433026
ACADL,0.9999999999985838
ACADM,0.9999999999985838
ACADS,0.9999999999985838
ACADSB,0.9999999999985838
ACADVL,0.9999999999985838
ACAN,0.9999999999985838
ACAP1,0.9999999999985838
ACAP2,0.9999999999985838
ACAP3,0.9473242953774742
ACAT1,0.9999999999985838
ACAT2,0.9999999999985838
ACBD3,0.45831232135351674
ACBD4,0.9999999999985838
ACBD5,0.9999999999985838
ACBD6,0.9999999999985838
ACBD7,0.9999999999985838
ACCS,0.9999999999985838
ACCSL,0.9999999999985838
ACD,0.9999999999985838
ACE,0.9999999999985838
ACE2,0.9999999999985838
ACER1,0.9999999999985838
ACER2,0.3357453430319213
ACER3,0.9999999999985838
ACHE,0.9999999999985838
ACIN1,0.9999999999985838
ACKR1,0.6687861805103316
ACKR2,0.9999999999985838
ACKR3,0.9999999999985838
ACKR4,0.9999999999985838
ACLY,0.0011600984436552612
ACMSD,0.9999999999985838
ACO1,0.6901586720480584
ACO2,3.9668720401084476e-5
ACOD1,0.9999999999985838
ACOT1,0.9999999999985838
ACOT11,0.9999999999985838
ACOT12,0.9999999999985838
ACOT13,0.8978720389208932
ACOT2,0.9999999999985838
ACOT4,0.9999999999985838
ACOT6,0.8251405378850977
ACOT7,0.9999999999985838
ACOT8,0.9999999999985838
ACOT9,0.9999999999985838
ACOX1,0.9999999999985838
ACOX2,0.9999999999985838
ACOX3,0.9999999999985838
ACOXL,0.9999999999985838
ACP1,0.5471175177822432
ACP2,0.9869186694570746
ACP4,0.9999999999985838
ACP5,0.9999999999985838
ACP6,0.9999999999985838
ACP7,0.9999999999985838
ACPP,0.9999999999985838
ACR,0.9999999999985838
ACRBP,0.9999999999985838
ACRV1,0.9999999999985838
ACSBG1,0.9999999999985838
ACSBG2,0.9999999999985838
ACSF2,0.9999999999985838
ACSF3,0.9999999999985838
ACSL1,0.9999999999985838
ACSL3,0.0019902448643403063
ACSL4,0.9999999999985838
ACSL5,0.9999999999985838
ACSL6,0.9999999999985838
ACSM1,0.9999999999985838
ACSM2A,0.9999999999985838
ACSM2B,0.9999999999985838
ACSM3,0.9999999999985838
ACSM4,0.9999999999985838
ACSM5,0.9999999999985838
ACSM6,0.9999999999985838
ACSS1,0.9999999999985838
ACSS2,0.9999999999985838
ACSS3,0.9999999999985838
ACTA1,0.6260611226735706
ACTA2,0.9999999999985838
ACTB,0.02621779033881943
ACTBL2,0.9999999999985838
ACTC1,0.9999999999985838
ACTG1,0.3519540417221885
ACTG2,0.9999999999985838
ACTL10,0.9999999999985838
ACTL6A,3.756428894066003e-5
ACTL6B,0.9999999999985838
ACTL7A,0.9999999999985838
ACTL7B,0.9999999999985838
ACTL8,0.9999999999985838
ACTL9,0.9999999999985838
ACTN1,0.9999999999985838
ACTN2,0.9931859073772342
ACTN3,0.9999999999985838
ACTN4,0.9999999999985838
ACTR10,6.252556293200024e-8
ACTR1A,2.976446437060938e-5
ACTR1B,0.9999999999985838
ACTR2,7.171250551984238e-4
ACTR3,0.001115662648646141
ACTR3B,0.9999999999985838
ACTR3C,0.9999999999985838
ACTR5,0.9999999999985838
ACTR6,3.63310605584477e-5
ACTR8,0.08290107848258227
ACTRT1,0.9999999999985838
ACTRT2,0.9999999999985838
ACTRT3,0.9999999999985838
ACVR1,0.8942202331197396
ACVR1B,0.6573709941201213
ACVR1C,0.9999999999985838
ACVR2A,0.9999999999985838
ACVR2B,0.9999999999985838
ACVRL1,0.9999999999985838
ACY1,0.9999999999985838
ACY3,0.9999999999985838
ACYP1,0.9999999999985838
ACYP2,0.9999999999985838
ADA,0.9999999999985838
ADA2,0.9999999999985838
ADAD1,0.9999999999985838
ADAD2,0.9999999999985838
ADAL,0.9999999999985838
ADAM10,0.9999999999985838
ADAM11,0.9999999999985838
ADAM12,0.9999999999985838
ADAM15,0.9999999999985838
ADAM17,0.14010411734766304
ADAM18,0.9999999999985838
ADAM19,0.9999999999985838
ADAM2,0.9999999999985838
ADAM20,0.9999999999985838
ADAM21,0.9999999999985838
ADAM22,0.9999999999985838
ADAM23,0.7079122915593589
ADAM28,0.9999999999985838
ADAM29,0.9999999999985838
ADAM30,0.9999999999985838
ADAM32,0.9999999999985838
ADAM33,0.9999999999985838
ADAM7,0.9999999999985838
ADAM8,0.9999999999985838
ADAM9,0.7302920033987341
ADAMDEC1,0.9999999999985838
ADAMTS1,0.9999999999985838
ADAMTS10,0.9999999999985838
ADAMTS12,0.9999999999985838
ADAMTS13,0.9999999999985838
ADAMTS14,0.9999999999985838
ADAMTS15,0.9999999999985838
ADAMTS16,0.9999999999985838
ADAMTS17,0.9999999999985838
ADAMTS18,0.9999999999985838
ADAMTS19,0.9999999999985838
ADAMTS2,0.9999999999985838
ADAMTS20,0.9999999999985838
ADAMTS3,0.9999999999985838
ADAMTS4,0.9999999999985838
ADAMTS5,0.9999999999985838
ADAMTS6,0.600677986025878
ADAMTS7,0.9999999999985838
ADAMTS8,0.9999999999985838
ADAMTS9,0.9999999999985838
ADAMTSL1,0.9999999999985838
ADAMTSL2,0.9999999999985838
ADAMTSL3,0.9999999999985838
ADAMTSL4,0.9999999999985838
ADAMTSL5,0.9999999999985838
ADAP1,0.3457300403241935
ADAP2,0.9529937797720074
ADAR,4.0215631030718417e-4
ADARB1,0.9999999999985838
ADARB2,0.9999999999985838
ADAT1,0.9999999999985838
ADAT2,0.0038469090280093023
ADAT3,0.00701131540029098
ADCK1,0.9999999999985838
ADCK2,0.3083751447258771
ADCK5,0.9999999999985838
ADCY1,0.9999999999985838
ADCY10,0.8904982326870551
ADCY2,0.9999999999985838
ADCY3,0.4503095638003352
ADCY4,0.9999999999985838
ADCY5,0.9999999999985838
ADCY6,0.9999999999985838
ADCY7,0.9999999999985838
ADCY8,0.9999999999985838
ADCY9,0.9999999999985838
ADCYAP1,0.9999999999985838
ADCYAP1R1,0.9999999999985838
ADD1,0.9999999999985838
ADD2,0.9999999999985838
ADD3,0.9999999999985838
ADGB,0.9999999999985838
ADGRA1,0.9999999999985838
ADGRA2,0.9999999999985838
ADGRA3,0.9999999999985838
ADGRB1,0.9999999999985838
ADGRB2,0.9999999999985838
ADGRB3,0.9999999999985838
ADGRD1,0.9999999999985838
ADGRE1,0.9999999999985838
ADGRE2,0.9999999999985838
ADGRE3,0.7587331698940267
ADGRE5,0.9999999999985838
ADGRF1,0.9999999999985838
ADGRF2,0.9999999999985838
ADGRF3,0.9999999999985838
ADGRF4,0.7137337042458294
ADGRF5,0.9999999999985838
ADGRG1,0.9999999999985838
ADGRG2,0.9999999999985838
ADGRG3,0.9999999999985838
ADGRG4,0.9999999999985838
ADGRG5,0.9999999999985838
ADGRG6,0.9999999999985838
ADGRG7,0.9999999999985838
ADGRL1,0.9999999999985838
ADGRL2,0.9999999999985838
ADGRL3,0.9999999999985838
ADGRL4,0.9997686104000085
ADGRV1,0.7757110581845643
ADH1A,0.9999999999985838
ADH1B,0.9999999999985838
ADH1C,0.9999999999985838
ADH4,0.9999999999985838
ADH5,0.9999999999985838
ADH6,0.9999999999985838
ADH7,0.8416877783088454
ADHFE1,0.9999999999985838
ADI1,0.9999999999985838
ADIG,0.9999999999985838
ADIPOQ,0.9999999999985838
ADIPOR1,0.7992365399777244
ADIPOR2,0.9999999999985838
ADIRF,0.9999999999985838
ADK,0.9999999999985838
ADM,0.9999999999985838
ADM2,0.9999999999985838
ADM5,0.9999999999985838
ADNP,0.9999999999985838
ADNP2,0.9999999999985838
ADO,0.9999999999985838
ADORA1,0.9999999999985838
ADORA2A,0.9999999999985838
ADORA2B,0.9999999999985838
ADORA3,0.844346228431161
ADPGK,0.9999999999985838
ADPRH,0.9999999999985838
ADPRHL1,0.9087265047542524
ADPRHL2,0.9999999999985838
ADPRM,0.7815205732691698
ADRA1A,0.9999999999985838
ADRA1B,0.9999999999985838
ADRA1D,0.9999999999985838
ADRA2A,0.9999999999985838
ADRA2B,0.9999999999985838
ADRA2C,0.9999999999985838
ADRB1,0.9999999999985838
ADRB2,0.9999999999985838
ADRB3,0.9999999999985838
ADRM1,0.9400140095976223
ADSL,9.227860341380179e-6
ADSS,2.0130032070131537e-4
ADSSL1,0.9999999999985838
ADTRP,0.9999999999985838
AEBP1,0.9999999999985838
AEBP2,0.9999999999985838
AEN,0.9999999999985838
AES,0.9789567928695905
AFAP1,0.9999999999985838
AFAP1L1,0.9999999999985838
AFAP1L2,0.9999999999985838
AFDN,0.9999999999985838
AFF1,0.9999999999985838
AFF2,0.9999999999985838
AFF3,0.4526266487891088
AFF4,0.9999999999985838
AFG1L,0.9999999999985838
AFG3L2,5.032981551556505e-4
AFM,0.9999999999985838
AFMID,0.9999999999985838
AFP,0.9999999999985838
AFTPH,0.9999999999985838
AGA,0.9999999999985838
AGAP1,0.9999999999985838
AGAP11,0.9778062383109057
AGAP2,0.9728110957262529
AGAP3,0.9999999999985838
AGAP4,0.0015623908446000926
AGAP5,0.07616579090599815
AGAP6,0.023828078745485967
AGAP9,3.084062174213261e-4
AGBL1,0.9999999999985838
AGBL2,0.9132190262801213
AGBL3,0.9999999999985838
AGBL4,0.9999999999985838
AGBL5,0.9999999999985838
AGER,0.9999999999985838
AGFG1,0.9999999999985838
AGFG2,0.9999999999985838
AGGF1,0.9999999999985838
AGK,0.9999999999985838
AGL,0.36689829803115354
AGMAT,0.9999999999985838
AGMO,0.9999999999985838
AGO1,0.9999999999985838
AGO2,0.9999999999985838
AGO3,0.9687291619977505
AGO4,0.9999999999985838
AGPAT1,0.9999999999985838
AGPAT2,0.9999999999985838
AGPAT3,0.9999999999985838
AGPAT4,0.9999999999985838
AGPAT5,0.4176376517788017
AGPS,0.9999999999985838
AGR2,0.9999999999985838
AGR3,0.9999999999985838
AGRN,0.9999999999985838
AGRP,0.9999999999985838
AGT,0.9999999999985838
AGTPBP1,0.9999999999985838
AGTR1,0.9999999999985838
AGTR2,0.9999999999985838
AGTRAP,0.9999999999985838
AGXT,0.9999999999985838
AGXT2,0.9999999999985838
AHCTF1,6.840400026882514e-4
AHCY,0.001175840704738339
AHCYL1,0.0011225107974747691
AHCYL2,0.9999999999985838
AHDC1,0.9999999999985838
AHI1,0.9999999999985838
AHNAK,0.9999999999985838
AHNAK2,0.9999999999985838
AHR,0.9999999999985838
AHRR,0.9999999999985838
AHSA1,0.9999999999985838
AHSA2,0.9999999999985838
AHSG,0.9999999999985838
AHSP,0.9999999999985838
AICDA,0.9999999999985838
AIDA,0.6610581874041511
AIF1,0.9999999999985838
AIF1L,0.9999999999985838
AIFM1,0.9999999999985838
AIFM2,0.9999999999985838
AIFM3,0.9999999999985838
AIG1,0.9999999999985838
AIM2,0.9999999999985838
AIMP1,0.9199979697085537
AIMP2,0.20861058233585786
AIP,0.7538404587644294
AIPL1,0.9999999999985838
AIRE,0.9999999999985838
AJAP1,0.9999999999985838
AJUBA,0.9999999999985838
AK1,0.9999999999985838
AK2,0.9999999999985838
AK3,0.9999999999985838
AK4,0.7478029517730383
AK5,0.9999999999985838
AK6,0.00030304921223782113
AK7,0.9999999999985838
AK8,0.9999999999985838
AK9,0.9999999999985838
AKAIN1,0.9999999999985838
AKAP1,0.9999999999985838
AKAP10,0.9999999999985838
AKAP11,0.6168416995426679
AKAP12,0.9999999999985838
AKAP13,0.9999999999985838
AKAP14,0.9999999999985838
AKAP17A,0.9999999999985838
AKAP2,0.9999999999985838
AKAP3,0.9999999999985838
AKAP4,0.9999999999985838
AKAP5,0.9169503671268435
AKAP6,0.9999999999985838
AKAP7,0.558891686386101
AKAP8,0.9999999999985838
AKAP8L,0.9999999999985838
AKAP9,0.7813726747028237
AKIP1,0.9999999999985838
AKIRIN1,0.711056193114403
AKIRIN2,0.0010880516580980201
AKNA,0.9999999999985838
AKNAD1,0.9999999999985838
AKR1A1,0.9999999999985838
AKR1B1,0.9999999999985838
AKR1B10,0.9999999999985838
AKR1B15,0.9999999999985838
AKR1C1,0.9999999999985838
AKR1C2,0.9999999999985838
AKR1C3,0.9999999999985838
AKR1C4,0.9999999999985838
AKR1D1,0.9999999999985838
AKR1E2,0.9999999999985838
AKR7A2,0.9999999999985838
AKR7A3,0.9999999999985838
AKT1,0.9999999999985838
AKT1S1,0.9999999999985838
AKT2,0.9999999999985838
AKT3,0.29535153047806406
AKTIP,0.4426755427704939
ALAD,0.9954152239530425
ALAS1,0.9999999999985838
ALAS2,0.9999999999985838
ALB,0.9999999999985838
ALCAM,0.9999999999985838
ALDH16A1,0.9999999999985838
ALDH18A1,0.9999999999985838
ALDH1A1,0.9999999999985838
ALDH1A2,0.9999999999985838
ALDH1A3,0.9999999999985838
ALDH1B1,0.9999999999985838
ALDH1L1,0.9999999999985838
ALDH1L2,0.457748573074404
ALDH2,0.9999999999985838
ALDH3A1,0.9999999999985838
ALDH3A2,0.9999999999985838
ALDH3B1,0.9999999999985838
ALDH3B2,0.9999999999985838
ALDH4A1,0.9999999999985838
ALDH5A1,0.9999999999985838
ALDH6A1,0.9999999999985838
ALDH7A1,0.9999999999985838
ALDH8A1,0.9999999999985838
ALDH9A1,0.5462894183656701
ALDOA,3.028248001732818e-6
ALDOB,0.9999999999985838
ALDOC,0.34489096311568335
ALG1,6.181727755869996e-4
ALG10,0.9999999999985838
ALG10B,0.62393691617143765
ALG11,0.0010510962211325978
ALG12,0.9999999999985838
ALG13,3.498127672885014e-6
ALG14,0.016293878371117027
ALG1L,0.11172376404606112
ALG1L2,2.668763956215385e-5
ALG2,1.0721025340555286e-5
ALG3,0.9999999999985838
ALG5,0.9999999999985838
ALG6,0.017658718212041315
ALG8,0.5185615822138984
ALG9,0.9736275203915812
ALK,0.9999999999985838
ALKAL1,0.9999999999985838
ALKAL2,0.9999999999985838
ALKBH1,0.9999999999985838
ALKBH2,0.9999999999985838
ALKBH3,0.9999999999985838
ALKBH4,0.9999999999985838
ALKBH5,0.9999999999985838
ALKBH6,0.9999999999985838
ALKBH7,0.9999999999985838
ALKBH8,0.11498448158131842
ALLC,0.9999999999985838
ALMS1,0.9999999999985838
ALOX12,0.9939879010599444
ALOX12B,0.9999999999985838
ALOX15,0.9999999999985838
ALOX15B,0.9999999999985838
ALOX5,0.9999999999985838
ALOX5AP,0.9999999999985838
ALOXE3,0.9999999999985838
ALPI,0.9999999999985838
ALPK1,0.9999999999985838
ALPK2,0.9940810068279528
ALPK3,0.9999999999985838
ALPL,0.9999999999985838
ALPP,0.9999999999985838
ALPPL2,0.9999999999985838
ALS2,0.9999999999985838
ALS2CL,0.9999999999985838
ALS2CR12,0.9999999999985838
ALX1,0.9999999999985838
ALX3,0.9999999999985838
ALX4,0.9999999999985838
ALYREF,2.5809781016161796e-4
AMACR,0.9999999999985838
AMBN,0.9999999999985838
AMBP,0.9999999999985838
AMBRA1,0.020925870534489452
AMD1,3.073006110395451e-8
AMDHD1,0.9999999999985838
AMDHD2,0.9999999999985838
AMELX,0.9999999999985838
AMELY,0.9999999999985838
AMER1,0.9999999999985838
AMER2,0.9999999999985838
AMER3,0.9999999999985838
AMFR,0.9999999999985838
AMH,0.9999999999985838
AMHR2,0.9999999999985838
AMIGO1,0.9999999999985838
AMIGO2,0.9999999999985838
AMIGO3,0.9999999999985838
AMMECR1,0.9999999999985838
AMMECR1L,0.9999999999985838
AMN,0.9999999999985838
AMN1,0.783487945916161
AMOT,0.9999999999985838
AMOTL1,0.24404582106070824
AMOTL2,0.9999999999985838
AMPD1,0.9999999999985838
AMPD2,0.9999999999985838
AMPD3,0.9999999999985838
AMPH,0.9999999999985838
AMT,0.9999999999985838
AMTN,0.9999999999985838
AMY1A,6.708767211834016e-4
AMY1B,0.3863149191529493
AMY1C,0.012912630537841332
AMY2A,0.17000179482885883
AMY2B,0.39661261246783325
AMZ1,0.9999999999985838
AMZ2,0.9999999999985838
ANAPC1,1.1513908806602097e-4
ANAPC10,2.2319228291483846e-4
ANAPC11,2.7461558587404328e-5
ANAPC13,0.012095256401984176
ANAPC15,0.0016671020514525095
ANAPC16,0.9999999999985838
ANAPC2,4.324318781042547e-4
ANAPC4,6.566199485356308e-4
ANAPC5,3.00921536307553e-4
ANAPC7,0.9999999999985838
ANG,0.9999999999985838
ANGEL1,0.9999999999985838
ANGEL2,0.3494009780558247
ANGPT1,0.9999999999985838
ANGPT2,0.9999999999985838
ANGPT4,0.9999999999985838
ANGPTL1,0.9999999999985838
ANGPTL2,0.9999999999985838
ANGPTL3,0.6134232024678818
ANGPTL4,0.9999999999985838
ANGPTL5,0.8263072241066589
ANGPTL6,0.9999999999985838
ANGPTL7,0.9999999999985838
ANGPTL8,0.9999999999985838
