gene,fdr
ITPA,0
ALDOA,0
HSPA9,0
RPP21,0
TUT1,0
RPS3A,0
EIF6,0
MCM7,0
RPL7,0
GPN1,0
UBA3,0
UBL5,0
PSMA5,0
RPL31,0
TOP2A,0
SF3B1,0
HSCB,0
GTPBP4,0
RBM25,0
PGAM1,0
NUBP1,0
WDR18,0
RSL1D1,0
EIF1AX,0
PSMD6,0
DNA2,0
DDX42,0
DCTN5,0
BUB3,0
RPL4,0
USP17L24,0
EIF3E,0
RPL19,0
RPA1,0
NOP2,0
EXOSC8,0
CLP1,0
MARS2,0
RPL35A,0
WDR43,0
SEPT7,0
XRCC5,0
PAFAH1B1,0
PRMT1,0
ANAPC1,0
ELP2,0
UBA52,0
RPS17,0
RPS18,0
CARS,0
UBA2,0
VCP,0
NHLRC2,0
RPL23A,0
HSPA8,0
PNPT1,0
DPH3,0
AMD1,0
PRELID1,0
BTF3,0
NAA25,0
NUP160,0
CCT7,0
COPA,0
YARS,0
RPS27A,0
AP2S1,0
AQR,0
NFS1,0
ZCRB1,0
LARS2,0
TBC1D3K,0
PHB,0
DIS3,0
HDAC3,0
PPIL4,0
RBX1,0
LSM2,0
RPS27,0
UTP18,0
HEATR1,0
CSNK2B,0
FAU,0
EEF1G,0
TP53RK,0
ACTR10,0.0012173248407643313
PTCD3,0.0012173248407643313
POLR2L,0.0012173248407643313
HNRNPC,0.0012173248407643313
ELP3,0.0012173248407643313
NUDT21,0.0012173248407643313
ATP6V0C,0.0012173248407643313
SNRNP25,0.0012173248407643313
NAA15,0.0012173248407643313
RFC3,0.0012173248407643313
RACK1,0.0012173248407643313
PSMB7,0.0012173248407643313
GTF3C3,0.0012173248407643313
PSMC6,0.0012173248407643313
CAPZB,0.0012173248407643313
SLC16A1,0.0012173248407643313
SRBD1,0.0012173248407643313
POLR1A,0.0012173248407643313
TSR2,0.0012173248407643313
GOSR2,0.0012173248407643313
TIMELESS,0.0012173248407643313
DDX20,0.0012173248407643313
CDC7,0.0012173248407643313
RSL24D1,0.0012173248407643313
MIS18BP1,0.0012173248407643313
RPS29,0.0012173248407643313
DHPS,0.0012173248407643313
PFDN2,0.0012173248407643313
SBDS,0.0012173248407643313
NAA20,0.0012173248407643313
PCID2,0.0012173248407643313
ABCE1,0.0012173248407643313
RBBP4,0.0012173248407643313
EIF5,0.0012173248407643313
ETF1,0.0012173248407643313
RPL6,0.0012173248407643313
GMPPB,0.0012173248407643313
PPIAL4C,0.0012173248407643313
EIF3I,0.0012173248407643313
RPLP0,0.0012173248407643313
YARS2,0.0012173248407643313
HSPD1,0.0012173248407643313
DDX51,0.0012173248407643313
DDX21,0.0012173248407643313
DHX33,0.0012173248407643313
PSMB4,0.0012173248407643313
PPP1R8,0.0012173248407643313
CFAP20,0.0012173248407643313
UTP20,0.0012173248407643313
VPS25,0.0012173248407643313
PRMT5,0.0012173248407643313
USP7,0.0012173248407643313
GLRX5,0.0012173248407643313
PHF5A,0.0012173248407643313
EP400,0.0012173248407643313
SEC13,0.0012173248407643313
NMD3,0.0012173248407643313
GAPDH,0.0012173248407643313
RPL3,0.0012173248407643313
ACTL6A,0.0012173248407643313
TCP1,0.0012173248407643313
RPL8,0.0012173248407643313
XRCC6,0.0012173248407643313
ATP1A1,0.0012173248407643313
CCT5,0.0012173248407643313
ACSL3,0.0012173248407643313
PSMB2,0.0012173248407643313
PRC1,0.0012173248407643313
PGS1,0.0012173248407643313
LARS,0.0012173248407643313
WDR92,0.0012173248407643313
TUBB,0.0012173248407643313
PRELID3B,0.0018737254901960785
SNRPG,0.0018737254901960785
MRPL44,0.0018737254901960785
ZMAT2,0.0018737254901960785
PSMD4,0.0018737254901960785
RPS13,0.0018737254901960785
NXT1,0.0018737254901960785
TAF1C,0.0018737254901960785
NCBP2,0.0018737254901960785
LONP1,0.0018737254901960785
LSM5,0.0018737254901960785
ARMC7,0.0018737254901960785
SRP54,0.0018737254901960785
GPN2,0.0018737254901960785
POLR3K,0.0018737254901960785
MARS,0.0018737254901960785
YEATS4,0.0018737254901960785
ARL2,0.0018737254901960785
DCAF1,0.0018737254901960785
PRPF19,0.0018737254901960785
MOB4,0.0018737254901960785
RPS8,0.0018737254901960785
CCT6A,0.0018737254901960785
TFRC,0.0018737254901960785
RPS19,0.0018737254901960785
MAPK1,0.0018737254901960785
PUF60,0.0018737254901960785
PSMD7,0.0018737254901960785
SUPV3L1,0.0018737254901960785
EIF2B4,0.0018737254901960785
UBE2N,0.0018737254901960785
EIF3A,0.0018737254901960785
DLST,0.0018737254901960785
TBC1D3I,0.0018737254901960785
HARS,0.0018737254901960785
KIF18A,0.0018737254901960785
RPAP2,0.0018737254901960785
U2SURP,0.0018737254901960785
ATP6V0B,0.0018737254901960785
RNGTT,0.0018737254901960785
COG4,0.0018737254901960785
VMP1,0.0018737254901960785
DCAF13,0.0018737254901960785
RPL17-C18orf32,0.0018737254901960785
SPOUT1,0.0018737254901960785
DTYMK,0.0018737254901960785
SRSF1,0.0018737254901960785
EIF1,0.003711067961165049
RPL27A,0.003711067961165049
ILF3,0.004136796536796537
DARS,0.004136796536796537
NOP58,0.004136796536796537
PRPF3,0.004136796536796537
DHX9,0.004136796536796537
MEAF6,0.004136796536796537
ABCB7,0.004136796536796537
TARDBP,0.004136796536796537
DDX18,0.004136796536796537
PRIM2,0.004136796536796537
EIF2S1,0.004136796536796537
MRPS14,0.004136796536796537
BUD23,0.004136796536796537
ZRSR2,0.004136796536796537
SEC61A1,0.004136796536796537
SNW1,0.004136796536796537
