gene,p-value Repl. 1,p-value Repl. 2,p-value Repl. 3,Fisher Statistic,p-value combined,significant
COPA,0.138392857143,0.0,0.0,151.320763646,0.0,True
COPB1,0.0,0.0,0.0,221.048168927,0.0,True
COPS4,0.0745192307692,0.0,0.0,152.558842063,0.0,True
NUP93,0.129166666667,0.0,0.0,151.458749389,0.0,True
NUP98,0.0,0.0,0.0,221.048168927,0.0,True
POLR2A,0.0745192307692,0.0,0.0,152.558842063,0.0,True
POLR2D,0.0,0.0,0.0,221.048168927,0.0,True
PSMB2,0.0,0.0,0.0,221.048168927,0.0,True
PSMC2,0.0,0.0,0.0,221.048168927,0.0,True
PSMD11,0.129166666667,0.0,0.0,151.458749389,0.0,True
PSMD6,0.0,0.0,0.0,221.048168927,0.0,True
PSMD7,0.0745192307692,0.0,0.0,152.558842063,0.0,True
RPL11,0.138392857143,0.0,0.0,151.320763646,0.0,True
RPS13,0.0,0.0,0.0,221.048168927,0.0,True
RPS19,0.0,0.0,0.0,221.048168927,0.0,True
RPS8,0.0745192307692,0.0,0.0,152.558842063,0.0,True
RPS9,0.0,0.0,0.0,221.048168927,0.0,True
RPL3,0.138392857143,0.0,0.0509868421053,83.5904160255,6.66133814775e-16,True
RPL36,0.138392857143,0.0,0.0922619047619,82.4042885815,1.11022302463e-15,True
COPS6,0.138392857143,0.0440340909091,0.0509868421053,16.153275353,0.0129544981391,False
COPZ1,0.138392857143,0.0440340909091,0.0922619047619,14.967147909,0.0205137750969,False
PSMC4,0.138392857143,0.0440340909091,0.16847826087,13.7627971043,0.0324010513199,False
POLR2F,0.138392857143,0.0668103448276,0.132102272727,13.4154701162,0.0368927153629,False
NUP133,0.138392857143,0.0668103448276,0.19375,12.6494856117,0.0489524045149,False
NUP205,0.138392857143,0.0668103448276,0.19375,12.6494856117,0.0489524045149,False
NUP54,0.138392857143,0.0668103448276,0.19375,12.6494856117,0.0489524045149,False
PSMC1,0.138392857143,0.0668103448276,0.19375,12.6494856117,0.0489524045149,False
PSMD1,0.138392857143,0.0668103448276,0.19375,12.6494856117,0.0489524045149,False
POLA1,0.161458333333,0.0668103448276,0.19375,12.3411842521,0.0547761240404,False
RPL35A,0.161458333333,0.176136363636,0.19375,10.4023831377,0.108697811042,False
RPL9,0.302734375,0.096875,0.234848484848,9.95609603506,0.126513128321,False
PSMA3,0.21875,0.1513671875,0.234848484848,9.71337432106,0.137253025694,False
COPS8,0.322916666667,0.19375,0.21875,8.58274670295,0.198439328097,False
