gene,rank,fdr,effect_size,#_active_guide-RNA
RPL11,1,1.075269e-02,1.54569,9
NUP93,2,1.075269e-02,1.76969,6
COPZ1,3,1.075269e-02,1.42857,9
RPL34,4,1.075269e-02,1.39633,9
RPL36,5,1.075269e-02,1.48257,6
PSMA3,6,1.075269e-02,1.60149,5
RPL6,7,1.075269e-02,1.38112,7
RPL30,8,1.075269e-02,1.85994,3
RPS8,9,1.075269e-02,1.31408,7
PSMD1,10,1.075269e-02,1.26559,7
RPS24,11,1.075269e-02,0.994768,11
POLR2D,12,1.075269e-02,1.19951,6
NUP205,13,1.075269e-02,1.2687,5
POLR2A,14,1.075269e-02,1.3772,4
RPS7,15,1.075269e-02,0.976949,8
PSMC2,16,1.075269e-02,1.24517,4
PSMD11,17,5.837174e-02,1.36298,3
POLA1,18,5.837174e-02,1.01371,6
COPB1,19,5.837174e-02,1.30213,3
RPS11,20,5.837174e-02,1.38095,2
PSMC1,21,5.837174e-02,1.28282,2
PSMD7,22,1.016618e-01,0.644676,6
RPS19,23,1.357527e-01,0.612265,6
PSMD6,24,1.357527e-01,0.84418,3
NUP54,25,1.645988e-01,0.438713,7
RPL5,26,1.645988e-01,0.810489,3
RPL3,27,1.872233e-01,0.567782,5
RPS27,28,1.872233e-01,0.771807,3
RPL27,29,1.872233e-01,0.90537,2
NUP133,30,1.872233e-01,0.590552,4
RPL9,31,1.872233e-01,0.625187,3
RPS3A,32,1.872233e-01,0.93315,1
COPA,33,1.872233e-01,0.562592,3
RPL18A,34,1.872233e-01,0.712404,2
POLR2F,35,1.999419e-01,0.226014,4
COPS4,36,1.999419e-01,0.478879,2
NUP98,37,1.999419e-01,0.208331,3
RPL35A,38,2.212790e-01,0.388289,2
PSMB3,39,2.415219e-01,0.2891,2
DMRTC2,40,2.790454e-01,0.0953658,1
COPS2,41,2.790454e-01,0.037592,1
POU4F2,42,3.062072e-01,0.0308974,1
NLRP5,43,1,-0.159866,0
PIWIL3,44,1,-0.160665,0
PLA2G2E,45,1,-0.161239,0
RPS9,46,1,-0.16393,0
KRT77,47,1,-0.164662,0
OTUD6A,48,1,-0.164975,0
ADH7,49,1,-0.165695,0
CYP7A1,50,1,-0.166305,0
OR12D2,51,1,-0.168557,0
MRGPRD,52,1,-0.169978,0
NPHS2,53,1,-0.171268,0
PSMC4,54,1,-0.171269,0
VN1R2,55,1,-0.172321,0
FAM71B,56,1,-0.174956,0
NPSR1,57,1,-0.175076,0
TRIM42,58,1,-0.175629,0
TAS2R9,59,1,-0.177551,0
LUZP4,60,1,-0.180159,0
FCRL4,61,1,-0.181975,0
DEFB129,62,1,-0.182696,0
IL1F10,63,1,-0.184668,0
LYZL6,64,1,-0.1858,0
IL22,65,1,-0.186826,0
KRT25,66,1,-0.187255,0
DMRTB1,67,1,-0.187524,0
RNASE9,68,1,-0.188419,0
RXFP2,69,1,-0.189386,0
TAAR8,70,1,-0.192195,0
COPS6,71,1,-0.192909,0
SAGE1,72,1,-0.193064,0
HTR3D,73,1,-0.196253,0
TAAR1,74,1,-0.200187,0
COPS8,75,1,-0.202064,0
RPS13,76,1,-0.207592,0
PSMB2,77,1,-0.210089,0
RPTN,78,1,-0.211466,0
MAGEB3,79,1,-0.215525,0
OR9Q2,80,1,-0.215648,0
TAS2R13,81,1,-0.216449,0
CRYGB,82,1,-0.217383,0
TGM6,83,1,-0.223002,0
LHX5,84,1,-0.22339,0
KRT74,85,1,-0.23047,0
ABCG8,86,1,-0.230621,0
OLIG2,87,1,-0.231151,0
OR52E8,88,1,-0.231545,0
KRT9,89,1,-0.232032,0
OC90,90,1,-0.232895,0
SPATA16,91,1,-0.23377,0
TPH2,92,1,-0.240238,0
CABP5,93,1,-0.260725,0
