gene,fdr,stat
RPL11,0.01075269,1
NUP93,0.01075269,2
COPZ1,0.01075269,3
RPL34,0.01075269,4
RPL36,0.01075269,5
PSMA3,0.01075269,6
RPL6,0.01075269,7
RPL30,0.01075269,8
RPS8,0.01075269,9
PSMD1,0.01075269,10
RPS24,0.01075269,11
POLR2D,0.01075269,12
NUP205,0.01075269,13
POLR2A,0.01075269,14
RPS7,0.01075269,15
PSMC2,0.01075269,16
PSMD11,0.05837174,17
POLA1,0.05837174,18
COPB1,0.05837174,19
RPS11,0.05837174,20
PSMC1,0.05837174,21
PSMD7,0.1016618,22
RPS19,0.1357527,23
PSMD6,0.1357527,24
NUP54,0.1645988,25
RPL5,0.1645988,26
RPL3,0.1872233,27
RPS27,0.1872233,28
RPL27,0.1872233,29
NUP133,0.1872233,30
RPL9,0.1872233,31
RPS3A,0.1872233,32
COPA,0.1872233,33
RPL18A,0.1872233,34
POLR2F,0.1999419,35
COPS4,0.1999419,36
NUP98,0.1999419,37
RPL35A,0.221279,38
PSMB3,0.2415219,39
DMRTC2,0.2790454,40
COPS2,0.2790454,41
POU4F2,0.3062072,42
NLRP5,1,43
PIWIL3,1,44
PLA2G2E,1,45
RPS9,1,46
KRT77,1,47
OTUD6A,1,48
ADH7,1,49
CYP7A1,1,50
OR12D2,1,51
MRGPRD,1,52
NPHS2,1,53
PSMC4,1,54
VN1R2,1,55
FAM71B,1,56
NPSR1,1,57
TRIM42,1,58
TAS2R9,1,59
LUZP4,1,60
FCRL4,1,61
DEFB129,1,62
IL1F10,1,63
LYZL6,1,64
IL22,1,65
KRT25,1,66
DMRTB1,1,67
RNASE9,1,68
RXFP2,1,69
TAAR8,1,70
COPS6,1,71
SAGE1,1,72
HTR3D,1,73
TAAR1,1,74
COPS8,1,75
RPS13,1,76
PSMB2,1,77
RPTN,1,78
MAGEB3,1,79
OR9Q2,1,80
TAS2R13,1,81
CRYGB,1,82
TGM6,1,83
LHX5,1,84
KRT74,1,85
ABCG8,1,86
OLIG2,1,87
OR52E8,1,88
KRT9,1,89
OC90,1,90
SPATA16,1,91
TPH2,1,92
CABP5,1,93
