gene,fdr,stat
PSMB2,0.01075269,1
RPS19,0.01075269,2
RPS13,0.01075269,3
RPL11,0.01075269,4
RPS9,0.01075269,5
NUP93,0.01075269,6
RPS8,0.01075269,7
RPL35A,0.01075269,8
RPL36,0.01075269,9
POLR2A,0.01075269,10
RPL9,0.01075269,11
POLR2D,0.01075269,12
PSMD6,0.01075269,13
COPB1,0.01075269,14
RPL34,0.01075269,15
COPA,0.01075269,16
COPS4,0.01075269,17
PSMD11,0.01075269,18
RPL18A,0.01075269,19
PSMD7,0.01075269,20
PSMC2,0.01075269,21
PSMC1,0.01075269,22
PSMC4,0.01075269,23
COPZ1,0.01075269,24
PSMB3,0.04301075,25
PSMA3,0.04301075,26
RPL30,0.04301075,27
POLA1,0.04301075,28
RPS11,0.04301075,29
RPL5,0.04301075,30
POLR2F,0.04301075,31
NUP133,0.09646697,32
RPS3A,0.09646697,33
NUP98,0.09646697,34
RPL27,0.09646697,35
NUP205,0.1083137,36
COPS6,0.1083137,37
NUP54,0.1083137,38
RPL3,0.1083137,39
COPS2,0.1083137,40
PSMD1,0.1083137,41
COPS8,0.1171357,42
RPS24,0.1171357,43
RPS27,0.1171357,44
RPS7,0.1171357,45
RPL6,0.1171357,46
LYZL6,0.1171357,47
IL1F10,1,48
MRGPRD,1,49
DMRTC2,1,50
DMRTB1,1,51
KRT25,1,52
HTR3D,1,53
PIWIL3,1,54
OR9Q2,1,55
OC90,1,56
TPH2,1,57
OTUD6A,1,58
RNASE9,1,59
KRT9,1,60
KRT74,1,61
LUZP4,1,62
CYP7A1,1,63
NPHS2,1,64
RPTN,1,65
CRYGB,1,66
ABCG8,1,67
IL22,1,68
SPATA16,1,69
OR12D2,1,70
FCRL4,1,71
TAS2R13,1,72
CABP5,1,73
TRIM42,1,74
NPSR1,1,75
RXFP2,1,76
KRT77,1,77
OLIG2,1,78
ADH7,1,79
DEFB129,1,80
TAS2R9,1,81
SAGE1,1,82
LHX5,1,83
TGM6,1,84
TAAR8,1,85
PLA2G2E,1,86
VN1R2,1,87
MAGEB3,1,88
FAM71B,1,89
TAAR1,1,90
NLRP5,1,91
POU4F2,1,92
OR52E8,1,93
