gene,fdr,category
PSMD6,2.32e-4,1
PSMB2,2.32e-4,1
NUP98,7.74e-4,1
RPS13,0.003134,1
PSMC4,0.00472,1
PSMD11,0.00472,1
PSMC1,0.004817,1
RPL3,0.004817,1
RPL11,0.005623,1
COPB1,0.006289,1
PSMD7,0.006289,1
COPS4,0.006607,1
POLR2F,0.006607,1
RPS19,0.006778,1
RPL18A,0.006778,1
NUP205,0.008211,1
COPA,0.00962,1
POLR2D,0.00962,1
RPS8,0.011264,1
POLR2A,0.015939,1
NUP93,0.015939,1
NUP54,0.030282,1
PSMC2,0.036636,1
RPL36,0.052795,1
COPS6,0.052795,1
RPS3A,0.055407,1
POLA1,0.065597,1
COPS8,0.110627,1
RPS11,0.102053,1
RPL35A,0.110627,1
COPZ1,0.14425,1
RPS9,0.138913,1
RPS27,0.110627,1
NUP133,0.14425,1
RPL34,0.14425,1
PSMD1,0.201834,1
RPL5,0.257284,1
RPL9,0.308299,1
RPL30,0.308299,1
PSMB3,0.327525,1
PSMA3,0.327525,1
COPS2,0.627464,1
RPL6,0.388126,1
RPS24,0.978381,1
RPL27,0.999995,1
RPS7,0.999995,1
IL1F10,0.999995,0
MRGPRD,0.999995,0
KRT25,0.999995,0
LYZL6,0.999995,0
OR9Q2,0.999995,0
HTR3D,0.999995,0
NPSR1,0.999995,0
OTUD6A,0.999995,0
CRYGB,0.999995,0
PIWIL3,0.999995,0
DMRTC2,0.999995,0
IL22,0.999995,0
TPH2,0.999995,0
OC90,0.999995,0
RXFP2,0.999995,0
RPTN,0.999995,0
OLIG2,0.999995,0
NPHS2,0.999995,0
DMRTB1,0.999995,0
RNASE9,0.999995,0
LHX5,0.999995,0
LUZP4,0.999995,0
CABP5,0.999995,0
ADH7,0.999995,0
KRT74,0.999995,0
FAM71B,0.999995,0
SPATA16,0.999995,0
TAAR8,0.999995,0
CYP7A1,0.999995,0
KRT9,0.999995,0
FCRL4,0.999995,0
SAGE1,0.999995,0
POU4F2,0.999995,0
TAS2R13,0.999995,0
TRIM42,0.999995,0
OR12D2,0.999995,0
MAGEB3,0.999995,0
ABCG8,0.999995,0
VN1R2,0.999995,0
NLRP5,0.999995,0
KRT77,0.999995,0
PLA2G2E,0.999995,0
DEFB129,0.999995,0
TAS2R9,0.999995,0
TAAR1,0.999995,0
TGM6,0.999995,0
OR52E8,0.999995,0
